PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
DANIORERIO	danio_rerio
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
ANABASTESTUDINEUS	anabas_testudineus
LABRUSBERGYLTA	labrus_bergylta
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
TAKIFUGURUBRIPES	takifugu_rubripes
MOLAMOLA	mola_mola
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
MASTACEMBELUSARMATUS	mastacembelus_armatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
ESOXLUCIUS	esox_lucius
SCLEROPAGESFORMOSUS	scleropages_formosus
