vombatus_ursinus ENSVURG00010014090
phascolarctos_cinereus ENSPCIG00000019248
notamacropus_eugenii ENSMEUG00000005844
monodelphis_domestica ENSMODG00000013380
chinchilla_lanigera ENSCLAG00000007325
octodon_degus ENSODEG00000016671
cavia_porcellus ENSCPOG00000005143
cavia_aperea ENSCAPG00000013681
heterocephalus_glaber ENSHGLG00000008533
heterocephalus_glaber ENSHGLG00100014198
mus_spretus MGP_SPRETEiJ_G0030774
mus_spicilegus ENSMSIG00000021614
mus_musculus ENSMUSG00000074141
mus_caroli MGP_CAROLIEiJ_G0029676
mus_pahari MGP_PahariEiJ_G0012901
rattus_norvegicus ENSRNOG00000020148
meriones_unguiculatus ENSMUGG00000009981
meriones_unguiculatus ENSMUGG00000008686
cricetulus_griseus ENSCGRG00001017543
cricetulus_griseus ENSCGRG00000010750
cricetulus_griseus ENSCGRG00015019554
mesocricetus_auratus ENSMAUG00000014929
microtus_ochrogaster ENSMOCG00000009373
peromyscus_maniculatus ENSPEMG00000006448
nannospalax_galili ENSNGAG00000008304
castor_canadensis ENSCCNG00000029630
dipodomys_ordii ENSDORG00000014950
ictidomys_tridecemlineatus ENSSTOG00000019779
urocitellus_parryii ENSUPAG00010014508
spermophilus_dauricus ENSSDAG00000001662
marmota_marmota ENSMMMG00000008201
ochotona_princeps ENSOPRG00000003493
pan_paniscus ENSPPAG00000039884
pan_troglodytes ENSPTRG00000034260
gorilla_gorilla ENSGGOG00000010229
homo_sapiens ENSG00000104951
pongo_abelii ENSPPYG00000010269
nomascus_leucogenys ENSNLEG00000005468
cercocebus_atys ENSCATG00000044547
mandrillus_leucophaeus ENSMLEG00000030060
theropithecus_gelada ENSTGEG00000000156
papio_anubis ENSPANG00000007273
macaca_mulatta ENSMMUG00000011627
macaca_nemestrina ENSMNEG00000031179
macaca_fascicularis ENSMFAG00000001696
chlorocebus_sabaeus ENSCSAG00000002414
colobus_angolensis ENSCANG00000032398
piliocolobus_tephrosceles ENSPTEG00000021615
rhinopithecus_bieti ENSRBIG00000034055
rhinopithecus_roxellana ENSRROG00000038621
saimiri_boliviensis ENSSBOG00000022086
cebus_capucinus ENSCCAG00000027656
callithrix_jacchus ENSCJAG00000004185
aotus_nancymaae ENSANAG00000037455
carlito_syrichta ENSTSYG00000030812
propithecus_coquereli ENSPCOG00000013930
prolemur_simus ENSPSMG00000000756
microcebus_murinus ENSMICG00000028489
otolemur_garnettii ENSOGAG00000005324
bos_indicus ENSBIXG00005005205
bos_indicus ENSBIXG00000018351
bos_taurus ENSBTAG00000005766
bison_bison ENSBBBG00000009938
capra_hircus ENSCHIG00000014204
ovis_aries ENSOARG00000013677
tursiops_truncatus ENSTTRG00000014953
sus_scrofa ENSSSCG00000003192
vicugna_pacos ENSVPAG00000012446
equus_asinus ENSEASG00005008275
equus_caballus ENSECAG00000018105
ursus_americanus ENSUAMG00000002752
ailuropoda_melanoleuca ENSAMEG00000013573
neovison_vison ENSNVIG00000014846
mustela_putorius ENSMPUG00000002299
canis_lupus ENSCAFG00000003439
canis_lupus ENSCAFG00020022292
vulpes_vulpes ENSVVUG00000020406
panthera_pardus ENSPPRG00000013697
panthera_tigris ENSPTIG00000020305
felis_catus ENSFCAG00000012174
pteropus_vampyrus ENSPVAG00000010988
myotis_lucifugus ENSMLUG00000017143
erinaceus_europaeus ENSEEUG00000015018
sorex_araneus ENSSARG00000003186
dasypus_novemcinctus ENSDNOG00000043406
procavia_capensis ENSPCAG00000003172
loxodonta_africana ENSLAFG00000005731
echinops_telfairi ENSETEG00000011206
ornithorhynchus_anatinus ENSOANG00000021017
