,ENSDNVT00000018136_ENSDNVG00000010620,ENSNPET00000001975_ENSNPEG00000001501,ENSCPUT00000005003_ENSCPUG00000003088,ENSCPGT00000011029_ENSCPGG00000007137,ENSMUNT00000006491_ENSMUNG00000004587,ENSLCOT00000002033_ENSLCOG00000001502,ENSMVIT00005003454_ENSMVIG00005002360,ENSPMJT00000030548_ENSPMJG00000017370,ENSCCET00000037990_ENSCCEG00000022479
ENSDNVT00000018136_ENSDNVG00000010620,1.0,0.92,0.9,0.9,0.77,0.87,0.86,0.76,0.76
ENSNPET00000001975_ENSNPEG00000001501,0.92,1.0,0.87,0.87,0.75,0.86,0.85,0.76,0.76
ENSCPUT00000005003_ENSCPUG00000003088,0.9,0.87,1.0,0.97,0.81,0.91,0.9,0.82,0.81
ENSCPGT00000011029_ENSCPGG00000007137,0.9,0.87,0.97,1.0,0.8,0.92,0.91,0.81,0.8
ENSMUNT00000006491_ENSMUNG00000004587,0.77,0.75,0.81,0.8,1.0,0.77,0.77,0.86,0.87
ENSLCOT00000002033_ENSLCOG00000001502,0.87,0.86,0.91,0.92,0.77,1.0,0.98,0.85,0.84
ENSMVIT00005003454_ENSMVIG00005002360,0.86,0.85,0.9,0.91,0.77,0.98,1.0,0.83,0.83
ENSPMJT00000030548_ENSPMJG00000017370,0.76,0.76,0.82,0.81,0.86,0.85,0.83,1.0,0.98
ENSCCET00000037990_ENSCCEG00000022479,0.76,0.76,0.81,0.8,0.87,0.84,0.83,0.98,1.0
