calidris_pygmaea ENSCPGG00000016656
calidris_pugnax ENSCPUG00000002523
melopsittacus_undulatus ENSMUNG00000002357
lepidothrix_coronata ENSLCOG00000007306
manacus_vitellinus ENSMVIG00005000173
serinus_canaria ENSSCAG00000011795
junco_hyemalis ENSJHYG00000015159
lonchura_striata ENSLSDG00000009792
ficedula_albicollis ENSFALG00000007870
cyanistes_caeruleus ENSCCEG00000010106
gallus_gallus ENSGALG00000021301
coturnix_japonica ENSCJPG00005005646
meleagris_gallopavo ENSMGAG00000006989
apteryx_owenii ENSAOWG00000010272
apteryx_haastii ENSAHAG00000004465
apteryx_rowi ENSARWG00000003344
dromaius_novaehollandiae ENSDNVG00000013626
zonotrichia_albicollis ENSZALG00000010312
nothoprocta_perdicaria ENSNPEG00000007014
crocodylus_porosus ENSCPRG00005012347
chelonoidis_abingdonii ENSCABG00000013262
gopherus_agassizii ENSGAGG00000013298
chrysemys_picta ENSCPBG00000009632
pelodiscus_sinensis ENSPSIG00000012124
anolis_carolinensis ENSACAG00000015787
pogona_vitticeps ENSPVIG00000008140
notechis_scutatus ENSNSUG00000017386
salvator_merianae ENSSMRG00000017184
sphenodon_punctatus ENSSPUG00000012335
ornithorhynchus_anatinus ENSOANG00000004351
latimeria_chalumnae ENSLACG00000013594
lepisosteus_oculatus ENSLOCG00000011993
scleropages_formosus ENSSFOG00015000328
erpetoichthys_calabaricus ENSECRG00000009261
parus_major ENSPMJG00000001916
callorhinchus_milii ENSCMIG00000006549
latimeria_chalumnae ENSLACG00000002863
crocodylus_porosus ENSCPRG00005002773
lepisosteus_oculatus ENSLOCG00000015560
callorhinchus_milii ENSCMIG00000008534
pogona_vitticeps ENSPVIG00000004766
pogona_vitticeps ENSPVIG00000008679
anolis_carolinensis ENSACAG00000007798
notechis_scutatus ENSNSUG00000011289
salvator_merianae ENSSMRG00000006845
chrysemys_picta ENSCPBG00000010764
latimeria_chalumnae ENSLACG00000006184
lepisosteus_oculatus ENSLOCG00000012662
scleropages_formosus ENSSFOG00015019589
paramormyrops_kingsleyae ENSPKIG00000013110
erpetoichthys_calabaricus ENSECRG00000002279
latimeria_chalumnae ENSLACG00000014268
latimeria_chalumnae ENSLACG00000010811
anolis_carolinensis ENSACAG00000017194
notechis_scutatus ENSNSUG00000017972
anolis_carolinensis ENSACAG00000017196
pelodiscus_sinensis ENSPSIG00000007079
crocodylus_porosus ENSCPRG00005014397
sorex_araneus ENSSARG00000002061
tupaia_belangeri ENSTBEG00000001779
chinchilla_lanigera ENSCLAG00000002360
fukomys_damarensis ENSFDAG00000011889
heterocephalus_glaber ENSHGLG00000008037
heterocephalus_glaber ENSHGLG00100006760
octodon_degus ENSODEG00000008147
cavia_porcellus ENSCPOG00000012288
cavia_aperea ENSCAPG00000015771
mustela_putorius ENSMPUG00000001248
neovison_vison ENSNVIG00000015060
ursus_americanus ENSUAMG00000023955
ursus_maritimus ENSUMAG00000019299
ailuropoda_melanoleuca ENSAMEG00000013863
myotis_lucifugus ENSMLUG00000027520
dasypus_novemcinctus ENSDNOG00000006249
jaculus_jaculus ENSJJAG00000022382
canis_lupus ENSCAFG00000012020
canis_lupus ENSCAFG00020003116
vulpes_vulpes ENSVVUG00000020126
pteropus_vampyrus ENSPVAG00000012243
tursiops_truncatus ENSTTRG00000008495
vicugna_pacos ENSVPAG00000003163
bos_indicus ENSBIXG00000013273
bos_indicus ENSBIXG00005006336
bos_taurus ENSBTAG00000000871
bos_mutus ENSBMUG00000002233
bison_bison ENSBBBG00000003320
ovis_aries ENSOARG00000017386
capra_hircus ENSCHIG00000009534
sus_scrofa ENSSSCG00000001219
equus_asinus ENSEASG00005012145
equus_caballus ENSECAG00000019089
erinaceus_europaeus ENSEEUG00000007384
pan_paniscus ENSPPAG00000036785
pan_troglodytes ENSPTRG00000017883
homo_sapiens ENSG00000204713
gorilla_gorilla ENSGGOG00000015891
pongo_abelii ENSPPYG00000016378
nomascus_leucogenys ENSNLEG00000004590
macaca_mulatta ENSMMUG00000015961
macaca_nemestrina ENSMNEG00000028405
macaca_fascicularis ENSMFAG00000034098
chlorocebus_sabaeus ENSCSAG00000008057
cercocebus_atys ENSCATG00000038770
theropithecus_gelada ENSTGEG00000003850
mandrillus_leucophaeus ENSMLEG00000031420
papio_anubis ENSPANG00000006411
rhinopithecus_roxellana ENSRROG00000035479
rhinopithecus_bieti ENSRBIG00000024087
piliocolobus_tephrosceles ENSPTEG00000036263
colobus_angolensis ENSCANG00000043681
cebus_capucinus ENSCCAG00000026614
callithrix_jacchus ENSCJAG00000012363
aotus_nancymaae ENSANAG00000019717
carlito_syrichta ENSTSYG00000001665
propithecus_coquereli ENSPCOG00000018155
microcebus_murinus ENSMICG00000000738
prolemur_simus ENSPSMG00000015964
otolemur_garnettii ENSOGAG00000007656
castor_canadensis ENSCCNG00000019458
dipodomys_ordii ENSDORG00000005051
mus_spicilegus ENSMSIG00000017950
mus_musculus ENSMUSG00000021326
mus_spretus MGP_SPRETEiJ_G0019120
mus_caroli MGP_CAROLIEiJ_G0018264
mus_pahari MGP_PahariEiJ_G0019314
rattus_norvegicus ENSRNOG00000055917
meriones_unguiculatus ENSMUGG00000019373
microtus_ochrogaster ENSMOCG00000007155
peromyscus_maniculatus ENSPEMG00000022731
cricetulus_griseus ENSCGRG00001018921
cricetulus_griseus ENSCGRG00015008229
cricetulus_griseus ENSCGRG00000005041
mesocricetus_auratus ENSMAUG00000011588
nannospalax_galili ENSNGAG00000018378
urocitellus_parryii ENSUPAG00010011396
ictidomys_tridecemlineatus ENSSTOG00000000235
marmota_marmota ENSMMMG00000020616
spermophilus_dauricus ENSSDAG00000022721
oryctolagus_cuniculus ENSOCUG00000010343
ochotona_princeps ENSOPRG00000013682
saimiri_boliviensis ENSSBOG00000026377
choloepus_hoffmanni ENSCHOG00000000655
loxodonta_africana ENSLAFG00000012533
procavia_capensis ENSPCAG00000008191
echinops_telfairi ENSETEG00000011485
panthera_pardus ENSPPRG00000013929
panthera_tigris ENSPTIG00000006847
felis_catus ENSFCAG00000026440
lepisosteus_oculatus ENSLOCG00000012669
lepisosteus_oculatus ENSLOCG00000012678
callorhinchus_milii ENSCMIG00000009625
callorhinchus_milii ENSCMIG00000009640
callorhinchus_milii ENSCMIG00000006525
callorhinchus_milii ENSCMIG00000003325
callorhinchus_milii ENSCMIG00000001463
