ENSPMAP00000004863	ENSPMAG00000004427	Petromyzon_marinus	ENSPMAT00000004882
ENSEBUP00000009179	ENSEBUG00000005923	Eptatretus_burgeri	ENSEBUT00000009699
ENSZALP00000020169	ENSZALG00000015894	Zonotrichia_albicollis
ENSJHYP00000020023	ENSJHYG00000015182	Junco_hyemalis
ENSSCAP00000021347	ENSSCAG00000015353	Serinus_canaria
ENSTGUP00000002235	ENSTGUG00000002154	Taeniopygia_guttata
ENSLSDP00000015423	ENSLSDG00000011104	Lonchura_striata_domestica
ENSFALP00000005469	ENSFALG00000005255	Ficedula_albicollis
ENSPMJP00000010687	ENSPMJG00000008381	Parus_major
ENSCCEP00000026661	ENSCCEG00000023386	Cyanistes_caeruleus
ENSMVIP00005009731	ENSMVIG00005007032	Manacus_vitellinus
ENSLCOP00000013438	ENSLCOG00000009695	Lepidothrix_coronata
ENSCPGP00000012315	ENSCPGG00000008279	Calidris_pygmaea
ENSCPUP00000017388	ENSCPUG00000011982	Calidris_pugnax
ENSMUNP00000016625	ENSMUNG00000012812	Melopsittacus_undulatus
ENSMGAP00000008303	ENSMGAG00000008112	Meleagris_gallopavo
ENSGALP00000018252	ENSGALG00000011208	Gallus_gallus
ENSCJPP00005011900	ENSCJPG00005010173	Coturnix_japonica
ENSNMEP00000021955	ENSNMEG00000018812	Numida_meleagris
ENSABRP00000017922	ENSABRG00000015348	Anser_brachyrhynchus
ENSAPLP00000012107	ENSAPLG00000012292	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000019283	ENSAHAG00000013355	Apteryx_haastii
ENSARWP00000010700	ENSARWG00000007209	Apteryx_rowi
ENSAOWP00000007755	ENSAOWG00000005323	Apteryx_owenii
ENSDNVP00000000695	ENSDNVG00000000534	Dromaius_novaehollandiae
ENSNPEP00000006163	ENSNPEG00000004635	Nothoprocta_perdicaria
ENSCPRP00005021759	ENSCPRG00005015037	Crocodylus_porosus
ENSGAGP00000020562	ENSGAGG00000015134	Gopherus_agassizii
ENSCABP00000009657	ENSCABG00000007074	Chelonoidis_abingdonii
ENSCPBP00000010116	ENSCPBG00000007787	Chrysemys_picta_bellii
ENSPSIP00000017844	ENSPSIG00000015865	Pelodiscus_sinensis
ENSPVIP00000010001	ENSPVIG00000007946	Pogona_vitticeps
ENSACAP00000020018	ENSACAG00000010842	Anolis_carolinensis
ENSNSUP00000025793	ENSNSUG00000018533	Notechis_scutatus
ENSSMRP00000016566	ENSSMRG00000012916	Salvator_merianae
ENSSPUP00000018100	ENSSPUG00000013976	Sphenodon_punctatus
ENSVURP00010029322	ENSVURG00010022432	Vombatus_ursinus
ENSPCIP00000026813	ENSPCIG00000019746	Phascolarctos_cinereus
ENSMEUP00000009999	ENSMEUG00000010939	Notamacropus_eugenii
ENSSHAP00000007415	ENSSHAG00000006446	Sarcophilus_harrisii
