>ENSTGET00000020693	ENSTGEG00000014021
>ENSPANT00000048379	ENSPANG00000031764
>ENSCATT00000021226	ENSCATG00000018474
>ENSMLET00000025562	ENSMLEG00000023430
>ENSMNET00000040577	ENSMNEG00000032217
>ENSMFAT00000064834	ENSMFAG00000030311
>ENSRROT00000061678	ENSRROG00000042042
>ENSRBIT00000042669	ENSRBIG00000033394
>ENSPPAT00000039379	ENSPPAG00000031455
