gasterosteus_aculeatus ENSGACG00000019783
mola_mola ENSMMOG00000001906
labrus_bergylta ENSLBEG00000014844
monopterus_albus ENSMALG00000012809
mastacembelus_armatus ENSMAMG00000011440
anabas_testudineus ENSATEG00000018172
seriola_dumerili ENSSDUG00000002963
seriola_lalandi_dorsalis ENSSLDG00000023608
scophthalmus_maximus ENSSMAG00000001436
fundulus_heteroclitus ENSFHEG00000021701
cyprinodon_variegatus ENSCVAG00000010085
xiphophorus_couchianus ENSXCOG00000013611
xiphophorus_maculatus ENSXMAG00000011230
gambusia_affinis ENSGAFG00000008713
poecilia_formosa ENSPFOG00000004189
poecilia_mexicana ENSPMEG00000006586
poecilia_latipinna ENSPLAG00000017990
poecilia_reticulata ENSPREG00000002444
kryptolebias_marmoratus ENSKMAG00000016458
oryzias_latipes_asm223469v1 ENSORLG00015012869
oryzias_latipes ENSORLG00020014402
oryzias_latipes ENSORLG00000015034
oryzias_melastigma ENSOMEG00000007029
maylandia_zebra ENSMZEG00005005876
astatotilapia_calliptera ENSACLG00000023484
haplochromis_burtoni ENSHBUG00000018911
pundamilia_nyererei ENSPNYG00000000710
oreochromis_niloticus ENSONIG00000011531
neolamprologus_brichardi ENSNBRG00000006039
amphilophus_citrinellus ENSACIG00000003852
amphiprion_ocellaris ENSAOCG00000014519
amphiprion_ocellaris ENSAOCG00000023251
amphiprion_percula ENSAPEG00000006668
acanthochromis_polyacanthus ENSAPOG00000013670
stegastes_partitus ENSSPAG00000011388
cynoglossus_semilaevis ENSCSEG00000008392
periophthalmus_magnuspinnatus ENSPMGG00000009821
takifugu_rubripes ENSTRUG00000014935
tetraodon_nigroviridis ENSTNIG00000011024
hippocampus_comes ENSHCOG00000005032
gadus_morhua ENSGMOG00000018773
esox_lucius ENSELUG00000001784
pygocentrus_nattereri ENSPNAG00000029239
astyanax_mexicanus ENSAMXG00000010349
ictalurus_punctatus ENSIPUG00000018003
danio_rerio ENSDARG00000019235
