,ENSPTET00000047923_ENSPTEG00000033252,ENSPANT00000056044_ENSPANG00000034192,ENSCJAT00000079492_ENSCJAG00000041827,ENSPSMT00000001593_ENSPSMG00000001037,ENSPSMT00000040975_ENSPSMG00000024481,ENSSDAT00000029998_ENSSDAG00000023794
ENSPTET00000047923_ENSPTEG00000033252,1.0,1.0,0.99,0.99,0.98,0.99
ENSPANT00000056044_ENSPANG00000034192,1.0,1.0,0.99,0.99,0.98,0.99
ENSCJAT00000079492_ENSCJAG00000041827,0.99,0.99,1.0,0.99,0.99,0.99
ENSPSMT00000001593_ENSPSMG00000001037,0.99,0.99,0.99,1.0,0.99,1.0
ENSPSMT00000040975_ENSPSMG00000024481,0.98,0.98,0.99,0.99,1.0,0.99
ENSSDAT00000029998_ENSSDAG00000023794,0.99,0.99,0.99,1.0,0.99,1.0
