,ENSPPAT00000043442_ENSPPAG00000033533,ENSPPAT00000043446_ENSPPAG00000033533,ENSPTRT00000109044_ENSPTRG00000044410,ENSPTRT00000089803_ENSPTRG00000044410,ENST00000347635_ENSG00000093000,ENST00000407019_ENSG00000093000,ENST00000424634_ENSG00000093000,ENST00000417702_ENSG00000093000
ENSPPAT00000043442_ENSPPAG00000033533,1.0,0.94,1.0,0.94,0.99,0.9,0.12,0.03
ENSPPAT00000043446_ENSPPAG00000033533,0.94,1.0,0.94,1.0,0.94,0.85,0.16,0.07
ENSPTRT00000109044_ENSPTRG00000044410,1.0,0.94,1.0,0.94,0.99,0.9,0.12,0.03
ENSPTRT00000089803_ENSPTRG00000044410,0.94,1.0,0.94,1.0,0.94,0.85,0.16,0.07
ENST00000347635_ENSG00000093000,0.99,0.94,0.99,0.94,1.0,0.91,0.12,0.03
ENST00000407019_ENSG00000093000,0.9,0.85,0.9,0.85,0.91,1.0,0.04,0.08
ENST00000424634_ENSG00000093000,0.12,0.16,0.12,0.16,0.12,0.04,1.0,0.79
ENST00000417702_ENSG00000093000,0.03,0.07,0.03,0.07,0.03,0.08,0.79,1.0
