notamacropus_eugenii ENSMEUG00000002082
phascolarctos_cinereus ENSPCIG00000021230
monodelphis_domestica ENSMODG00000017890
choloepus_hoffmanni ENSCHOG00000000872
dasypus_novemcinctus ENSDNOG00000005186
procavia_capensis ENSPCAG00000008740
echinops_telfairi ENSETEG00000019756
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030069
mus_spicilegus ENSMSIG00000023968
mus_musculus ENSMUSG00000030230
mus_pahari MGP_PahariEiJ_G0022782
rattus_norvegicus ENSRNOG00000008514
meriones_unguiculatus ENSMUGG00000006514
microtus_ochrogaster ENSMOCG00000015910
peromyscus_maniculatus_bairdii ENSPEMG00000011720
cricetulus_griseus_crigri ENSCGRG00000013440
cricetulus_griseus_chok1gshd ENSCGRG00001000621
cricetulus_griseus_crigri-picr ENSCGRG00015001874
mesocricetus_auratus ENSMAUG00000020866
nannospalax_galili ENSNGAG00000001650
jaculus_jaculus ENSJJAG00000021526
castor_canadensis ENSCCNG00000011875
chinchilla_lanigera ENSCLAG00000016140
octodon_degus ENSODEG00000010466
cavia_porcellus ENSCPOG00000006656
cavia_aperea ENSCAPG00000010219
heterocephalus_glaber_female ENSHGLG00000007346
heterocephalus_glaber_male ENSHGLG00100016156
fukomys_damarensis ENSFDAG00000008806
spermophilus_dauricus ENSSDAG00000019177
urocitellus_parryii ENSUPAG00010004369
ictidomys_tridecemlineatus ENSSTOG00000010922
marmota_marmota_marmota ENSMMMG00000016649
oryctolagus_cuniculus ENSOCUG00000014664
ochotona_princeps ENSOPRG00000011919
pan_troglodytes ENSPTRG00000004742
pan_paniscus ENSPPAG00000033231
homo_sapiens ENSG00000139151
gorilla_gorilla ENSGGOG00000004982
pongo_abelii ENSPPYG00000004341
nomascus_leucogenys ENSNLEG00000004405
colobus_angolensis_palliatus ENSCANG00000031158
piliocolobus_tephrosceles ENSPTEG00000019742
rhinopithecus_roxellana ENSRROG00000028279
rhinopithecus_bieti ENSRBIG00000032542
mandrillus_leucophaeus ENSMLEG00000027699
cercocebus_atys ENSCATG00000030590
macaca_nemestrina ENSMNEG00000039589
macaca_fascicularis ENSMFAG00000001065
macaca_mulatta ENSMMUG00000022175
theropithecus_gelada ENSTGEG00000024650
papio_anubis ENSPANG00000012068
chlorocebus_sabaeus ENSCSAG00000008141
cebus_capucinus ENSCCAG00000019981
callithrix_jacchus ENSCJAG00000007242
saimiri_boliviensis_boliviensis ENSSBOG00000022383
aotus_nancymaae ENSANAG00000000135
carlito_syrichta ENSTSYG00000013395
propithecus_coquereli ENSPCOG00000026247
microcebus_murinus ENSMICG00000002511
prolemur_simus ENSPSMG00000014397
otolemur_garnettii ENSOGAG00000002625
tupaia_belangeri ENSTBEG00000004798
equus_caballus ENSECAG00000011373
equus_caballus ENSECAG00000030749
equus_caballus ENSECAG00000038825
equus_asinus_asinus ENSEASG00005014581
erinaceus_europaeus ENSEEUG00000007040
capra_hircus ENSCHIG00000025843
ovis_aries ENSOARG00000020514
bison_bison_bison ENSBBBG00000011547
bos_mutus ENSBMUG00000004748
bos_taurus ENSBTAG00000013202
tursiops_truncatus ENSTTRG00000002980
sus_scrofa ENSSSCG00000000590
vicugna_pacos ENSVPAG00000008547
pteropus_vampyrus ENSPVAG00000000636
myotis_lucifugus ENSMLUG00000017203
ursus_maritimus ENSUMAG00000003018
ursus_americanus ENSUAMG00000017554
ailuropoda_melanoleuca ENSAMEG00000010581
mustela_putorius_furo ENSMPUG00000011440
neovison_vison ENSNVIG00000001926
canis_lupus_familiaris ENSCAFG00000012538
canis_lupus_dingo ENSCAFG00020007462
vulpes_vulpes ENSVVUG00000002147
panthera_pardus ENSPPRG00000007169
panthera_pardus ENSPPRG00000007065
panthera_tigris_altaica ENSPTIG00000001749
felis_catus ENSFCAG00000018855
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029019
ornithorhynchus_anatinus ENSOANG00000029316
sorex_araneus ENSSARG00000003736
ornithorhynchus_anatinus ENSOANG00000029536
pogona_vitticeps ENSPVIG00000012580
anolis_carolinensis ENSACAG00000017592
notechis_scutatus ENSNSUG00000013778
salvator_merianae ENSSMRG00000005945
anolis_carolinensis ENSACAG00000029483
notechis_scutatus ENSNSUG00000008202
pogona_vitticeps ENSPVIG00000012582
salvator_merianae ENSSMRG00000005847
sphenodon_punctatus ENSSPUG00000001300
anser_brachyrhynchus ENSABRG00000013692
anas_platyrhynchos_platyrhynchos ENSAPLG00000009837
meleagris_gallopavo ENSMGAG00000016675
meleagris_gallopavo ENSMGAG00000013582
gallus_gallus ENSGALG00000013123
coturnix_japonica ENSCJPG00005002976
numida_meleagris ENSNMEG00000009895
lepidothrix_coronata ENSLCOG00000012700
manacus_vitellinus ENSMVIG00005012957
taeniopygia_guttata ENSTGUG00000012361
lonchura_striata_domestica ENSLSDG00000017890
junco_hyemalis ENSJHYG00000014761
zonotrichia_albicollis ENSZALG00000004086
serinus_canaria ENSSCAG00000006657
cyanistes_caeruleus ENSCCEG00000012747
ficedula_albicollis ENSFALG00000001086
melopsittacus_undulatus ENSMUNG00000005461
calidris_pygmaea ENSCPGG00000006190
calidris_pugnax ENSCPUG00000019472
apteryx_haastii ENSAHAG00000002522
apteryx_owenii ENSAOWG00000006943
apteryx_rowi ENSARWG00000018197
dromaius_novaehollandiae ENSDNVG00000003310
nothoprocta_perdicaria ENSNPEG00000013958
crocodylus_porosus ENSCPRG00005012413
chelonoidis_abingdonii ENSCABG00000008341
gopherus_agassizii ENSGAGG00000002583
chrysemys_picta_bellii ENSCPBG00000022766
pelodiscus_sinensis ENSPSIG00000002214
latimeria_chalumnae ENSLACG00000000847
poecilia_formosa ENSPFOG00000013930
poecilia_mexicana ENSPMEG00000013152
poecilia_mexicana ENSPMEG00000018311
poecilia_latipinna ENSPLAG00000010534
poecilia_reticulata ENSPREG00000016651
xiphophorus_couchianus ENSXCOG00000016325
xiphophorus_maculatus ENSXMAG00000007186
gambusia_affinis ENSGAFG00000013492
fundulus_heteroclitus ENSFHEG00000008486
kryptolebias_marmoratus ENSKMAG00000002175
oryzias_latipes ENSORLG00000004573
oryzias_latipes_asm223469v1 ENSORLG00015006283
oryzias_latipes ENSORLG00020001013
oryzias_melastigma ENSOMEG00000013168
amphiprion_ocellaris ENSAOCG00000004877
amphiprion_percula ENSAPEG00000001843
acanthochromis_polyacanthus ENSAPOG00000010693
stegastes_partitus ENSSPAG00000014365
monopterus_albus ENSMALG00000009483
gasterosteus_aculeatus ENSGACG00000010007
anabas_testudineus ENSATEG00000016021
labrus_bergylta ENSLBEG00000012696
mastacembelus_armatus ENSMAMG00000023234
mola_mola ENSMMOG00000012234
seriola_dumerili ENSSDUG00000022135
seriola_lalandi_dorsalis ENSSLDG00000004630
scophthalmus_maximus ENSSMAG00000010232
pundamilia_nyererei ENSPNYG00000000754
maylandia_zebra ENSMZEG00005005713
astatotilapia_calliptera ENSACLG00000005641
haplochromis_burtoni ENSHBUG00000004211
neolamprologus_brichardi ENSNBRG00000001819
oreochromis_niloticus ENSONIG00000008494
amphilophus_citrinellus ENSACIG00000018596
takifugu_rubripes ENSTRUG00000017022
tetraodon_nigroviridis ENSTNIG00000016034
cyprinodon_variegatus ENSCVAG00000000145
cynoglossus_semilaevis ENSCSEG00000013248
hippocampus_comes ENSHCOG00000016511
periophthalmus_magnuspinnatus ENSPMGG00000005817
gadus_morhua ENSGMOG00000005210
esox_lucius ENSELUG00000006650
lepisosteus_oculatus ENSLOCG00000015427
