,ENSPVIT00000031371,ENSPVIT00000031370,ENSACAT00000005819
ENSPVIT00000031371,1.0,0.9651972157772621,0.5699922660479505
ENSPVIT00000031370,0.9651972157772621,1.0,0.5962877030162413
ENSACAT00000005819,0.5699922660479505,0.5962877030162413,1.0
