ENSTGEP00000003401	ENSTGEG00000002880	Theropithecus_gelada
ENSPFOP00000008632	ENSPFOG00000008140	Poecilia_formosa
ENSPMEP00000033210	ENSPMEG00000021791	Poecilia_mexicana
ENSIPUP00000016175	ENSIPUG00000010968	Ictalurus_punctatus
ENSLCAP00010052313	ENSLCAG00010024179	Lates_calcarifer
ENSMPUP00000015899	ENSMPUG00000016005	Mustela_putorius_furo
ENSPPYP00000002034	ENSPPYG00000001757	Pongo_abelii
ENSBBBP00000021530	ENSBBBG00000003520	Bison_bison_bison
ENSGMOP00000012438	ENSGMOG00000011630	Gadus_morhua
ENSOANP00000027432	ENSOANG00000021543	Ornithorhynchus_anatinus
ENSJHYP00000006181	ENSJHYG00000004996	Junco_hyemalis
ENSXMAP00000012366	ENSXMAG00000012335	Xiphophorus_maculatus
ENSPMGP00000026856	ENSPMGG00000021666	Periophthalmus_magnuspinnatus
ENSCCNP00000009058	ENSCCNG00000009384	Castor_canadensis
ENSPREP00000032999	ENSPREG00000022327	Poecilia_reticulata
ENSSBOP00000025642	ENSSBOG00000029263	Saimiri_boliviensis_boliviensis
ENSCSEP00000026921	ENSCSEG00000017118	Cynoglossus_semilaevis
ENSPLAP00000027923	ENSPLAG00000017011	Poecilia_latipinna
ENSPVAP00000004433	ENSPVAG00000004677	Pteropus_vampyrus
ENSLOCP00000002110	ENSLOCG00000001778	Lepisosteus_oculatus
ENSTGUP00000016883	ENSTGUG00000016588	Taeniopygia_guttata
ENSPKIP00000029020	ENSPKIG00000009289	Paramormyrops_kingsleyae
ENSACLP00000032451	ENSACLG00000020266	Astatotilapia_calliptera
ENSLACP00000002678	ENSLACG00000002396	Latimeria_chalumnae
ENSODEP00000020880	ENSODEG00000015394	Octodon_degus
ENSAMEP00000015316	ENSAMEG00000014404	Ailuropoda_melanoleuca
ENSOARP00000008881	ENSOARG00000008248	Ovis_aries
ENSOCUP00000018458	ENSOCUG00000010955	Oryctolagus_cuniculus
ENSBMUP00000028172	ENSBMUG00000019731	Bos_mutus
ENSCMIP00000005367	ENSCMIG00000002943	Callorhinchus_milii
ENSCCEP00000015212	ENSCCEG00000014405	Cyanistes_caeruleus
ENSGAGP00000003468	ENSGAGG00000002525	Gopherus_agassizii
ENSSMRP00000024012	ENSSMRG00000018199	Salvator_merianae
ENSGACP00000014624	ENSGACG00000011057	Gasterosteus_aculeatus
ENSMEUP00000001652	ENSMEUG00000001729	Notamacropus_eugenii
ENSPTRP00000000536	ENSPTRG00000000307	Pan_troglodytes
ENSOGAP00000009060	ENSOGAG00000010117	Otolemur_garnettii
ENSACIP00000019099	ENSACIG00000014726	Amphilophus_citrinellus
ENSMICP00000012664	ENSMICG00000013802	Microcebus_murinus
ENSCAPP00000018608	ENSCAPG00000017950	Cavia_aperea
ENSOMEP00000016777	ENSOMEG00000018627	Oryzias_melastigma
ENSMMOP00000022567	ENSMMOG00000017103	Mola_mola
ENSSLDP00000019816	ENSSLDG00000015427	Seriola_lalandi_dorsalis
ENSPTEP00000008730	ENSPTEG00000009884	Piliocolobus_tephrosceles
ENSGMOP00000012452	ENSGMOG00000011648	Gadus_morhua
ENSSMAP00000033848	ENSSMAG00000020541	Scophthalmus_maximus
ENSDNOP00000001657	ENSDNOG00000002131	Dasypus_novemcinctus
ENSHHUP00000055471	ENSHHUG00000032952	Hucho_hucho
ENSSPAP00000024896	ENSSPAG00000018682	Stegastes_partitus
ENSCSAVP00000005018	ENSCSAVG00000002996	Ciona_savignyi
ENSPSMP00000014182	ENSPSMG00000010175	Prolemur_simus
ENSPEMP00000015814	ENSPEMG00000015057	Peromyscus_maniculatus_bairdii
ENSHHUP00000017457	ENSHHUG00000010877	Hucho_hucho
ENSCINP00000017466	ENSCING00000008563	Ciona_intestinalis
ENSETEP00000010411	ENSETEG00000012835	Echinops_telfairi
ENSMUGP00000030089	ENSMUGG00000024918	Meriones_unguiculatus
MGP_PahariEiJ_P0080384	MGP_PahariEiJ_G0029009	Mus_pahari_strain_PAHARI_EIJ
ENSMFAP00000015244	ENSMFAG00000030725	Macaca_fascicularis
FBpp0309655	FBgn0284408	Drosophila_melanogaster
ENSCLAP00000013736	ENSCLAG00000009491	Chinchilla_lanigera
ENSMAUP00000008937	ENSMAUG00000009979	Mesocricetus_auratus
ENSCHAP00000036083	ENSCHAG00000012913	Clupea_harengus
ENSACAP00000012390	ENSACAG00000012619	Anolis_carolinensis
ENSIPUP00000032693	ENSIPUG00000021890	Ictalurus_punctatus
ENSVVUP00000042557	ENSVVUG00000030123	Vulpes_vulpes
ENSTTRP00000004961	ENSTTRG00000005193	Tursiops_truncatus
ENSGWIP00000020730	ENSGWIG00000010211	Gouania_willdenowi
ENSSDUP00000004954	ENSSDUG00000003521	Seriola_dumerili
ENSMODP00000020041	ENSMODG00000016051	Monodelphis_domestica
ENSGAFP00000030668	ENSGAFG00000020664	Gambusia_affinis
ENSCSAP00000017100	ENSCSAG00000000907	Chlorocebus_sabaeus
ENSDARP00000141317	ENSDARG00000076564	Danio_rerio
ENSLBEP00000023625	ENSLBEG00000017849	Labrus_bergylta
ENSATEP00000035313	ENSATEG00000024279	Anabas_testudineus	ENSATET00000035823
ENSATEP00000035310	ENSATEG00000024277	Anabas_testudineus	ENSATET00000035820
ENSCINP00000034814	ENSCING00000023647	Ciona_intestinalis
ENSXETP00000023797	ENSXETG00000010038	Xenopus_tropicalis
ENSELUP00000003234	ENSELUG00000004532	Esox_lucius
ENSPNYP00000026711	ENSPNYG00000019971	Pundamilia_nyererei
ENSCABP00000030151	ENSCABG00000022099	Chelonoidis_abingdonii
ENSCCAP00000031353	ENSCCAG00000033733	Cebus_capucinus_imitator
ENSORLP00015002848	ENSORLG00015003650	Oryzias_latipes_ASM223469v1
ENSORLP00000019917	ENSORLG00000015904	Oryzias_latipes_ASM223467v1
ENSMALP00000002399	ENSMALG00000001685	Monopterus_albus	ENSMALT00000002463
ENSPVIP00000024599	ENSPVIG00000018419	Pogona_vitticeps
ENSEBUP00000027929	ENSEBUG00000017064	Eptatretus_burgeri
ENSEASP00005010665	ENSEASG00005007410	Equus_asinus_asinus
ENSHHUP00000023685	ENSHHUG00000014677	Hucho_hucho
ENSSSCP00000042454	ENSSSCG00000003514	Sus_scrofa_strain_reference
ENSXCOP00000020501	ENSXCOG00000015352	Xiphophorus_couchianus
ENSPCOP00000007187	ENSPCOG00000014813	Propithecus_coquereli
MGP_SPRETEiJ_P0067852	MGP_SPRETEiJ_G0027658	Mus_spretus_strain_SPRET/EiJ
ENSCANP00000017360	ENSCANG00000032072	Colobus_angolensis_palliatus
ENSP00000363827	ENSG00000142798	Homo_sapiens
ENSMZEP00005029893	ENSMZEG00005022297	Maylandia_zebra
ENSOPRP00000002711	ENSOPRG00000002779	Ochotona_princeps
ENSECRP00000014284	ENSECRG00000009522	Erpetoichthys_calabaricus
ENSFCAP00000062012	ENSFCAG00000002965	Felis_catus
ENSCATP00000024536	ENSCATG00000035754	Cercocebus_atys
ENSNLEP00000009980	ENSNLEG00000008145	Nomascus_leucogenys
ENSGGOP00000012925	ENSGGOG00000013212	Gorilla_gorilla
ENSMGAP00000007430	ENSMGAG00000007242	Meleagris_gallopavo
ENSGALP00000051462	ENSGALG00000035717	Gallus_gallus
ENSNMEP00000020355	ENSNMEG00000017476	Numida_meleagris
ENSECAP00000054621	ENSECAG00000012961	Equus_caballus
ENSTRUP00000021101	ENSTRUG00000008424	Takifugu_rubripes
ENSTSYP00000022886	ENSTSYG00000027474	Carlito_syrichta
ENSBTAP00000022744	ENSBTAG00000017122	Bos_taurus
ENSCAFP00020024778	ENSCAFG00020019108	Canis_lupus_dingo
ENSCGRP00001027812	ENSCGRG00001024687	Cricetulus_griseus_CHOK1GS_HDv1
ENSRBIP00000008430	ENSRBIG00000028096	Rhinopithecus_bieti
ENSPPAP00000037136	ENSPPAG00000041282	Pan_paniscus
