gallus_gallus ENSGALG00000032690
meleagris_gallopavo ENSMGAG00000007549
coturnix_japonica ENSCJPG00005008583
numida_meleagris ENSNMEG00000021735
anser_brachyrhynchus ENSABRG00000015061
calidris_pygmaea ENSCPGG00000014829
melopsittacus_undulatus ENSMUNG00000013407
cyanistes_caeruleus ENSCCEG00000022955
parus_major ENSPMJG00000018781
junco_hyemalis ENSJHYG00000006921
zonotrichia_albicollis ENSZALG00000008630
serinus_canaria ENSSCAG00000003513
taeniopygia_guttata ENSTGUG00000010243
lonchura_striata ENSLSDG00000009117
ficedula_albicollis ENSFALG00000007216
manacus_vitellinus ENSMVIG00005002840
manacus_vitellinus ENSMVIG00005003277
manacus_vitellinus ENSMVIG00005002225
lepidothrix_coronata ENSLCOG00000012815
apteryx_owenii ENSAOWG00000012211
apteryx_haastii ENSAHAG00000011444
apteryx_rowi ENSARWG00000018867
dromaius_novaehollandiae ENSDNVG00000007321
nothoprocta_perdicaria ENSNPEG00000009510
crocodylus_porosus ENSCPRG00005001677
gopherus_agassizii ENSGAGG00000009833
chelonoidis_abingdonii ENSCABG00000005081
chrysemys_picta ENSCPBG00000001164
pelodiscus_sinensis ENSPSIG00000003736
sphenodon_punctatus ENSSPUG00000015618
pogona_vitticeps ENSPVIG00000013895
notechis_scutatus ENSNSUG00000010925
salvator_merianae ENSSMRG00000017423
vombatus_ursinus ENSVURG00010002953
phascolarctos_cinereus ENSPCIG00000005052
notamacropus_eugenii ENSMEUG00000004004
sarcophilus_harrisii ENSSHAG00000011696
monodelphis_domestica ENSMODG00000015355
ornithorhynchus_anatinus ENSOANG00000012187
pan_troglodytes ENSPTRG00000005647
homo_sapiens ENSG00000185163
gorilla_gorilla ENSGGOG00000010250
pongo_abelii ENSPPYG00000005135
piliocolobus_tephrosceles ENSPTEG00000032092
colobus_angolensis ENSCANG00000032770
rhinopithecus_roxellana ENSRROG00000029937
macaca_fascicularis ENSMFAG00000031189
macaca_nemestrina ENSMNEG00000032293
macaca_mulatta ENSMMUG00000062540
chlorocebus_sabaeus ENSCSAG00000001868
papio_anubis ENSPANG00000008107
cercocebus_atys ENSCATG00000034250
mandrillus_leucophaeus ENSMLEG00000029256
theropithecus_gelada ENSTGEG00000028383
cebus_capucinus ENSCCAG00000031005
callithrix_jacchus ENSCJAG00000046414
nomascus_leucogenys ENSNLEG00000008548
pan_paniscus ENSPPAG00000028768
aotus_nancymaae ENSANAG00000031596
saimiri_boliviensis ENSSBOG00000018712
carlito_syrichta ENSTSYG00000034346
prolemur_simus ENSPSMG00000019451
microcebus_murinus ENSMICG00000037047
propithecus_coquereli ENSPCOG00000019597
otolemur_garnettii ENSOGAG00000030755
octodon_degus ENSODEG00000009622
chinchilla_lanigera ENSCLAG00000009231
cavia_porcellus ENSCPOG00000023923
cavia_aperea ENSCAPG00000009916
heterocephalus_glaber ENSHGLG00000009892
heterocephalus_glaber ENSHGLG00100017865
fukomys_damarensis ENSFDAG00000013231
urocitellus_parryii ENSUPAG00010023346
marmota_marmota ENSMMMG00000004784
spermophilus_dauricus ENSSDAG00000005818
ictidomys_tridecemlineatus ENSSTOG00000023762
castor_canadensis ENSCCNG00000012463
dipodomys_ordii ENSDORG00000015154
mus_spicilegus ENSMSIG00000004203
mus_spretus MGP_SPRETEiJ_G0028547
mus_musculus ENSMUSG00000029504
mus_caroli MGP_CAROLIEiJ_G0027549
mus_pahari MGP_PahariEiJ_G0024131
rattus_norvegicus ENSRNOG00000037480
meriones_unguiculatus ENSMUGG00000002621
cricetulus_griseus ENSCGRG00001007401
cricetulus_griseus ENSCGRG00015021165
cricetulus_griseus ENSCGRG00000005173
mesocricetus_auratus ENSMAUG00000012100
microtus_ochrogaster ENSMOCG00000011638
microtus_ochrogaster ENSMOCG00000021818
peromyscus_maniculatus ENSPEMG00000019176
nannospalax_galili ENSNGAG00000020870
jaculus_jaculus ENSJJAG00000019589
mustela_putorius ENSMPUG00000002384
neovison_vison ENSNVIG00000022592
ursus_maritimus ENSUMAG00000002652
ursus_americanus ENSUAMG00000001237
ailuropoda_melanoleuca ENSAMEG00000013674
canis_lupus ENSCAFG00000006320
canis_lupus ENSCAFG00020010492
vulpes_vulpes ENSVVUG00000004382
felis_catus ENSFCAG00000010782
panthera_pardus ENSPPRG00000015010
equus_asinus ENSEASG00005016622
equus_caballus ENSECAG00000018910
ovis_aries ENSOARG00000011942
capra_hircus ENSCHIG00000014268
bos_indicus ENSBIXG00005005981
bos_indicus ENSBIXG00000006045
bos_taurus ENSBTAG00000017219
bos_mutus ENSBMUG00000022246
bison_bison ENSBBBG00000018151
tursiops_truncatus ENSTTRG00000000634
sus_scrofa ENSSSCG00000028735
pteropus_vampyrus ENSPVAG00000000454
myotis_lucifugus ENSMLUG00000029430
procavia_capensis ENSPCAG00000009747
loxodonta_africana ENSLAFG00000008274
dasypus_novemcinctus ENSDNOG00000014194
tupaia_belangeri ENSTBEG00000006060
xenopus_tropicalis ENSXETG00000007649
latimeria_chalumnae ENSLACG00000011076
clupea_harengus ENSCHAG00000015605
denticeps_clupeoides ENSDCDG00000030744
astyanax_mexicanus ENSAMXG00005022750
astyanax_mexicanus ENSAMXG00000001507
pygocentrus_nattereri ENSPNAG00000017430
electrophorus_electricus ENSEEEG00000004101
ictalurus_punctatus ENSIPUG00000009240
danio_rerio ENSDARG00000025854
takifugu_rubripes ENSTRUG00000012670
tetraodon_nigroviridis ENSTNIG00000010281
oryzias_latipes ENSORLG00020016405
oryzias_latipes ENSORLG00015014512
oryzias_latipes ENSORLG00000017814
oryzias_melastigma ENSOMEG00000001919
periophthalmus_magnuspinnatus ENSPMGG00000018687
cottoperca_gobio ENSCGOG00000004204
gasterosteus_aculeatus ENSGACG00000012252
labrus_bergylta ENSLBEG00000025627
scophthalmus_maximus ENSSMAG00000018065
cynoglossus_semilaevis ENSCSEG00000015970
betta_splendens ENSBSLG00000011019
seriola_dumerili ENSSDUG00000001495
seriola_lalandi ENSSLDG00000006541
lates_calcarifer ENSLCAG00010012700
monopterus_albus ENSMALG00000013852
mastacembelus_armatus ENSMAMG00000001462
anabas_testudineus ENSATEG00000013470
mola_mola ENSMMOG00000014757
mola_mola ENSMMOG00000014755
larimichthys_crocea ENSLCRG00005002571
amphiprion_percula ENSAPEG00000004829
amphiprion_ocellaris ENSAOCG00000017332
acanthochromis_polyacanthus ENSAPOG00000013644
stegastes_partitus ENSSPAG00000019759
parambassis_ranga ENSPRNG00000002831
xiphophorus_maculatus ENSXMAG00000010009
xiphophorus_couchianus ENSXCOG00000003043
gambusia_affinis ENSGAFG00000019988
poecilia_formosa ENSPFOG00000008508
poecilia_latipinna ENSPLAG00000023669
poecilia_mexicana ENSPMEG00000011299
poecilia_reticulata ENSPREG00000015992
cyprinodon_variegatus ENSCVAG00000017562
fundulus_heteroclitus ENSFHEG00000008807
kryptolebias_marmoratus ENSKMAG00000019797
gouania_willdenowi ENSGWIG00000012694
astatotilapia_calliptera ENSACLG00000020492
maylandia_zebra ENSMZEG00005012591
neolamprologus_brichardi ENSNBRG00000013764
haplochromis_burtoni ENSHBUG00000007532
oreochromis_niloticus ENSONIG00000001627
amphilophus_citrinellus ENSACIG00000010201
acanthochromis_polyacanthus ENSAPOG00000020228
periophthalmus_magnuspinnatus ENSPMGG00000018683
hippocampus_comes ENSHCOG00000016131
gadus_morhua ENSGMOG00000012614
hucho_hucho ENSHHUG00000020183
esox_lucius ENSELUG00000018602
scleropages_formosus ENSSFOG00015002636
paramormyrops_kingsleyae ENSPKIG00000022075
lepisosteus_oculatus ENSLOCG00000006858
erpetoichthys_calabaricus ENSECRG00000018148
callorhinchus_milii ENSCMIG00000003491
eptatretus_burgeri ENSEBUG00000016425
ciona_savignyi ENSCSAVG00000010817
ciona_intestinalis ENSCING00000000770
drosophila_melanogaster FBgn0004556
caenorhabditis_elegans WBGene00022792
saccharomyces_cerevisiae YNR038W
