scleropages_formosus ENSSFOG00015023426
paramormyrops_kingsleyae ENSPKIG00000000262
astatotilapia_calliptera ENSACLG00000024075
maylandia_zebra ENSMZEG00005021343
pundamilia_nyererei ENSPNYG00000015480
haplochromis_burtoni ENSHBUG00000008340
neolamprologus_brichardi ENSNBRG00000016351
oreochromis_niloticus ENSONIG00000013804
amphilophus_citrinellus ENSACIG00000020599
cynoglossus_semilaevis ENSCSEG00000002786
periophthalmus_magnuspinnatus ENSPMGG00000004306
takifugu_rubripes ENSTRUG00000015163
tetraodon_nigroviridis ENSTNIG00000006709
mola_mola ENSMMOG00000000731
labrus_bergylta ENSLBEG00000021259
monopterus_albus ENSMALG00000022289
anabas_testudineus ENSATEG00000019587
seriola_dumerili ENSSDUG00000017908
seriola_lalandi_dorsalis ENSSLDG00000019925
acanthochromis_polyacanthus ENSAPOG00000004410
stegastes_partitus ENSSPAG00000016912
scophthalmus_maximus ENSSMAG00000016119
hippocampus_comes ENSHCOG00000004160
mastacembelus_armatus ENSMAMG00000012239
poecilia_formosa ENSPFOG00000000533
poecilia_latipinna ENSPLAG00000011653
poecilia_mexicana ENSPMEG00000010026
poecilia_reticulata ENSPREG00000020189
xiphophorus_couchianus ENSXCOG00000018073
xiphophorus_maculatus ENSXMAG00000007274
gambusia_affinis ENSGAFG00000001061
fundulus_heteroclitus ENSFHEG00000001770
cyprinodon_variegatus ENSCVAG00000020053
oryzias_melastigma ENSOMEG00000019687
oryzias_latipes_asm223469v1 ENSORLG00015001104
kryptolebias_marmoratus ENSKMAG00000004743
amphiprion_percula ENSAPEG00000021898
amphiprion_ocellaris ENSAOCG00000008152
gasterosteus_aculeatus ENSGACG00000009132
periophthalmus_magnuspinnatus ENSPMGG00000007008
gadus_morhua ENSGMOG00000006940
esox_lucius ENSELUG00000005566
pygocentrus_nattereri ENSPNAG00000025710
astyanax_mexicanus ENSAMXG00000015101
ictalurus_punctatus ENSIPUG00000023744
danio_rerio ENSDARG00000062258
