,ENSPCOT00000036819_ENSPCOG00000025359,ENSPCOT00000036820_ENSPCOG00000025359,ENSMICT00000066537_ENSMICG00000042095,ENSMICT00000063408_ENSMICG00000042095,ENSPTRT00000044244_ENSPTRG00000023879,ENSPTRT00000043162_ENSPTRG00000023879,ENSPTRT00000089521_ENSPTRG00000051242,ENSPPAT00000058237_ENSPPAG00000040493,ENSPPAT00000058239_ENSPPAG00000040493,ENST00000335426_ENSG00000186838
ENSPCOT00000036819_ENSPCOG00000025359,1.0,0.82,0.66,0.53,0.4,0.24,0.4,0.4,0.24,0.45
ENSPCOT00000036820_ENSPCOG00000025359,0.82,1.0,0.53,0.62,0.5,0.26,0.5,0.5,0.26,0.46
ENSMICT00000066537_ENSMICG00000042095,0.66,0.53,1.0,0.83,0.38,0.24,0.38,0.38,0.24,0.43
ENSMICT00000063408_ENSMICG00000042095,0.53,0.62,0.83,1.0,0.47,0.26,0.47,0.47,0.26,0.43
ENSPTRT00000044244_ENSPTRG00000023879,0.4,0.5,0.38,0.47,1.0,0.55,0.94,0.94,0.55,0.84
ENSPTRT00000043162_ENSPTRG00000023879,0.24,0.26,0.24,0.26,0.55,1.0,0.55,0.55,0.91,0.53
ENSPTRT00000089521_ENSPTRG00000051242,0.4,0.5,0.38,0.47,0.94,0.55,1.0,0.94,0.55,0.84
ENSPPAT00000058237_ENSPPAG00000040493,0.4,0.5,0.38,0.47,0.94,0.55,0.94,1.0,0.55,0.84
ENSPPAT00000058239_ENSPPAG00000040493,0.24,0.26,0.24,0.26,0.55,0.91,0.55,0.55,1.0,0.53
ENST00000335426_ENSG00000186838,0.45,0.46,0.43,0.43,0.84,0.53,0.84,0.84,0.53,1.0
