salvator_merianae ENSSMRG00000006861
pogona_vitticeps ENSPVIG00000015162
chrysemys_picta_bellii ENSCPBG00000003582
propithecus_coquereli ENSPCOG00000024748
prolemur_simus ENSPSMG00000018361
microcebus_murinus ENSMICG00000035322
otolemur_garnettii ENSOGAG00000030297
cebus_capucinus_imitator ENSCCAG00000026117
callithrix_jacchus ENSCJAG00000045561
saimiri_boliviensis_boliviensis ENSSBOG00000027797
aotus_nancymaae ENSANAG00000034393
macaca_nemestrina ENSMNEG00000032490
macaca_mulatta ENSMMUG00000028855
theropithecus_gelada ENSTGEG00000010226
cercocebus_atys ENSCATG00000043747
chlorocebus_sabaeus ENSCSAG00000005764
piliocolobus_tephrosceles ENSPTEG00000034258
pan_troglodytes ENSPTRG00000010643
homo_sapiens ENSG00000127528
pongo_abelii ENSPPYG00000009687
nomascus_leucogenys ENSNLEG00000005469
colobus_angolensis_palliatus ENSCANG00000007649
rhinopithecus_roxellana ENSRROG00000037623
mandrillus_leucophaeus ENSMLEG00000042383
macaca_fascicularis ENSMFAG00000031244
nomascus_leucogenys ENSNLEG00000028744
rhinopithecus_bieti ENSRBIG00000038085
papio_anubis ENSPANG00000015624
mus_spicilegus ENSMSIG00000023853
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032336
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055148
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031216
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021681
rattus_norvegicus ENSRNOG00000014205
meriones_unguiculatus ENSMUGG00000013716
cricetulus_griseus_crigri-picr ENSCGRG00015007079
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008944
mesocricetus_auratus ENSMAUG00000010080
peromyscus_maniculatus_bairdii ENSPEMG00000009733
microtus_ochrogaster ENSMOCG00000015332
nannospalax_galili ENSNGAG00000022236
jaculus_jaculus ENSJJAG00000019814
urocitellus_parryii ENSUPAG00010021714
castor_canadensis ENSCCNG00000014619
ochotona_princeps ENSOPRG00000000197
ovis_aries ENSOARG00000019122
capra_hircus ENSCHIG00000008795
bos_taurus ENSBTAG00000052504
bos_mutus ENSBMUG00000009220
tursiops_truncatus ENSTTRG00000000845
sus_scrofa ENSSSCG00000038911
equus_asinus_asinus ENSEASG00005000307
equus_caballus ENSECAG00000036534
vulpes_vulpes ENSVVUG00000017148
ursus_americanus ENSUAMG00000017259
ailuropoda_melanoleuca ENSAMEG00000009942
neovison_vison ENSNVIG00000012328
canis_lupus_dingo ENSCAFG00020009744
felis_catus ENSFCAG00000043468
panthera_pardus ENSPPRG00000010172
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002866
cavia_porcellus ENSCPOG00000025120
monodelphis_domestica ENSMODG00000014911
phascolarctos_cinereus ENSPCIG00000034808
ornithorhynchus_anatinus ENSOANG00000014443
astyanax_mexicanus ENSAMXG00000030891
