vicugna_pacos ENSVPAG00000011388
sus_scrofa ENSSSCG00000009572
pteropus_vampyrus ENSPVAG00000013021
ornithorhynchus_anatinus ENSOANG00000030899
ornithorhynchus_anatinus ENSOANG00000022648
castor_canadensis ENSCCNG00000021975
sorex_araneus ENSSARG00000003016
erinaceus_europaeus ENSEEUG00000000332
myotis_lucifugus ENSMLUG00000003903
ursus_maritimus ENSUMAG00000013953
ailuropoda_melanoleuca ENSAMEG00000017340
mustela_putorius_furo ENSMPUG00000013305
neovison_vison ENSNVIG00000023153
canis_lupus_dingo ENSCAFG00020002919
canis_lupus_familiaris ENSCAFG00000007418
vulpes_vulpes ENSVVUG00000006226
panthera_tigris_altaica ENSPTIG00000001738
panthera_pardus ENSPPRG00000009230
felis_catus ENSFCAG00000004914
ovis_aries ENSOARG00000014641
capra_hircus ENSCHIG00000026716
bos_taurus ENSBTAG00000000278
bos_mutus ENSBMUG00000018544
bison_bison_bison ENSBBBG00000013675
tursiops_truncatus ENSTTRG00000012698
equus_asinus_asinus ENSEASG00005001421
equus_caballus ENSECAG00000017152
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020228
mus_spicilegus ENSMSIG00000016622
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000000365
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019337
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030355
rattus_norvegicus ENSRNOG00000008059
meriones_unguiculatus ENSMUGG00000000052
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022658
cricetulus_griseus_crigri_1.0 ENSCGRG00000009924
cricetulus_griseus_crigri-picr ENSCGRG00015014782
mesocricetus_auratus ENSMAUG00000004788
microtus_ochrogaster ENSMOCG00000011818
peromyscus_maniculatus_bairdii ENSPEMG00000008693
nannospalax_galili ENSNGAG00000013553
jaculus_jaculus ENSJJAG00000016584
castor_canadensis ENSCCNG00000024257
chinchilla_lanigera ENSCLAG00000004127
octodon_degus ENSODEG00000005443
cavia_aperea ENSCAPG00000012908
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017393
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007270
fukomys_damarensis ENSFDAG00000017857
urocitellus_parryii ENSUPAG00010018606
spermophilus_dauricus ENSSDAG00000000726
ictidomys_tridecemlineatus ENSSTOG00000011255
marmota_marmota_marmota ENSMMMG00000012085
oryctolagus_cuniculus ENSOCUG00000007384
ochotona_princeps ENSOPRG00000016743
tupaia_belangeri ENSTBEG00000000282
pan_troglodytes ENSPTRG00000005713
pan_paniscus ENSPPAG00000028779
homo_sapiens ENSG00000132972
gorilla_gorilla ENSGGOG00000014491
pongo_abelii ENSPPYG00000005215
nomascus_leucogenys ENSNLEG00000013780
theropithecus_gelada ENSTGEG00000019064
papio_anubis ENSPANG00000007640
macaca_fascicularis ENSMFAG00000032388
macaca_nemestrina ENSMNEG00000011234
macaca_mulatta ENSMMUG00000014610
cercocebus_atys ENSCATG00000040352
mandrillus_leucophaeus ENSMLEG00000030227
chlorocebus_sabaeus ENSCSAG00000018019
piliocolobus_tephrosceles ENSPTEG00000015721
colobus_angolensis_palliatus ENSCANG00000032927
rhinopithecus_roxellana ENSRROG00000022801
rhinopithecus_bieti ENSRBIG00000027010
cebus_capucinus_imitator ENSCCAG00000026725
saimiri_boliviensis_boliviensis ENSSBOG00000021661
callithrix_jacchus ENSCJAG00000018937
aotus_nancymaae ENSANAG00000029969
carlito_syrichta ENSTSYG00000000365
microcebus_murinus ENSMICG00000010364
prolemur_simus ENSPSMG00000001088
propithecus_coquereli ENSPCOG00000020211
otolemur_garnettii ENSOGAG00000014803
dasypus_novemcinctus ENSDNOG00000006115
choloepus_hoffmanni ENSCHOG00000013310
procavia_capensis ENSPCAG00000002665
echinops_telfairi ENSETEG00000017874
phascolarctos_cinereus ENSPCIG00000009190
notamacropus_eugenii ENSMEUG00000003276
sarcophilus_harrisii ENSSHAG00000005609
monodelphis_domestica ENSMODG00000007827
chelonoidis_abingdonii ENSCABG00000022418
gopherus_agassizii ENSGAGG00000016999
chrysemys_picta_bellii ENSCPBG00000020920
pelodiscus_sinensis ENSPSIG00000011245
crocodylus_porosus ENSCPRG00005013228
sphenodon_punctatus ENSSPUG00000008917
anolis_carolinensis ENSACAG00000001418
pogona_vitticeps ENSPVIG00000000950
salvator_merianae ENSSMRG00000012222
notechis_scutatus ENSNSUG00000013475
oryzias_latipes_asm223471v1 ENSORLG00020009879
oryzias_latipes_asm223469v1 ENSORLG00015013027
oryzias_latipes_asm223467v1 ENSORLG00000012818
