vombatus_ursinus ENSVURG00010013980
phascolarctos_cinereus ENSPCIG00000006629
notamacropus_eugenii ENSMEUG00000016427
sarcophilus_harrisii ENSSHAG00000009806
monodelphis_domestica ENSMODG00000016826
ursus_maritimus ENSUMAG00000013192
ailuropoda_melanoleuca ENSAMEG00000004413
neovison_vison ENSNVIG00000022386
mustela_putorius ENSMPUG00000001047
canis_lupus ENSCAFG00020007368
canis_lupus ENSCAFG00000004789
vulpes_vulpes ENSVVUG00000006012
panthera_pardus ENSPPRG00000005189
panthera_tigris ENSPTIG00000019118
felis_catus ENSFCAG00000025803
equus_caballus ENSECAG00000010392
equus_asinus ENSEASG00005019289
ovis_aries ENSOARG00000015281
capra_hircus ENSCHIG00000021825
bos_indicus ENSBIXG00000016277
bos_indicus ENSBIXG00005001450
bos_taurus ENSBTAG00000019511
bos_mutus ENSBMUG00000013537
bison_bison ENSBBBG00000018300
sus_scrofa ENSSSCG00000011112
tursiops_truncatus ENSTTRG00000009110
vicugna_pacos ENSVPAG00000006774
myotis_lucifugus ENSMLUG00000010474
pteropus_vampyrus ENSPVAG00000000949
jaculus_jaculus ENSJJAG00000001048
loxodonta_africana ENSLAFG00000000152
procavia_capensis ENSPCAG00000009092
spermophilus_dauricus ENSSDAG00000016705
ictidomys_tridecemlineatus ENSSTOG00000016480
urocitellus_parryii ENSUPAG00010008644
marmota_marmota ENSMMMG00000016751
dipodomys_ordii ENSDORG00000010544
mus_spicilegus ENSMSIG00000016600
mus_spretus MGP_SPRETEiJ_G0024070
mus_musculus ENSMUSG00000039128
mus_caroli MGP_CAROLIEiJ_G0023152
mus_pahari MGP_PahariEiJ_G0019212
rattus_norvegicus ENSRNOG00000017770
meriones_unguiculatus ENSMUGG00000019482
cricetulus_griseus ENSCGRG00001011313
cricetulus_griseus ENSCGRG00000011991
mesocricetus_auratus ENSMAUG00000019286
microtus_ochrogaster ENSMOCG00000010761
peromyscus_maniculatus ENSPEMG00000000078
nannospalax_galili ENSNGAG00000011980
castor_canadensis ENSCCNG00000005317
octodon_degus ENSODEG00000000216
octodon_degus ENSODEG00000007193
chinchilla_lanigera ENSCLAG00000007787
heterocephalus_glaber ENSHGLG00000003710
heterocephalus_glaber ENSHGLG00100002064
heterocephalus_glaber ENSHGLG00100015820
fukomys_damarensis ENSFDAG00000017086
cavia_porcellus ENSCPOG00000000128
cavia_aperea ENSCAPG00000001142
prolemur_simus ENSPSMG00000003958
