macaca_fascicularis ENSMFAG00000041005
macaca_nemestrina ENSMNEG00000044177
cercocebus_atys ENSCATG00000040910
gorilla_gorilla ENSGGOG00000026860
pan_troglodytes ENSPTRG00000011417
homo_sapiens ENSG00000198633
nomascus_leucogenys ENSNLEG00000027043
theropithecus_gelada ENSTGEG00000005091
macaca_mulatta ENSMMUG00000028720
rhinopithecus_bieti ENSRBIG00000031520
rhinopithecus_roxellana ENSRROG00000033206
piliocolobus_tephrosceles ENSPTEG00000025284
colobus_angolensis_palliatus ENSCANG00000036602
pan_paniscus ENSPPAG00000033590
piliocolobus_tephrosceles ENSPTEG00000025302
bos_taurus ENSBTAG00000053293
