spermophilus_dauricus ENSSDAG00000013843
urocitellus_parryii ENSUPAG00010008752
ictidomys_tridecemlineatus ENSSTOG00000034517
marmota_marmota_marmota ENSMMMG00000022470
tupaia_belangeri ENSTBEG00000003318
pan_troglodytes ENSPTRG00000011389
pan_paniscus ENSPPAG00000034934
homo_sapiens ENSG00000105497
gorilla_gorilla ENSGGOG00000007359
pongo_abelii ENSPPYG00000010572
nomascus_leucogenys ENSNLEG00000005943
cercocebus_atys ENSCATG00000037071
mandrillus_leucophaeus ENSMLEG00000002528
theropithecus_gelada ENSTGEG00000004045
papio_anubis ENSPANG00000010373
macaca_mulatta ENSMMUG00000012764
macaca_fascicularis ENSMFAG00000030953
macaca_nemestrina ENSMNEG00000031125
chlorocebus_sabaeus ENSCSAG00000002014
rhinopithecus_bieti ENSRBIG00000044767
rhinopithecus_roxellana ENSRROG00000030068
piliocolobus_tephrosceles ENSPTEG00000016413
colobus_angolensis_palliatus ENSCANG00000028230
saimiri_boliviensis_boliviensis ENSSBOG00000020476
callithrix_jacchus ENSCJAG00000018503
cebus_capucinus ENSCCAG00000023120
aotus_nancymaae ENSANAG00000036143
carlito_syrichta ENSTSYG00000014225
prolemur_simus ENSPSMG00000026071
microcebus_murinus ENSMICG00000017565
propithecus_coquereli ENSPCOG00000022773
otolemur_garnettii ENSOGAG00000002022
cricetulus_griseus_crigri ENSCGRG00000010907
microtus_ochrogaster ENSMOCG00000019376
mus_pahari MGP_PahariEiJ_G0012842
jaculus_jaculus ENSJJAG00000011411
capra_hircus ENSCHIG00000020876
ovis_aries ENSOARG00000014764
bos_mutus ENSBMUG00000008953
bos_taurus ENSBTAG00000040603
bison_bison_bison ENSBBBG00000024365
tursiops_truncatus ENSTTRG00000014754
sus_scrofa ENSSSCG00000003233
vicugna_pacos ENSVPAG00000001207
pteropus_vampyrus ENSPVAG00000001120
ursus_maritimus ENSUMAG00000010308
ursus_americanus ENSUAMG00000003935
mustela_putorius_furo ENSMPUG00000001359
neovison_vison ENSNVIG00000022981
ailuropoda_melanoleuca ENSAMEG00000014407
neovison_vison ENSNVIG00000022968
canis_lupus_familiaris ENSCAFG00000029814
canis_lupus_dingo ENSCAFG00020019138
vulpes_vulpes ENSVVUG00000011199
panthera_tigris_altaica ENSPTIG00000012246
panthera_pardus ENSPPRG00000000096
felis_catus ENSFCAG00000038813
equus_asinus_asinus ENSEASG00005008565
equus_caballus ENSECAG00000025051
procavia_capensis ENSPCAG00000004309
echinops_telfairi ENSETEG00000012603
dasypus_novemcinctus ENSDNOG00000025166
