ENSDNVP00000012387	ENSDNVG00000008744	Dromaius_novaehollandiae
ENSAHAP00000023526	ENSAHAG00000016458	Apteryx_haastii
ENSCPBP00000018063	ENSCPBG00000013205	Chrysemys_picta_bellii
ENSCPBP00000018086	ENSCPBG00000013216	Chrysemys_picta_bellii
ENSGAGP00000021520	ENSGAGG00000015803	Gopherus_agassizii
ENSCPBP00000021254	ENSCPBG00000015268	Chrysemys_picta_bellii
ENSGAGP00000018924	ENSGAGG00000014009	Gopherus_agassizii
ENSGAGP00000023224	ENSGAGG00000017027	Gopherus_agassizii
ENSGAGP00000016995	ENSGAGG00000012693	Gopherus_agassizii
ENSCPBP00000018058	ENSCPBG00000013201	Chrysemys_picta_bellii
ENSSMRP00000008823	ENSSMRG00000007058	Salvator_merianae
ENSSMRP00000008828	ENSSMRG00000007061	Salvator_merianae
ENSSMRP00000008836	ENSSMRG00000007070	Salvator_merianae
ENSPVIP00000006006	ENSPVIG00000004967	Pogona_vitticeps
ENSNMEP00000015346	ENSNMEG00000013608	Numida_meleagris
ENSNMEP00000015188	ENSNMEG00000013470	Numida_meleagris
ENSAPLP00000026264	ENSAPLG00000026622	Anas_platyrhynchos_platyrhynchos
ENSHGLP00100007235	ENSHGLG00100005427	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017234	ENSFDAG00000005843	Fukomys_damarensis
ENSODEP00000022692	ENSODEG00000016653	Octodon_degus
ENSOANP00000030213	ENSOANG00000031974	Ornithorhynchus_anatinus
