	ENSSHAT00000009164	ENSSHAT00000009165	ENSMODT00000012469	ENSMODT00000080766	ENSVURT00010028008	ENSMODT00000061257	ENSMODT00000064411	ENSVURT00010028005	ENSPCIT00000042209	ENSVURT00010027963	ENSPCIT00000042204	ENSMODT00000053868	ENSMODT00000064087	ENSVURT00010027957	ENSMODT00000056231	ENSVURT00010027994	ENSPCIT00000042217	ENSVURT00010027975	ENSPCIT00000042212
ENSSHAT00000009164	1.0	0.986819871578236	0.8462318350794187	0.9151740452855694	0.9006421088205475	0.8982764447448462	0.909766813112538	0.8874619803987833	0.9418722541399122	0.922946941534302	0.9172017573504564	0.9087529570800946	0.9398445420750252	0.9472794863129436	0.8540047313281514	0.8925312605610003	0.8857722203447109	0.8915174045285571	0.8820547482257519
ENSSHAT00000009165	0.986819871578236	1.0	0.8506252112200068	0.9036836769178777	0.9050354849611356	0.9026698208854342	0.8982764447448462	0.8918553565393714	0.9462656302805	0.92734031767489	0.9215951334910444	0.8972625887124028	0.9283541737073336	0.9516728624535316	0.8425143629604596	0.8969246367015884	0.8901655964852991	0.895910780669145	0.8864481243663399
ENSMODT00000012469	0.8462318350794187	0.8506252112200068	1.0	0.9290300777289624	0.8107468739439	0.8752957080094627	0.9351132139236228	0.8492734031767489	0.8563703954038526	0.8827306522473809	0.8817167962149375	0.9351132139236228	0.9036836769178777	0.8573842514362959	0.9918891517404528	0.9141601892531259	0.9131463332206826	0.9141601892531259	0.84859749915512
ENSMODT00000080766	0.9151740452855694	0.9036836769178777	0.9290300777289624	1.0	0.8634673876309564	0.930043933761406	0.94322406218317	0.9019939168638054	0.9090909090909092	0.9354511659344372	0.934437309901994	0.94322406218317	0.9746535991889153	0.9101047651233524	0.9371409259885096	0.9057113889827644	0.9033457249070632	0.9043595809395066	0.9013180128421764
ENSVURT00010028008	0.9006421088205475	0.9050354849611356	0.8107468739439	0.8634673876309564	1.0	0.862453531598513	0.858060155457925	0.8905035484961136	0.9283541737073336	0.9270023656640756	0.9033457249070632	0.8567083474146672	0.8877999324095979	0.9523487664751604	0.8026360256843528	0.8955728286583305	0.871916187901318	0.8955728286583305	0.8678607637715444
ENSMODT00000061257	0.8982764447448462	0.9026698208854342	0.8752957080094627	0.930043933761406	0.862453531598513	1.0	0.9239607975667457	0.9212571814802298	0.9087529570800946	0.8847583643122676	0.8840824602906387	0.9239607975667457	0.9553903345724908	0.9090909090909092	0.8671848597499155	0.8550185873605948	0.852990875295708	0.8536667793173369	0.9205812774586009
ENSMODT00000064411	0.909766813112538	0.8982764447448462	0.9351132139236228	0.94322406218317	0.858060155457925	0.9239607975667457	1.0	0.8469077391010477	0.904021628928692	0.8803649881716796	0.8793511321392362	0.9371409259885096	0.9685704629942548	0.9046975329503212	0.94322406218317	0.9117945251774248	0.8482595471443055	0.8492734031767489	0.8462318350794187
ENSVURT00010028005	0.8874619803987833	0.8918553565393714	0.8492734031767489	0.9019939168638054	0.8905035484961136	0.9212571814802298	0.8469077391010477	1.0	0.9151740452855694	0.963501182832038	0.9405204460966544	0.8455559310577898	0.8766475160527205	0.938154782020953	0.8411625549172017	0.9320716458262926	0.9090909090909092	0.9320716458262926	0.9770192632646164
ENSPCIT00000042209	0.9418722541399122	0.9462656302805	0.8563703954038526	0.9090909090909092	0.9283541737073336	0.9087529570800946	0.904021628928692	0.9151740452855694	1.0	0.9506590064210882	0.9746535991889153	0.9026698208854342	0.9337614058803648	0.9756674552213586	0.8482595471443055	0.9199053734369721	0.94322406218317	0.919229469415343	0.938154782020953
ENSVURT00010027963	0.922946941534302	0.92734031767489	0.8827306522473809	0.9354511659344372	0.9270023656640756	0.8847583643122676	0.8803649881716796	0.963501182832038	0.9506590064210882	1.0	0.9760054072321729	0.8790131801284218	0.9101047651233524	0.9746535991889153	0.8746198039878337	0.9685704629942548	0.944575870226428	0.9685704629942548	0.9405204460966544
ENSPCIT00000042204	0.9172017573504564	0.9215951334910444	0.8817167962149375	0.934437309901994	0.9033457249070632	0.8840824602906387	0.8793511321392362	0.9405204460966544	0.9746535991889153	0.9760054072321729	1.0	0.8779993240959784	0.9090909090909092	0.9506590064210882	0.8736059479553904	0.9452517742480568	0.9685704629942548	0.944575870226428	0.963501182832038
ENSMODT00000053868	0.9087529570800946	0.8972625887124028	0.9351132139236228	0.94322406218317	0.8567083474146672	0.9239607975667457	0.9371409259885096	0.8455559310577898	0.9026698208854342	0.8790131801284218	0.8779993240959784	1.0	0.9685704629942548	0.9033457249070632	0.94322406218317	0.8492734031767489	0.9094288611017236	0.9104427171341668	0.8448800270361608
ENSMODT00000064087	0.9398445420750252	0.9283541737073336	0.9036836769178777	0.9746535991889153	0.8877999324095979	0.9553903345724908	0.9685704629942548	0.8766475160527205	0.9337614058803648	0.9101047651233524	0.9090909090909092	0.9685704629942548	1.0	0.934437309901994	0.9117945251774248	0.8803649881716796	0.8779993240959784	0.8790131801284218	0.8759716120310916
ENSVURT00010027957	0.9472794863129436	0.9516728624535316	0.8573842514362959	0.9101047651233524	0.9523487664751604	0.9090909090909092	0.9046975329503212	0.938154782020953	0.9756674552213586	0.9746535991889153	0.9506590064210882	0.9033457249070632	0.934437309901994	1.0	0.8492734031767489	0.94322406218317	0.919229469415343	0.94322406218317	0.9151740452855694
ENSMODT00000056231	0.8540047313281514	0.8425143629604596	0.9918891517404528	0.9371409259885096	0.8026360256843528	0.8671848597499155	0.94322406218317	0.8411625549172017	0.8482595471443055	0.8746198039878337	0.8736059479553904	0.94322406218317	0.9117945251774248	0.8492734031767489	1.0	0.9060493409935788	0.9050354849611356	0.9060493409935788	0.8404866508955728
ENSVURT00010027994	0.8925312605610003	0.8969246367015884	0.9141601892531259	0.9057113889827644	0.8955728286583305	0.8550185873605948	0.9117945251774248	0.9320716458262926	0.9199053734369721	0.9685704629942548	0.9452517742480568	0.8492734031767489	0.8803649881716796	0.94322406218317	0.9060493409935788	1.0	0.9138222372423116	0.9371409259885096	0.909766813112538
ENSPCIT00000042217	0.8857722203447109	0.8901655964852991	0.9131463332206826	0.9033457249070632	0.871916187901318	0.852990875295708	0.8482595471443055	0.9090909090909092	0.94322406218317	0.944575870226428	0.9685704629942548	0.9094288611017236	0.8779993240959784	0.919229469415343	0.9050354849611356	0.9138222372423116	1.0	0.9760054072321729	0.9320716458262926
ENSVURT00010027975	0.8915174045285571	0.895910780669145	0.9141601892531259	0.9043595809395066	0.8955728286583305	0.8536667793173369	0.8492734031767489	0.9320716458262926	0.919229469415343	0.9685704629942548	0.944575870226428	0.9104427171341668	0.8790131801284218	0.94322406218317	0.9060493409935788	0.9371409259885096	0.9760054072321729	1.0	0.9090909090909092
ENSPCIT00000042212	0.8820547482257519	0.8864481243663399	0.84859749915512	0.9013180128421764	0.8678607637715444	0.9205812774586009	0.8462318350794187	0.9770192632646164	0.938154782020953	0.9405204460966544	0.963501182832038	0.8448800270361608	0.8759716120310916	0.9151740452855694	0.8404866508955728	0.909766813112538	0.9320716458262926	0.9090909090909092	1.0
