scophthalmus_maximus ENSSMAG00000012517
cynoglossus_semilaevis ENSCSEG00000016977
seriola_dumerili ENSSDUG00000008126
seriola_lalandi_dorsalis ENSSLDG00000022301
mastacembelus_armatus ENSMAMG00000006959
anabas_testudineus ENSATEG00000019170
periophthalmus_magnuspinnatus ENSPMGG00000001876
monopterus_albus ENSMALG00000015690
monopterus_albus ENSMALG00000015640
periophthalmus_magnuspinnatus ENSPMGG00000005564
mola_mola ENSMMOG00000019340
takifugu_rubripes ENSTRUG00000009299
labrus_bergylta ENSLBEG00000013534
cyprinodon_variegatus ENSCVAG00000013828
cyprinodon_variegatus ENSCVAG00000013698
poecilia_latipinna ENSPLAG00000015775
poecilia_formosa ENSPFOG00000000989
poecilia_reticulata ENSPREG00000017564
xiphophorus_maculatus ENSXMAG00000000891
xiphophorus_couchianus ENSXCOG00000019313
poecilia_mexicana ENSPMEG00000010532
poecilia_mexicana ENSPMEG00000010601
gambusia_affinis ENSGAFG00000020958
xiphophorus_couchianus ENSXCOG00000015693
fundulus_heteroclitus ENSFHEG00000004685
kryptolebias_marmoratus ENSKMAG00000019576
oryzias_latipes ENSORLG00020005345
oryzias_latipes ENSORLG00000003866
oryzias_latipes_asm223469v1 ENSORLG00015008038
oryzias_melastigma ENSOMEG00000021323
oryzias_melastigma ENSOMEG00000008363
astatotilapia_calliptera ENSACLG00000007565
astatotilapia_calliptera ENSACLG00000007621
pundamilia_nyererei ENSPNYG00000005551
pundamilia_nyererei ENSPNYG00000005472
maylandia_zebra ENSMZEG00005024314
haplochromis_burtoni ENSHBUG00000009264
neolamprologus_brichardi ENSNBRG00000014529
oreochromis_niloticus ENSONIG00000018464
amphilophus_citrinellus ENSACIG00000020513
acanthochromis_polyacanthus ENSAPOG00000011473
acanthochromis_polyacanthus ENSAPOG00000014587
amphiprion_percula ENSAPEG00000012914
amphiprion_ocellaris ENSAOCG00000001750
stegastes_partitus ENSSPAG00000010684
esox_lucius ENSELUG00000007258
danio_rerio ENSDARG00000112723
danio_rerio ENSDARG00000107086
pygocentrus_nattereri ENSPNAG00000026177
pygocentrus_nattereri ENSPNAG00000007313
pygocentrus_nattereri ENSPNAG00000015120
astyanax_mexicanus ENSAMXG00000001272
ictalurus_punctatus ENSIPUG00000017050
paramormyrops_kingsleyae ENSPKIG00000008439
scleropages_formosus ENSSFOG00015013474
scleropages_formosus ENSSFOG00015011343
paramormyrops_kingsleyae ENSPKIG00000007076
gadus_morhua ENSGMOG00000006277
gadus_morhua ENSGMOG00000006302
gadus_morhua ENSGMOG00000012321
gadus_morhua ENSGMOG00000012323
mastacembelus_armatus ENSMAMG00000018543
mastacembelus_armatus ENSMAMG00000018567
periophthalmus_magnuspinnatus ENSPMGG00000023751
seriola_lalandi_dorsalis ENSSLDG00000007667
seriola_lalandi_dorsalis ENSSLDG00000007571
seriola_dumerili ENSSDUG00000009766
seriola_dumerili ENSSDUG00000009795
hippocampus_comes ENSHCOG00000000350
hippocampus_comes ENSHCOG00000012343
stegastes_partitus ENSSPAG00000020845
amphiprion_ocellaris ENSAOCG00000021342
amphiprion_ocellaris ENSAOCG00000021395
anabas_testudineus ENSATEG00000014321
anabas_testudineus ENSATEG00000014346
labrus_bergylta ENSLBEG00000021261
labrus_bergylta ENSLBEG00000021316
tetraodon_nigroviridis ENSTNIG00000013522
takifugu_rubripes ENSTRUG00000001364
mola_mola ENSMMOG00000003329
mola_mola ENSMMOG00000003339
amphiprion_percula ENSAPEG00000000600
amphiprion_percula ENSAPEG00000000498
acanthochromis_polyacanthus ENSAPOG00000005143
gasterosteus_aculeatus ENSGACG00000001489
cynoglossus_semilaevis ENSCSEG00000015174
cynoglossus_semilaevis ENSCSEG00000015144
hippocampus_comes ENSHCOG00000008173
hippocampus_comes ENSHCOG00000008260
periophthalmus_magnuspinnatus ENSPMGG00000015098
esox_lucius ENSELUG00000019832
pygocentrus_nattereri ENSPNAG00000004752
astyanax_mexicanus ENSAMXG00000019099
ictalurus_punctatus ENSIPUG00000024974
danio_rerio ENSDARG00000076005
lepisosteus_oculatus ENSLOCG00000002260
latimeria_chalumnae ENSLACG00000014478
eptatretus_burgeri ENSEBUG00000006352
oryctolagus_cuniculus ENSOCUG00000010238
oryctolagus_cuniculus ENSOCUG00000010254
erinaceus_europaeus ENSEEUG00000014232
procavia_capensis ENSPCAG00000008074
echinops_telfairi ENSETEG00000000460
ornithorhynchus_anatinus ENSOANG00000020904
xenopus_tropicalis ENSXETG00000004054
taeniopygia_guttata ENSTGUG00000009724
taeniopygia_guttata ENSTGUG00000018416
meleagris_gallopavo ENSMGAG00000008943
meleagris_gallopavo ENSMGAG00000008927
taeniopygia_guttata ENSTGUG00000016975
loxodonta_africana ENSLAFG00000013427
loxodonta_africana ENSLAFG00000013442
sus_scrofa ENSSSCG00000021899
sus_scrofa ENSSSCG00000034765
tursiops_truncatus ENSTTRG00000015349
tursiops_truncatus ENSTTRG00000015348
panthera_pardus ENSPPRG00000014927
ursus_americanus ENSUAMG00000006254
ursus_maritimus ENSUMAG00000018303
ailuropoda_melanoleuca ENSAMEG00000007710
mustela_putorius_furo ENSMPUG00000004574
neovison_vison ENSNVIG00000008728
canis_lupus_dingo ENSCAFG00020023811
canis_lupus_familiaris ENSCAFG00000018761
vulpes_vulpes ENSVVUG00000011965
panthera_tigris_altaica ENSPTIG00000002713
panthera_pardus ENSPPRG00000010331
felis_catus ENSFCAG00000006215
