,ENSAOWT00000012015_ENSAOWG00000007283,ENSAHAT00000029321_ENSAHAG00000018534,ENSARWT00000010596_ENSARWG00000006490
ENSAOWT00000012015_ENSAOWG00000007283,1.0,0.99,0.99
ENSAHAT00000029321_ENSAHAG00000018534,0.99,1.0,0.99
ENSARWT00000010596_ENSARWG00000006490,0.99,0.99,1.0
