,ENSPPAT00000050711,ENSRROT00000050864,ENSPTET00000002222,ENSPTRT00000082974,ENSPTRT00000017597,ENSNLET00000038974,ENSMICT00000007507,ENSRBIT00000034009,ENSGGOT00000023341,ENSPPAT00000050707,ENSRBIT00000034017,ENSRBIT00000034015,ENSRBIT00000034018,ENST00000344935,ENSGGOT00000063162,ENSPCOT00000030336,ENSNLET00000001778,ENSPPYT00000010029,ENSPSMT00000042932,ENST00000397671
ENSPPAT00000050711,1.0,0.5700431034482759,0.572198275862069,0.9989224137931034,0.5808189655172413,0.9870689655172413,0.5689655172413793,0.5969827586206896,0.5786637931034483,0.6842672413793104,0.8405172413793104,0.5711206896551724,0.5614224137931034,0.5786637931034483,0.9967672413793104,0.5366379310344828,0.5765086206896551,0.9924568965517241,0.5592672413793104,0.9967672413793104
ENSRROT00000050864,0.5700431034482759,1.0,0.9935344827586207,0.5700431034482759,0.9816810344827587,0.572198275862069,0.9310344827586207,0.9310344827586207,0.9806034482758621,0.8674568965517241,0.5474137931034483,0.9978448275862069,0.8954741379310345,0.9816810344827587,0.572198275862069,0.8987068965517241,0.9827586206896551,0.572198275862069,0.9310344827586207,0.5700431034482759
ENSPTET00000002222,0.572198275862069,0.9935344827586207,1.0,0.572198275862069,0.9838362068965517,0.5743534482758621,0.9364224137931034,0.9299568965517241,0.9849137931034483,0.8706896551724138,0.5474137931034483,0.9956896551724138,0.8943965517241379,0.9838362068965517,0.5743534482758621,0.8997844827586207,0.9849137931034483,0.5743534482758621,0.9342672413793104,0.572198275862069
ENSPTRT00000082974,0.9989224137931034,0.5700431034482759,0.572198275862069,1.0,0.5808189655172413,0.9859913793103449,0.5689655172413793,0.5969827586206896,0.5786637931034483,0.6842672413793104,0.8405172413793104,0.5711206896551724,0.5614224137931034,0.5786637931034483,0.9956896551724138,0.5366379310344828,0.5765086206896551,0.9913793103448276,0.5592672413793104,0.9956896551724138
ENSPTRT00000017597,0.5808189655172413,0.9816810344827587,0.9838362068965517,0.5808189655172413,1.0,0.5765086206896551,0.9364224137931034,0.9148706896551724,0.9946120689655172,0.8814655172413793,0.5387931034482759,0.9816810344827587,0.8793103448275862,0.9978448275862069,0.5786637931034483,0.896551724137931,0.9924568965517241,0.5765086206896551,0.9331896551724138,0.5786637931034483
ENSNLET00000038974,0.9870689655172413,0.572198275862069,0.5743534482758621,0.9859913793103449,0.5765086206896551,1.0,0.5711206896551724,0.5991379310344828,0.5786637931034483,0.6799568965517241,0.8415948275862069,0.5732758620689655,0.5635775862068966,0.5765086206896551,0.9881465517241379,0.5387931034482759,0.5808189655172413,0.9881465517241379,0.5635775862068966,0.9859913793103449
ENSMICT00000007507,0.5689655172413793,0.9310344827586207,0.9364224137931034,0.5689655172413793,0.9364224137931034,0.5711206896551724,1.0,0.8987068965517241,0.9364224137931034,0.8286637931034483,0.5355603448275862,0.9331896551724138,0.8631465517241379,0.9364224137931034,0.5689655172413793,0.9310344827586207,0.9375,0.5689655172413793,0.9515086206896551,0.5689655172413793
ENSRBIT00000034009,0.5969827586206896,0.9310344827586207,0.9299568965517241,0.5969827586206896,0.9148706896551724,0.5991379310344828,0.8987068965517241,1.0,0.9148706896551724,0.8017241379310345,0.5743534482758621,0.9331896551724138,0.9234913793103449,0.9148706896551724,0.5991379310344828,0.8771551724137931,0.915948275862069,0.5991379310344828,0.8868534482758621,0.5969827586206896
ENSGGOT00000023341,0.5786637931034483,0.9806034482758621,0.9849137931034483,0.5786637931034483,0.9946120689655172,0.5786637931034483,0.9364224137931034,0.9148706896551724,1.0,0.8782327586206896,0.540948275862069,0.9806034482758621,0.8793103448275862,0.9946120689655172,0.5808189655172413,0.896551724137931,0.9913793103448276,0.5786637931034483,0.9353448275862069,0.5786637931034483
ENSPPAT00000050707,0.6842672413793104,0.8674568965517241,0.8706896551724138,0.6842672413793104,0.8814655172413793,0.6799568965517241,0.8286637931034483,0.8017241379310345,0.8782327586206896,1.0,0.6422413793103449,0.8685344827586207,0.7661637931034483,0.8793103448275862,0.6821120689655172,0.7866379310344828,0.8760775862068966,0.6799568965517241,0.8243534482758621,0.6821120689655172
