peromyscus_maniculatus_bairdii ENSPEMG00000012351
cricetulus_griseus_crigri-picr ENSCGRG00015003149
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027800
mus_musculus ENSMUSG00000028977
mus_spicilegus ENSMSIG00000012072
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026807
mus_pahari MGP_PahariEiJ_G0029155
chinchilla_lanigera ENSCLAG00000005368
piliocolobus_tephrosceles ENSPTEG00000027626
chlorocebus_sabaeus ENSCSAG00000000783
loxodonta_africana ENSLAFG00000009603
meleagris_gallopavo ENSMGAG00000004515
