petromyzon_marinus ENSPMAG00000004694
eptatretus_burgeri ENSEBUG00000000709
myotis_lucifugus ENSMLUG00000017312
erinaceus_europaeus ENSEEUG00000003555
ursus_maritimus ENSUMAG00000019055
ursus_americanus ENSUAMG00000024927
ailuropoda_melanoleuca ENSAMEG00000019597
neovison_vison ENSNVIG00000014574
mustela_putorius ENSMPUG00000015803
canis_lupus ENSCAFG00020005719
canis_lupus ENSCAFG00000030184
canis_lupus ENSCAFG00000003951
canis_lupus ENSCAFG00020018387
vulpes_vulpes ENSVVUG00000022249
panthera_tigris ENSPTIG00000020107
panthera_pardus ENSPPRG00000002568
felis_catus ENSFCAG00000036408
pteropus_vampyrus ENSPVAG00000000253
equus_caballus ENSECAG00000039564
equus_asinus ENSEASG00005003379
bos_indicus ENSBIXG00000016208
bos_indicus ENSBIXG00005012466
bos_mutus ENSBMUG00000023758
bison_bison ENSBBBG00000018512
bos_taurus ENSBTAG00000000686
capra_hircus ENSCHIG00000011994
ovis_aries ENSOARG00000012305
tursiops_truncatus ENSTTRG00000012797
vicugna_pacos ENSVPAG00000010054
castor_canadensis ENSCCNG00000005961
dipodomys_ordii ENSDORG00000029868
mus_spretus MGP_SPRETEiJ_G0025353
mus_spretus MGP_SPRETEiJ_G0025352
mus_spicilegus ENSMSIG00000001191
mus_musculus ENSMUSG00000053916
mus_caroli MGP_CAROLIEiJ_G0024433
mus_caroli MGP_CAROLIEiJ_G0024432
mus_pahari MGP_PahariEiJ_G0025875
mus_pahari MGP_PahariEiJ_G0025876
rattus_norvegicus ENSRNOG00000008307
meriones_unguiculatus ENSMUGG00000004189
cricetulus_griseus ENSCGRG00015004629
cricetulus_griseus ENSCGRG00000002203
cricetulus_griseus ENSCGRG00001002985
mesocricetus_auratus ENSMAUG00000005527
microtus_ochrogaster ENSMOCG00000006008
microtus_ochrogaster ENSMOCG00000001430
peromyscus_maniculatus ENSPEMG00000029409
nannospalax_galili ENSNGAG00000012148
jaculus_jaculus ENSJJAG00000016600
spermophilus_dauricus ENSSDAG00000018943
spermophilus_dauricus ENSSDAG00000018937
marmota_marmota ENSMMMG00000021513
urocitellus_parryii ENSUPAG00010010172
ictidomys_tridecemlineatus ENSSTOG00000002050
heterocephalus_glaber ENSHGLG00000000310
heterocephalus_glaber ENSHGLG00100016403
fukomys_damarensis ENSFDAG00000019905
octodon_degus ENSODEG00000012295
octodon_degus ENSODEG00000008091
octodon_degus ENSODEG00000004193
cavia_porcellus ENSCPOG00000031912
cavia_aperea ENSCAPG00000008293
chinchilla_lanigera ENSCLAG00000014668
oryctolagus_cuniculus ENSOCUG00000002927
ochotona_princeps ENSOPRG00000015480
microcebus_murinus ENSMICG00000027386
propithecus_coquereli ENSPCOG00000022703
prolemur_simus ENSPSMG00000009528
otolemur_garnettii ENSOGAG00000006535
otolemur_garnettii ENSOGAG00000028862
pan_paniscus ENSPPAG00000022695
pan_troglodytes ENSPTRG00000044350
homo_sapiens ENSG00000170191
gorilla_gorilla ENSGGOG00000012837
nomascus_leucogenys ENSNLEG00000015706
cercocebus_atys ENSCATG00000038861
mandrillus_leucophaeus ENSMLEG00000039425
macaca_fascicularis ENSMFAG00000036787
macaca_mulatta ENSMMUG00000020858
papio_anubis ENSPANG00000024407
papio_anubis ENSPANG00000031862
theropithecus_gelada ENSTGEG00000014749
chlorocebus_sabaeus ENSCSAG00000018185
rhinopithecus_roxellana ENSRROG00000042030
rhinopithecus_bieti ENSRBIG00000031885
piliocolobus_tephrosceles ENSPTEG00000029119
colobus_angolensis ENSCANG00000038455
macaca_nemestrina ENSMNEG00000038191
pongo_abelii ENSPPYG00000029454
cebus_capucinus ENSCCAG00000029459
callithrix_jacchus ENSCJAG00000048461
saimiri_boliviensis ENSSBOG00000028505
aotus_nancymaae ENSANAG00000027665
choloepus_hoffmanni ENSCHOG00000006481
dasypus_novemcinctus ENSDNOG00000048533
loxodonta_africana ENSLAFG00000015738
procavia_capensis ENSPCAG00000007581
echinops_telfairi ENSETEG00000020335
echinops_telfairi ENSETEG00000019732
tupaia_belangeri ENSTBEG00000016702
tupaia_belangeri ENSTBEG00000007903
vombatus_ursinus ENSVURG00010016036
phascolarctos_cinereus ENSPCIG00000029737
notamacropus_eugenii ENSMEUG00000002432
monodelphis_domestica ENSMODG00000006495
ornithorhynchus_anatinus ENSOANG00000001419
pogona_vitticeps ENSPVIG00000022248
anolis_carolinensis ENSACAG00000008452
notechis_scutatus ENSNSUG00000008509
salvator_merianae ENSSMRG00000009933
sphenodon_punctatus ENSSPUG00000014827
apteryx_haastii ENSAHAG00000015894
apteryx_owenii ENSAOWG00000008633
apteryx_rowi ENSARWG00000003665
dromaius_novaehollandiae ENSDNVG00000006325
nothoprocta_perdicaria ENSNPEG00000006996
lepidothrix_coronata ENSLCOG00000000119
manacus_vitellinus ENSMVIG00005007468
lonchura_striata ENSLSDG00000014214
taeniopygia_guttata ENSTGUG00000008794
junco_hyemalis ENSJHYG00000002126
zonotrichia_albicollis ENSZALG00000016469
parus_major ENSPMJG00000015175
ficedula_albicollis ENSFALG00000015267
serinus_canaria ENSSCAG00000011820
cyanistes_caeruleus ENSCCEG00000008030
melopsittacus_undulatus ENSMUNG00000010442
calidris_pygmaea ENSCPGG00000003345
calidris_pugnax ENSCPUG00000002614
anser_brachyrhynchus ENSABRG00000018160
anas_platyrhynchos ENSAPLG00000015758
gallus_gallus ENSGALG00000047977
coturnix_japonica ENSCJPG00005012146
meleagris_gallopavo ENSMGAG00000011174
numida_meleagris ENSNMEG00000018162
crocodylus_porosus ENSCPRG00005013381
gopherus_agassizii ENSGAGG00000003796
chelonoidis_abingdonii ENSCABG00000010558
chrysemys_picta ENSCPBG00000024812
pelodiscus_sinensis ENSPSIG00000001088
xenopus_tropicalis ENSXETG00000014011
latimeria_chalumnae ENSLACG00000009244
astyanax_mexicanus ENSAMXG00005008072
astyanax_mexicanus ENSAMXG00000041071
pygocentrus_nattereri ENSPNAG00000013475
electrophorus_electricus ENSEEEG00000004697
ictalurus_punctatus ENSIPUG00000018213
danio_rerio ENSDARG00000075143
denticeps_clupeoides ENSDCDG00000035179
betta_splendens ENSBSLG00000004893
hippocampus_comes ENSHCOG00000005547
cynoglossus_semilaevis ENSCSEG00000008595
gouania_willdenowi ENSGWIG00000001948
gasterosteus_aculeatus ENSGACG00000003009
labrus_bergylta ENSLBEG00000005841
takifugu_rubripes ENSTRUG00000007029
tetraodon_nigroviridis ENSTNIG00000002723
mola_mola ENSMMOG00000008386
maylandia_zebra ENSMZEG00005011895
astatotilapia_calliptera ENSACLG00000019128
pundamilia_nyererei ENSPNYG00000004822
haplochromis_burtoni ENSHBUG00000012607
oreochromis_niloticus ENSONIG00000010387
neolamprologus_brichardi ENSNBRG00000018023
amphilophus_citrinellus ENSACIG00000002282
scophthalmus_maximus ENSSMAG00000013716
monopterus_albus ENSMALG00000008982
mastacembelus_armatus ENSMAMG00000013104
cottoperca_gobio ENSCGOG00000006794
lates_calcarifer ENSLCAG00010008955
larimichthys_crocea ENSLCRG00005005224
anabas_testudineus ENSATEG00000010941
seriola_dumerili ENSSDUG00000019522
seriola_lalandi ENSSLDG00000021180
amphiprion_percula ENSAPEG00000005013
amphiprion_ocellaris ENSAOCG00000004224
acanthochromis_polyacanthus ENSAPOG00000003887
stegastes_partitus ENSSPAG00000006329
parambassis_ranga ENSPRNG00000001584
xiphophorus_maculatus ENSXMAG00000024950
xiphophorus_couchianus ENSXCOG00000006085
gambusia_affinis ENSGAFG00000001435
poecilia_formosa ENSPFOG00000010626
poecilia_latipinna ENSPLAG00000000819
poecilia_mexicana ENSPMEG00000006768
poecilia_reticulata ENSPREG00000002910
cyprinodon_variegatus ENSCVAG00000005829
fundulus_heteroclitus ENSFHEG00000000530
kryptolebias_marmoratus ENSKMAG00000016022
oryzias_latipes ENSORLG00000000861
oryzias_latipes ENSORLG00015011113
oryzias_melastigma ENSOMEG00000005032
periophthalmus_magnuspinnatus ENSPMGG00000021627
gadus_morhua ENSGMOG00000005831
hucho_hucho ENSHHUG00000035471
esox_lucius ENSELUG00000019586
paramormyrops_kingsleyae ENSPKIG00000007595
scleropages_formosus ENSSFOG00015004673
lepisosteus_oculatus ENSLOCG00000016565
erpetoichthys_calabaricus ENSECRG00000018058
callorhinchus_milii ENSCMIG00000014532
drosophila_melanogaster FBgn0029801
