ictalurus_punctatus ENSIPUG00000008530
danio_rerio ENSDARG00000103980
clupea_harengus ENSCHAG00000000767
pygocentrus_nattereri ENSPNAG00000016666
cyprinodon_variegatus ENSCVAG00000001651
gouania_willdenowi ENSGWIG00000003418
kryptolebias_marmoratus ENSKMAG00000005741
parambassis_ranga ENSPRNG00000014077
cynoglossus_semilaevis ENSCSEG00000014401
gouania_willdenowi ENSGWIG00000003426
oryzias_latipes ENSORLG00000028709
lates_calcarifer ENSLCAG00010022043
cottoperca_gobio ENSCGOG00000024255
labrus_bergylta ENSLBEG00000020079
periophthalmus_magnuspinnatus ENSPMGG00000004384
poecilia_latipinna ENSPLAG00000017998
poecilia_mexicana ENSPMEG00000005648
poecilia_reticulata ENSPREG00000004252
xiphophorus_couchianus ENSXCOG00000003699
xiphophorus_maculatus ENSXMAG00000007724
gambusia_affinis ENSGAFG00000019280
fundulus_heteroclitus ENSFHEG00000022597
oryzias_latipes ENSORLG00015011881
oryzias_latipes ENSORLG00020011100
oryzias_melastigma ENSOMEG00000005134
astatotilapia_calliptera ENSACLG00000007262
maylandia_zebra ENSMZEG00005009116
pundamilia_nyererei ENSPNYG00000004788
haplochromis_burtoni ENSHBUG00000011504
neolamprologus_brichardi ENSNBRG00000017469
oreochromis_niloticus ENSONIG00000015717
amphilophus_citrinellus ENSACIG00000016611
amphiprion_ocellaris ENSAOCG00000013805
amphiprion_percula ENSAPEG00000010704
acanthochromis_polyacanthus ENSAPOG00000019518
acanthochromis_polyacanthus ENSAPOG00000019547
betta_splendens ENSBSLG00000006106
mola_mola ENSMMOG00000020380
tetraodon_nigroviridis ENSTNIG00000005401
larimichthys_crocea ENSLCRG00005008363
gasterosteus_aculeatus ENSGACG00000000840
seriola_dumerili ENSSDUG00000003715
seriola_lalandi ENSSLDG00000012988
anabas_testudineus ENSATEG00000001728
gadus_morhua ENSGMOG00000007489
esox_lucius ENSELUG00000010094
hucho_hucho ENSHHUG00000007920
latimeria_chalumnae ENSLACG00000013416
petromyzon_marinus ENSPMAG00000001439
