apteryx_rowi ENSARWG00000003532
apteryx_haastii ENSAHAG00000014506
apteryx_owenii ENSAOWG00000018287
dromaius_novaehollandiae ENSDNVG00000016753
nothoprocta_perdicaria ENSNPEG00000008875
lepidothrix_coronata ENSLCOG00000016179
manacus_vitellinus ENSMVIG00005000262
melopsittacus_undulatus ENSMUNG00000006368
anser_brachyrhynchus ENSABRG00000006880
crocodylus_porosus ENSCPRG00005002051
chrysemys_picta_bellii ENSCPBG00000020892
chelonoidis_abingdonii ENSCABG00000021523
anolis_carolinensis ENSACAG00000028731
pogona_vitticeps ENSPVIG00000002807
salvator_merianae ENSSMRG00000020315
cricetulus_griseus_crigri-picr ENSCGRG00015028891
cricetulus_griseus_crigri_1.0 ENSCGRG00000008119
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021567
mesocricetus_auratus ENSMAUG00000022108
peromyscus_maniculatus_bairdii ENSPEMG00000012946
microtus_ochrogaster ENSMOCG00000008599
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015026
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044816
mus_spicilegus ENSMSIG00000009745
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014219
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027457
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015025
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000100846
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014218
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027456
rattus_norvegicus ENSRNOG00000046343
meriones_unguiculatus ENSMUGG00000021920
nannospalax_galili ENSNGAG00000013154
jaculus_jaculus ENSJJAG00000011180
dipodomys_ordii ENSDORG00000003879
marmota_marmota_marmota ENSMMMG00000015100
ictidomys_tridecemlineatus ENSSTOG00000008303
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019047
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007437
fukomys_damarensis ENSFDAG00000010994
chinchilla_lanigera ENSCLAG00000012137
octodon_degus ENSODEG00000009684
cavia_porcellus ENSCPOG00000015050
cavia_aperea ENSCAPG00000017489
carlito_syrichta ENSTSYG00000012358
propithecus_coquereli ENSPCOG00000013784
prolemur_simus ENSPSMG00000007808
microcebus_murinus ENSMICG00000009794
otolemur_garnettii ENSOGAG00000014847
pan_troglodytes ENSPTRG00000012863
pan_paniscus ENSPPAG00000035033
homo_sapiens ENSG00000188674
gorilla_gorilla ENSGGOG00000004332
pongo_abelii ENSPPYG00000013124
macaca_nemestrina ENSMNEG00000043879
macaca_fascicularis ENSMFAG00000003892
macaca_mulatta ENSMMUG00000014299
theropithecus_gelada ENSTGEG00000004730
papio_anubis ENSPANG00000033159
mandrillus_leucophaeus ENSMLEG00000028047
cercocebus_atys ENSCATG00000038326
chlorocebus_sabaeus ENSCSAG00000010044
rhinopithecus_roxellana ENSRROG00000045563
rhinopithecus_bieti ENSRBIG00000035852
colobus_angolensis_palliatus ENSCANG00000035204
piliocolobus_tephrosceles ENSPTEG00000034869
saimiri_boliviensis_boliviensis ENSSBOG00000020763
callithrix_jacchus ENSCJAG00000002855
aotus_nancymaae ENSANAG00000021366
oryctolagus_cuniculus ENSOCUG00000010976
ochotona_princeps ENSOPRG00000015261
nomascus_leucogenys ENSNLEG00000007142
cebus_capucinus_imitator ENSCCAG00000021479
tupaia_belangeri ENSTBEG00000008565
spermophilus_dauricus ENSSDAG00000018961
castor_canadensis ENSCCNG00000001113
sorex_araneus ENSSARG00000007281
erinaceus_europaeus ENSEEUG00000005923
echinops_telfairi ENSETEG00000009396
choloepus_hoffmanni ENSCHOG00000000945
dasypus_novemcinctus ENSDNOG00000034064
loxodonta_africana ENSLAFG00000016878
procavia_capensis ENSPCAG00000013984
bos_mutus ENSBMUG00000010376
bos_taurus ENSBTAG00000012888
bison_bison_bison ENSBBBG00000010761
capra_hircus ENSCHIG00000012414
ovis_aries ENSOARG00000018973
sus_scrofa ENSSSCG00000032040
vicugna_pacos ENSVPAG00000009699
tursiops_truncatus ENSTTRG00000016389
pteropus_vampyrus ENSPVAG00000008300
myotis_lucifugus ENSMLUG00000025398
equus_caballus ENSECAG00000011588
equus_asinus_asinus ENSEASG00005003060
ursus_americanus ENSUAMG00000009435
ursus_maritimus ENSUMAG00000022683
ailuropoda_melanoleuca ENSAMEG00000015239
neovison_vison ENSNVIG00000004824
mustela_putorius_furo ENSMPUG00000000512
canis_lupus_dingo ENSCAFG00020027395
canis_lupus_familiaris ENSCAFG00000013590
vulpes_vulpes ENSVVUG00000011811
panthera_tigris_altaica ENSPTIG00000011733
panthera_pardus ENSPPRG00000007937
felis_catus ENSFCAG00000003974
phascolarctos_cinereus ENSPCIG00000012083
monodelphis_domestica ENSMODG00000015937
anabas_testudineus ENSATEG00000020774
kryptolebias_marmoratus ENSKMAG00000002603
scophthalmus_maximus ENSSMAG00000013732
esox_lucius ENSELUG00000006263
astyanax_mexicanus ENSAMXG00000030944
ictalurus_punctatus ENSIPUG00000022121
paramormyrops_kingsleyae ENSPKIG00000013106
