ENSAPET00000002059 ENSAPEG00000001473
ENSAOCT00000014108 ENSAOCG00000003835
ENSAPOT00000004189 ENSAPOG00000009932
ENSSPAT00000002357 ENSSPAG00000001774
ENSPRNT00000007883 ENSPRNG00000004264
ENSPRNT00000007346 ENSPRNG00000004008
ENSFHET00000013836 ENSFHEG00000002215
ENSCVAT00000018339 ENSCVAG00000013661
ENSXCOT00000002690 ENSXCOG00000002119
ENSXMAT00000013802 ENSXMAG00000013749
ENSGAFT00000024719 ENSGAFG00000016506
ENSPMET00000004583 ENSPMEG00000008797
ENSPFOT00000017752 ENSPFOG00000017644
ENSPLAT00000021729 ENSPLAG00000017115
ENSKMAT00000019273 ENSKMAG00000014130
