bos_mutus ENSBMUG00000003609
bos_taurus ENSBTAG00000024219
bison_bison_bison ENSBBBG00000003617
capra_hircus ENSCHIG00000005765
ovis_aries ENSOARG00000016910
tursiops_truncatus ENSTTRG00000007798
pteropus_vampyrus ENSPVAG00000007803
ursus_americanus ENSUAMG00000012819
ursus_maritimus ENSUMAG00000011977
ailuropoda_melanoleuca ENSAMEG00000006421
mustela_putorius_furo ENSMPUG00000008464
neovison_vison ENSNVIG00000019355
canis_lupus_familiaris ENSCAFG00000025465
canis_lupus_dingo ENSCAFG00020020905
vulpes_vulpes ENSVVUG00000027613
panthera_pardus ENSPPRG00000024934
panthera_tigris_altaica ENSPTIG00000008093
felis_catus ENSFCAG00000014932
equus_asinus_asinus ENSEASG00005009282
equus_caballus ENSECAG00000022404
castor_canadensis ENSCCNG00000025744
dipodomys_ordii ENSDORG00000008692
mus_spicilegus ENSMSIG00000003368
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029280
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029868
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028275
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022032
rattus_norvegicus ENSRNOG00000014714
meriones_unguiculatus ENSMUGG00000022275
peromyscus_maniculatus_bairdii ENSPEMG00000014527
microtus_ochrogaster ENSMOCG00000004978
cricetulus_griseus_crigri-picr ENSCGRG00015023387
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017045
cricetulus_griseus_crigri_1.0 ENSCGRG00000005139
mesocricetus_auratus ENSMAUG00000011719
nannospalax_galili ENSNGAG00000014316
jaculus_jaculus ENSJJAG00000010273
chinchilla_lanigera ENSCLAG00000001066
octodon_degus ENSODEG00000015340
cavia_porcellus ENSCPOG00000000470
cavia_aperea ENSCAPG00000008172
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011697
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013007
fukomys_damarensis ENSFDAG00000010047
ictidomys_tridecemlineatus ENSSTOG00000007992
spermophilus_dauricus ENSSDAG00000006803
marmota_marmota_marmota ENSMMMG00000008217
oryctolagus_cuniculus ENSOCUG00000007551
ochotona_princeps ENSOPRG00000000894
tupaia_belangeri ENSTBEG00000011450
rhinopithecus_bieti ENSRBIG00000040293
rhinopithecus_roxellana ENSRROG00000044975
colobus_angolensis_palliatus ENSCANG00000040629
piliocolobus_tephrosceles ENSPTEG00000032867
cercocebus_atys ENSCATG00000039710
chlorocebus_sabaeus ENSCSAG00000007462
mandrillus_leucophaeus ENSMLEG00000024252
papio_anubis ENSPANG00000011082
macaca_fascicularis ENSMFAG00000039755
macaca_nemestrina ENSMNEG00000033363
macaca_mulatta ENSMMUG00000016219
theropithecus_gelada ENSTGEG00000000199
pan_troglodytes ENSPTRG00000022570
pan_paniscus ENSPPAG00000040200
homo_sapiens ENSG00000165125
gorilla_gorilla ENSGGOG00000015611
nomascus_leucogenys ENSNLEG00000002761
cebus_capucinus_imitator ENSCCAG00000015163
callithrix_jacchus ENSCJAG00000009427
aotus_nancymaae ENSANAG00000026042
carlito_syrichta ENSTSYG00000002970
propithecus_coquereli ENSPCOG00000007013
microcebus_murinus ENSMICG00000007378
prolemur_simus ENSPSMG00000000245
otolemur_garnettii ENSOGAG00000013542
choloepus_hoffmanni ENSCHOG00000003525
dasypus_novemcinctus ENSDNOG00000004747
loxodonta_africana ENSLAFG00000018495
phascolarctos_cinereus ENSPCIG00000015593
notamacropus_eugenii ENSMEUG00000005843
monodelphis_domestica ENSMODG00000001018
