phascolarctos_cinereus ENSPCIG00000019492
sarcophilus_harrisii ENSSHAG00000003898
monodelphis_domestica ENSMODG00000015111
bos_taurus ENSBTAG00000002629
bos_mutus ENSBMUG00000026027
bison_bison_bison ENSBBBG00000004501
capra_hircus ENSCHIG00000021310
ovis_aries ENSOARG00000000889
tursiops_truncatus ENSTTRG00000003859
sus_scrofa ENSSSCG00000013571
pteropus_vampyrus ENSPVAG00000008282
equus_caballus ENSECAG00000022297
equus_asinus_asinus ENSEASG00005013791
neovison_vison ENSNVIG00000018678
mustela_putorius_furo ENSMPUG00000008353
ailuropoda_melanoleuca ENSAMEG00000008281
ursus_americanus ENSUAMG00000019088
canis_lupus_familiaris ENSCAFG00000018226
canis_lupus_dingo ENSCAFG00020022935
vulpes_vulpes ENSVVUG00000028234
panthera_pardus ENSPPRG00000005542
panthera_tigris_altaica ENSPTIG00000017791
felis_catus ENSFCAG00000008285
sorex_araneus ENSSARG00000012065
castor_canadensis ENSCCNG00000006541
dipodomys_ordii ENSDORG00000007744
cricetulus_griseus_chok1gshd ENSCGRG00001018974
cricetulus_griseus_crigri-picr ENSCGRG00015017721
cricetulus_griseus_crigri ENSCGRG00000006385
mesocricetus_auratus ENSMAUG00000014254
microtus_ochrogaster ENSMOCG00000011589
peromyscus_maniculatus_bairdii ENSPEMG00000000325
mus_musculus ENSMUSG00000040340
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031877
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030769
mus_spicilegus ENSMSIG00000007810
mus_pahari MGP_PahariEiJ_G0021241
rattus_norvegicus ENSRNOG00000000973
nannospalax_galili ENSNGAG00000018173
jaculus_jaculus ENSJJAG00000017920
heterocephalus_glaber_male ENSHGLG00100008121
heterocephalus_glaber_female ENSHGLG00000010501
octodon_degus ENSODEG00000012588
cavia_porcellus ENSCPOG00000004245
ictidomys_tridecemlineatus ENSSTOG00000009768
spermophilus_dauricus ENSSDAG00000001898
urocitellus_parryii ENSUPAG00010018970
marmota_marmota_marmota ENSMMMG00000020650
ochotona_princeps ENSOPRG00000000729
tupaia_belangeri ENSTBEG00000001469
pan_troglodytes ENSPTRG00000010390
pan_paniscus ENSPPAG00000034081
homo_sapiens ENSG00000198723
gorilla_gorilla ENSGGOG00000007773
pongo_abelii ENSPPYG00000009475
nomascus_leucogenys ENSNLEG00000000836
rhinopithecus_bieti ENSRBIG00000035566
rhinopithecus_roxellana ENSRROG00000030451
piliocolobus_tephrosceles ENSPTEG00000028983
macaca_nemestrina ENSMNEG00000019465
macaca_fascicularis ENSMFAG00000001714
theropithecus_gelada ENSTGEG00000021004
papio_anubis ENSPANG00000026429
chlorocebus_sabaeus ENSCSAG00000008787
cercocebus_atys ENSCATG00000029598
mandrillus_leucophaeus ENSMLEG00000028485
colobus_angolensis_palliatus ENSCANG00000029246
saimiri_boliviensis_boliviensis ENSSBOG00000033663
cebus_capucinus ENSCCAG00000028887
callithrix_jacchus ENSCJAG00000008413
aotus_nancymaae ENSANAG00000027070
carlito_syrichta ENSTSYG00000032040
propithecus_coquereli ENSPCOG00000003057
prolemur_simus ENSPSMG00000002624
microcebus_murinus ENSMICG00000003762
otolemur_garnettii ENSOGAG00000031406
loxodonta_africana ENSLAFG00000011272
procavia_capensis ENSPCAG00000008720
echinops_telfairi ENSETEG00000004813
dasypus_novemcinctus ENSDNOG00000009141
ornithorhynchus_anatinus ENSOANG00000004760
gopherus_agassizii ENSGAGG00000000199
chelonoidis_abingdonii ENSCABG00000016416
pelodiscus_sinensis ENSPSIG00000002150
anas_platyrhynchos_platyrhynchos ENSAPLG00000016128
