junco_hyemalis ENSJHYG00000003046
lonchura_striata ENSLSDG00000000388
coturnix_japonica ENSCJPG00005002313
apteryx_owenii ENSAOWG00000002627
dromaius_novaehollandiae ENSDNVG00000019060
notechis_scutatus ENSNSUG00000018041
monodelphis_domestica ENSMODG00000042417
phascolarctos_cinereus ENSPCIG00000019784
dasypus_novemcinctus ENSDNOG00000032409
stegastes_partitus ENSSPAG00000002572
acanthochromis_polyacanthus ENSAPOG00000023005
poecilia_reticulata ENSPREG00000005563
amphilophus_citrinellus ENSACIG00000016540
scophthalmus_maximus ENSSMAG00000002976
mastacembelus_armatus ENSMAMG00000020334
betta_splendens ENSBSLG00000016197
periophthalmus_magnuspinnatus ENSPMGG00000006739
