junco_hyemalis ENSJHYG00000017296
taeniopygia_guttata ENSTGUG00000002667
monopterus_albus ENSMALG00000016589
anabas_testudineus ENSATEG00000020999
amphiprion_ocellaris ENSAOCG00000005117
amphiprion_percula ENSAPEG00000011074
stegastes_partitus ENSSPAG00000000901
poecilia_latipinna ENSPLAG00000001580
poecilia_mexicana ENSPMEG00000010246
xiphophorus_maculatus ENSXMAG00000023514
poecilia_reticulata ENSPREG00000006915
gambusia_affinis ENSGAFG00000015952
fundulus_heteroclitus ENSFHEG00000001656
cyprinodon_variegatus ENSCVAG00000013986
oryzias_latipes ENSORLG00020004414
oryzias_latipes ENSORLG00000026780
oryzias_latipes_asm223469v1 ENSORLG00015000479
haplochromis_burtoni ENSHBUG00000021134
pundamilia_nyererei ENSPNYG00000013264
maylandia_zebra ENSMZEG00005019021
amphilophus_citrinellus ENSACIG00000024210
labrus_bergylta ENSLBEG00000008242
scophthalmus_maximus ENSSMAG00000004574
hippocampus_comes ENSHCOG00000015948
ictalurus_punctatus ENSIPUG00000013140
eptatretus_burgeri ENSEBUG00000014089
