geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , TreeBestPassTest   , EnsemblTreePassTest, TreeBestBetter   , EnsemblBetter , REC_TreeBest  ,  REC_Ensembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,
ENSGT00940000169600,3,"33,33","0,503","0,497",1,1,1,0,1,0,0,1,
ENSGT00940000160433,8,100,"0,711","0,016",1,0,1,0,5,5,0,0,
ENSGT00940000159954,10,90,1,"0,0003",1,0,1,0,8,8,0,0,
ENSGT00390000014590,6,50,"0,195","0,805",1,1,0,1,3,3,0,0,
ENSGT00390000004040,8,75,"0,615","0,621",1,1,0,1,2,1,0,1,
ENSGT00940000158783,18,"88,89","0,981","0,019",1,0,1,0,15,14,0,1,
ENSGT00940000165172,8,"62,5","0,549","0,451",1,1,1,0,4,3,0,1,
ENSGT00390000001511,3,"33,33","0,488","0,507",1,1,0,1,1,0,0,1,
ENSGT00940000155294,16,"37,5","0,848","0,152",1,1,1,0,2,4,1,0,
ENSGT00940000177095,18,100,"0,849","0,155",1,1,1,0,8,9,1,0,
ENSGT00940000158387,17,"82,35","0,39","0,739",1,1,0,1,9,9,0,0,
ENSGT00950000185540,6,100,"0,67","0,631",1,1,1,0,4,3,0,1,
ENSGT00940000162882,12,"83,33","0,985","0,015",1,0,1,0,10,10,0,0,
ENSGT00940000178019,6,100,"0,423","0,423",1,1,0,0,0,1,1,0,
ENSGT00940000165652,9,100,"0,81","0,19",1,1,1,0,3,4,1,0,
ENSGT00940000164774,9,100,1,"0,033",1,0,1,0,6,7,1,0,
ENSGT00940000169631,8,"62,5","0,156","0,176",1,1,0,1,4,5,1,0,
ENSGT00940000164045,5,80,"0,387","0,93",1,1,0,1,3,3,0,0,
ENSGT00940000158566,5,60,"0,891","0,11",1,1,1,0,0,1,1,0,
ENSGT00910000147974,7,100,"0,618","0,544",1,1,1,0,5,5,0,0,
ENSGT00940000158220,9,"88,89","0,019","0,993",0,1,0,1,6,7,1,0,
ENSGT00910000144335,11,100,"0,222","0,778",1,1,0,1,7,7,0,0,
ENSGT00940000158362,4,75,"0,07","0,721",1,1,0,1,1,1,0,0,
ENSGT00950000182863,6,50,"0,919","0,041",1,0,1,0,3,3,0,0,
ENSGT00950000183203,15,40,"0,422","0,579",1,1,0,1,11,11,0,0,
ENSGT00940000178120,5,100,"0,491","0,499",1,1,0,1,0,1,1,0,
ENSGT00390000010017,13,"76,92","0,151","0,85",1,1,0,1,1,2,1,0,
ENSGT00510000048991,3,"66,67","0,496","0,659",1,1,0,1,2,2,0,0,
ENSGT00420000029792,3,"33,33","0,476","0,465",1,1,1,0,1,0,0,1,
ENSGT00940000156370,6,100,"0,572","0,655",1,1,0,1,4,4,0,0,
ENSGT00940000172014,3,100,"0,485","0,503",1,1,0,1,1,0,0,1,
ENSGT00940000161512,6,100,"0,828","0,257",1,1,1,0,2,2,0,0,
ENSGT00940000167505,5,100,"0,495","0,494",1,1,1,0,2,0,0,1,
ENSGT00390000008744,16,"87,5","0,216","0,784",1,1,0,1,1,3,1,0,
ENSGT00940000156549,8,100,"0,105","0,906",1,1,0,1,4,5,1,0,
ENSGT00390000006227,8,100,"0,028","0,972",0,1,0,1,5,5,0,0,
ENSGT00940000153472,9,"88,89","0,951","0,049",1,0,1,0,4,2,0,1,
ENSGT00940000158027,8,75,"0,615","0,581",1,1,1,0,6,6,0,0,
ENSGT00910000147528,7,100,"0,686","0,556",1,1,1,0,5,5,0,0,
ENSGT00950000183248,6,100,"0,656","0,338",1,1,1,0,1,1,0,0,
ENSGT00940000157805,7,100,"0,668","0,648",1,1,1,0,5,5,0,0,
ENSGT00940000159007,6,100,"0,814","0,172",1,1,1,0,2,2,0,0,
ENSGT00390000007890,6,"83,33","0,502","0,48",1,1,1,0,3,3,0,0,
ENSGT00940000158046,15,80,"0,524","0,476",1,1,1,0,0,3,1,0,
ENSGT00940000162075,15,100,"0,985","0,015",1,0,1,0,2,4,1,0,
ENSGT00940000160970,4,75,"0,503","0,425",1,1,1,0,1,1,0,0,
ENSGT00940000174692,11,100,"0,456","0,599",1,1,0,1,2,3,1,0,
ENSGT00940000166658,16,"37,5","0,414","0,586",1,1,0,1,4,4,0,0,
ENSGT00910000146899,10,80,1,2E-47,1,0,1,0,8,7,0,1,
ENSGT00940000178224,4,100,"0,511","0,487",1,1,1,0,1,2,1,0,
ENSGT00940000157459,19,"89,47","0,914","0,086",1,1,1,0,16,16,0,0,
ENSGT00390000010512,10,90,"0,051","0,963",1,1,0,1,6,5,0,1,
ENSGT00900000143393,17,100,"0,812","0,188",1,1,1,0,4,4,0,0,
ENSGT00940000159129,8,"87,5",3E-16,"0,000000004",0,0,0,1,4,4,0,0,
ENSGT00940000155347,7,"28,57","0,835","0,028",1,0,1,0,3,3,0,0,
ENSGT00940000167924,8,100,"0,583","0,583",1,1,0,0,0,2,1,0,
ENSGT00720000108834,11,"81,82","0,437","0,564",1,1,0,1,4,4,0,0,
ENSGT00940000164532,14,"92,86","0,002","0,998",0,1,0,1,10,10,0,0,
ENSGT00690000103118,14,100,"0,749","0,251",1,1,1,0,0,2,1,0,
ENSGT00940000154956,19,"78,95","0,688","0,00005",1,0,1,0,15,16,1,0,
ENSGT00940000163213,12,"91,67","0,509","0,491",1,1,1,0,10,10,0,0,
ENSGT00950000183312,11,100,"0,727","0,283",1,1,1,0,8,9,1,0,
ENSGT00940000178277,4,100,"0,47","0,519",1,1,0,1,2,2,0,0,
ENSGT00940000169756,3,"66,67","0,51","0,447",1,1,1,0,2,2,0,0,
ENSGT00390000003337,10,70,"0,864","0,154",1,1,1,0,6,4,0,1,
ENSGT00940000156022,3,"66,67","0,468","0,489",1,1,0,1,1,1,0,0,
ENSGT00940000161450,15,"66,67","0,626","0,45",1,1,1,0,0,3,1,0,
ENSGT00940000160474,17,100,"0,367","0,633",1,1,0,1,3,6,1,0,
ENSGT00940000178375,3,100,"0,515","0,495",1,1,1,0,2,2,0,0,
ENSGT00940000178042,9,"66,67","0,964","0,066",1,1,1,0,1,2,1,0,
ENSGT00960000186606,7,"57,14","0,156","0,901",1,1,0,1,0,1,1,0,
ENSGT00940000163885,13,"69,23","0,995","0,005",1,0,1,0,11,10,0,1,
ENSGT00940000166522,9,"44,44","0,514","0,758",1,1,0,1,1,2,1,0,
ENSGT00530000063255,4,100,"0,472","0,507",1,1,0,1,3,3,0,0,
ENSGT00940000177785,5,100,"0,203","0,569",1,1,0,1,0,1,1,0,
ENSGT00940000177296,3,100,"0,512","0,455",1,1,1,0,1,1,0,0,
ENSGT00910000146517,7,100,"0,038","0,962",0,1,0,1,5,5,0,0,
ENSGT00940000178325,6,100,"0,59","0,576",1,1,1,0,0,1,1,0,
ENSGT00940000167576,6,"66,67","0,39","0,776",1,1,0,1,4,3,0,1,
ENSGT00390000008931,10,90,"0,44","0,581",1,1,0,1,8,8,0,0,
ENSGT00390000016470,11,"63,64","0,625","0,381",1,1,1,0,9,9,0,0,
ENSGT00940000159656,7,"85,71","0,964","0,082",1,1,1,0,4,5,1,0,
