>ENSSCAT00000012948	ENSSCAG00000008605
>ENSZALT00000003348	ENSZALG00000002185
>ENSMVIT00005030185	ENSMVIG00005018696
>ENSMVIT00005030207	ENSMVIG00005018708
>ENSMVIT00005031207	ENSMVIG00005019333
>ENSMVIT00005030222	ENSMVIG00005018721
>ENSZALT00000007376	ENSZALG00000004605
>ENSLCOT00000007838	ENSLCOG00000005412
>ENSSCAT00000012951	ENSSCAG00000008608
>ENSCPUT00000003340	ENSCPUG00000002097
>ENSCPUT00000025122	ENSCPUG00000014494
>ENSLCOT00000007842	ENSLCOG00000005416
>ENSDNVT00000032511	ENSDNVG00000018705
