,ENSMMUT00000073472_ENSMMUG00000042410,ENSTGET00000029509_ENSTGEG00000020005,ENSPTET00000040937_ENSPTEG00000028855,ENST00000645590_ENSG00000285010,ENSCJAT00000098472_ENSCJAG00000069442,ENSOCUT00000043443_ENSOCUG00000039555
ENSMMUT00000073472_ENSMMUG00000042410,1.0,1.0,0.91,0.99,0.89,0.59
ENSTGET00000029509_ENSTGEG00000020005,1.0,1.0,0.91,0.99,0.89,0.59
ENSPTET00000040937_ENSPTEG00000028855,0.91,0.91,1.0,0.91,0.89,0.59
ENST00000645590_ENSG00000285010,0.99,0.99,0.91,1.0,0.89,0.59
ENSCJAT00000098472_ENSCJAG00000069442,0.89,0.89,0.89,0.89,1.0,0.65
ENSOCUT00000043443_ENSOCUG00000039555,0.59,0.59,0.59,0.59,0.65,1.0
