,F42F12.6.1_WBGene00009637,F42F12.7.1_WBGene00009638,F42F12.1.1_WBGene00009634,F42F12.10.1_WBGene00023493,F42F12.8.1_WBGene00009639,F42F12.8.2_WBGene00009639,F42F12.9.1_WBGene00009640,C03G5.8.1_WBGene00023477,C03G5.2.1_WBGene00015392,C03G5.10.1_WBGene00044338,C03G5.9.1_WBGene00044337,C03G5.13.1_WBGene00044357,C03G5.12.1_WBGene00044340,C03G5.11.1_WBGene00044339,D1025.9.1_WBGene00008360,D1025.6.1_WBGene00008357,D1025.4.1_WBGene00008356,D1025.8.1_WBGene00008359,D1025.7.1_WBGene00008358
F42F12.6.1_WBGene00009637,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.55,0.55,0.54,0.55,0.55
F42F12.7.1_WBGene00009638,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.55,0.55,0.55,0.55,0.55
F42F12.1.1_WBGene00009634,0.99,0.99,1.0,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.55,0.55,0.55,0.55,0.55
F42F12.10.1_WBGene00023493,0.99,0.99,0.99,1.0,1.0,1.0,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.55,0.55,0.55,0.55,0.55
F42F12.8.1_WBGene00009639,0.99,0.99,0.99,1.0,1.0,1.0,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.55,0.55,0.55,0.55,0.55
F42F12.8.2_WBGene00009639,0.99,0.99,0.99,1.0,1.0,1.0,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.55,0.55,0.55,0.55,0.55
F42F12.9.1_WBGene00009640,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.54,0.54,0.54,0.55,0.55
C03G5.8.1_WBGene00023477,0.99,0.99,0.98,0.98,0.98,0.98,0.98,1.0,0.99,1.0,0.99,0.99,0.99,0.99,0.54,0.54,0.54,0.54,0.54
C03G5.2.1_WBGene00015392,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,1.0,0.99,0.99,0.99,0.99,0.99,0.54,0.54,0.54,0.54,0.54
C03G5.10.1_WBGene00044338,0.99,0.99,0.99,0.98,0.98,0.98,0.98,1.0,0.99,1.0,0.99,0.99,0.99,0.99,0.55,0.54,0.54,0.55,0.55
C03G5.9.1_WBGene00044337,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,0.99,0.55,0.54,0.54,0.55,0.55
C03G5.13.1_WBGene00044357,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,0.99,0.55,0.54,0.54,0.55,0.55
C03G5.12.1_WBGene00044340,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,0.99,0.55,0.54,0.54,0.55,0.55
C03G5.11.1_WBGene00044339,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.54,0.54,0.54,0.55,0.55
D1025.9.1_WBGene00008360,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.54,1.0,1.0,1.0,1.0,0.99
D1025.6.1_WBGene00008357,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,1.0,1.0,1.0,0.99,0.99
D1025.4.1_WBGene00008356,0.54,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,1.0,1.0,1.0,0.99,0.99
D1025.8.1_WBGene00008359,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.55,0.55,0.55,0.55,0.55,1.0,0.99,0.99,1.0,1.0
D1025.7.1_WBGene00008358,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.99,0.99,0.99,1.0,1.0
