takifugu_rubripes ENSTRUG00000001541
tetraodon_nigroviridis ENSTNIG00000003277
labrus_bergylta ENSLBEG00000014954
mastacembelus_armatus ENSMAMG00000014485
amphilophus_citrinellus ENSACIG00000007286
xiphophorus_couchianus ENSXCOG00000002661
mola_mola ENSMMOG00000019557
monopterus_albus ENSMALG00000016667
hippocampus_comes ENSHCOG00000013863
cynoglossus_semilaevis ENSCSEG00000004849
cynoglossus_semilaevis ENSCSEG00000006779
anabas_testudineus ENSATEG00000021930
gambusia_affinis ENSGAFG00000013213
xiphophorus_maculatus ENSXMAG00000012770
poecilia_mexicana ENSPMEG00000021603
poecilia_latipinna ENSPLAG00000006398
poecilia_formosa ENSPFOG00000017697
poecilia_reticulata ENSPREG00000009129
kryptolebias_marmoratus ENSKMAG00000013230
oryzias_latipes ENSORLG00000019206
oryzias_latipes_asm223469v1 ENSORLG00015015324
oryzias_melastigma ENSOMEG00000022965
amphiprion_ocellaris ENSAOCG00000013253
amphiprion_ocellaris ENSAOCG00000003635
amphiprion_percula ENSAPEG00000014530
acanthochromis_polyacanthus ENSAPOG00000019397
stegastes_partitus ENSSPAG00000006129
gasterosteus_aculeatus ENSGACG00000013354
seriola_dumerili ENSSDUG00000001898
seriola_lalandi_dorsalis ENSSLDG00000016357
periophthalmus_magnuspinnatus ENSPMGG00000013221
gadus_morhua ENSGMOG00000006365
esox_lucius ENSELUG00000006767
pygocentrus_nattereri ENSPNAG00000017364
astyanax_mexicanus ENSAMXG00000007651
ictalurus_punctatus ENSIPUG00000000602
danio_rerio ENSDARG00000014587
paramormyrops_kingsleyae ENSPKIG00000011198
scleropages_formosus ENSSFOG00015019972
