takifugu_rubripes ENSTRUG00000016355
tetraodon_nigroviridis ENSTNIG00000014264
mola_mola ENSMMOG00000001145
gasterosteus_aculeatus ENSGACG00000003609
labrus_bergylta ENSLBEG00000021899
mastacembelus_armatus ENSMAMG00000023136
monopterus_albus ENSMALG00000014141
anabas_testudineus ENSATEG00000020047
amphiprion_percula ENSAPEG00000006284
amphiprion_ocellaris ENSAOCG00000005387
acanthochromis_polyacanthus ENSAPOG00000018871
stegastes_partitus ENSSPAG00000003437
astatotilapia_calliptera ENSACLG00000026016
pundamilia_nyererei ENSPNYG00000007671
haplochromis_burtoni ENSHBUG00000014414
maylandia_zebra ENSMZEG00005010428
neolamprologus_brichardi ENSNBRG00000018395
oreochromis_niloticus ENSONIG00000008861
amphilophus_citrinellus ENSACIG00000018278
seriola_dumerili ENSSDUG00000023390
seriola_lalandi_dorsalis ENSSLDG00000000523
scophthalmus_maximus ENSSMAG00000006517
cynoglossus_semilaevis ENSCSEG00000008770
fundulus_heteroclitus ENSFHEG00000015286
cyprinodon_variegatus ENSCVAG00000016787
poecilia_formosa ENSPFOG00000012989
poecilia_mexicana ENSPMEG00000023916
poecilia_latipinna ENSPLAG00000003608
poecilia_reticulata ENSPREG00000011749
xiphophorus_couchianus ENSXCOG00000020883
xiphophorus_maculatus ENSXMAG00000010406
gambusia_affinis ENSGAFG00000004204
kryptolebias_marmoratus ENSKMAG00000016973
oryzias_latipes_asm223471v1 ENSORLG00020020260
oryzias_latipes_asm223467v1 ENSORLG00000002173
oryzias_latipes_asm223469v1 ENSORLG00015013280
oryzias_melastigma ENSOMEG00000007116
hippocampus_comes ENSHCOG00000003500
periophthalmus_magnuspinnatus ENSPMGG00000010527
gadus_morhua ENSGMOG00000000877
esox_lucius ENSELUG00000007614
astyanax_mexicanus ENSAMXG00000000684
pygocentrus_nattereri ENSPNAG00000024980
ictalurus_punctatus ENSIPUG00000011989
danio_rerio ENSDARG00000099798
scleropages_formosus ENSSFOG00015007168
scleropages_formosus ENSSFOG00015002897
paramormyrops_kingsleyae ENSPKIG00000021175
lepisosteus_oculatus ENSLOCG00000016986
phascolarctos_cinereus ENSPCIG00000017908
sarcophilus_harrisii ENSSHAG00000013976
monodelphis_domestica ENSMODG00000014318
loxodonta_africana ENSLAFG00000010177
procavia_capensis ENSPCAG00000007301
echinops_telfairi ENSETEG00000019584
choloepus_hoffmanni ENSCHOG00000008419
dasypus_novemcinctus ENSDNOG00000000467
myotis_lucifugus ENSMLUG00000003367
pteropus_vampyrus ENSPVAG00000007632
ursus_maritimus ENSUMAG00000020264
ursus_americanus ENSUAMG00000003689
ailuropoda_melanoleuca ENSAMEG00000009821
neovison_vison ENSNVIG00000003868
mustela_putorius_furo ENSMPUG00000016714
canis_lupus_familiaris ENSCAFG00000000333
canis_lupus_dingo ENSCAFG00020019669
vulpes_vulpes ENSVVUG00000015118
panthera_pardus ENSPPRG00000000598
panthera_tigris_altaica ENSPTIG00000017684
felis_catus ENSFCAG00000023896
equus_caballus ENSECAG00000024896
equus_asinus_asinus ENSEASG00005007505
ovis_aries ENSOARG00000004366
capra_hircus ENSCHIG00000008433
bos_taurus ENSBTAG00000011068
bos_mutus ENSBMUG00000024974
bison_bison_bison ENSBBBG00000002321
tursiops_truncatus ENSTTRG00000011446
sus_scrofa ENSSSCG00000000458
vicugna_pacos ENSVPAG00000007404
erinaceus_europaeus ENSEEUG00000012503
sorex_araneus ENSSARG00000013772
octodon_degus ENSODEG00000001456
chinchilla_lanigera ENSCLAG00000012321
cavia_porcellus ENSCPOG00000032417
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003546
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016131
fukomys_damarensis ENSFDAG00000006734
urocitellus_parryii ENSUPAG00010008338
spermophilus_dauricus ENSSDAG00000020465
ictidomys_tridecemlineatus ENSSTOG00000001356
marmota_marmota_marmota ENSMMMG00000009982
dipodomys_ordii ENSDORG00000000894
castor_canadensis ENSCCNG00000024898
mus_spicilegus ENSMSIG00000000262
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016691
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034602
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015865
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031220
rattus_norvegicus ENSRNOG00000004185
meriones_unguiculatus ENSMUGG00000002606
microtus_ochrogaster ENSMOCG00000014757
peromyscus_maniculatus_bairdii ENSPEMG00000016912
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014349
cricetulus_griseus_crigri_1.0 ENSCGRG00000001033
cricetulus_griseus_crigri-picr ENSCGRG00015002011
mesocricetus_auratus ENSMAUG00000000577
nannospalax_galili ENSNGAG00000011389
jaculus_jaculus ENSJJAG00000015619
oryctolagus_cuniculus ENSOCUG00000002406
ochotona_princeps ENSOPRG00000005057
tupaia_belangeri ENSTBEG00000017405
pan_paniscus ENSPPAG00000036500
pan_troglodytes ENSPTRG00000005164
homo_sapiens ENSG00000061987
gorilla_gorilla ENSGGOG00000012086
pongo_abelii ENSPPYG00000004718
nomascus_leucogenys ENSNLEG00000017095
macaca_fascicularis ENSMFAG00000037361
macaca_mulatta ENSMMUG00000000956
macaca_nemestrina ENSMNEG00000033818
mandrillus_leucophaeus ENSMLEG00000030519
theropithecus_gelada ENSTGEG00000020016
papio_anubis ENSPANG00000021073
cercocebus_atys ENSCATG00000022165
chlorocebus_sabaeus ENSCSAG00000004527
piliocolobus_tephrosceles ENSPTEG00000026208
colobus_angolensis_palliatus ENSCANG00000000753
rhinopithecus_roxellana ENSRROG00000042218
rhinopithecus_bieti ENSRBIG00000037597
cebus_capucinus_imitator ENSCCAG00000028993
saimiri_boliviensis_boliviensis ENSSBOG00000032703
callithrix_jacchus ENSCJAG00000006144
aotus_nancymaae ENSANAG00000019939
carlito_syrichta ENSTSYG00000005475
microcebus_murinus ENSMICG00000000252
prolemur_simus ENSPSMG00000020461
propithecus_coquereli ENSPCOG00000025766
otolemur_garnettii ENSOGAG00000010839
ornithorhynchus_anatinus ENSOANG00000010807
anser_brachyrhynchus ENSABRG00000007422
anas_platyrhynchos_platyrhynchos ENSAPLG00000015190
gallus_gallus ENSGALG00000009795
meleagris_gallopavo ENSMGAG00000010123
coturnix_japonica ENSCJPG00005014458
numida_meleagris ENSNMEG00000012245
calidris_pygmaea ENSCPGG00000008340
calidris_pugnax ENSCPUG00000004833
melopsittacus_undulatus ENSMUNG00000000219
lepidothrix_coronata ENSLCOG00000015301
manacus_vitellinus ENSMVIG00005005133
parus_major ENSPMJG00000011160
cyanistes_caeruleus ENSCCEG00000009734
ficedula_albicollis ENSFALG00000009828
zonotrichia_albicollis ENSZALG00000009746
junco_hyemalis ENSJHYG00000000681
serinus_canaria ENSSCAG00000000450
taeniopygia_guttata ENSTGUG00000006318
lonchura_striata_domestica ENSLSDG00000016087
apteryx_rowi ENSARWG00000004371
apteryx_haastii ENSAHAG00000000698
apteryx_owenii ENSAOWG00000006229
dromaius_novaehollandiae ENSDNVG00000008235
nothoprocta_perdicaria ENSNPEG00000010612
crocodylus_porosus ENSCPRG00005007830
gopherus_agassizii ENSGAGG00000010238
chelonoidis_abingdonii ENSCABG00000001653
chrysemys_picta_bellii ENSCPBG00000000681
pelodiscus_sinensis ENSPSIG00000006320
anolis_carolinensis ENSACAG00000000574
pogona_vitticeps ENSPVIG00000012263
notechis_scutatus ENSNSUG00000005707
salvator_merianae ENSSMRG00000016087
sphenodon_punctatus ENSSPUG00000014834
ornithorhynchus_anatinus ENSOANG00000013929
xenopus_tropicalis ENSXETG00000018796
latimeria_chalumnae ENSLACG00000012040
petromyzon_marinus ENSPMAG00000004049
eptatretus_burgeri ENSEBUG00000007578
drosophila_melanogaster FBgn0031985
