choloepus_hoffmanni ENSCHOG00000005065
dasypus_novemcinctus ENSDNOG00000046414
loxodonta_africana ENSLAFG00000029608
loxodonta_africana ENSLAFG00000014504
procavia_capensis ENSPCAG00000002254
echinops_telfairi ENSETEG00000019673
homo_sapiens ENSG00000130023
gorilla_gorilla ENSGGOG00000017025
pan_troglodytes ENSPTRG00000018821
pan_paniscus ENSPPAG00000041843
pongo_abelii ENSPPYG00000017186
nomascus_leucogenys ENSNLEG00000000248
piliocolobus_tephrosceles ENSPTEG00000009876
colobus_angolensis_palliatus ENSCANG00000041918
rhinopithecus_roxellana ENSRROG00000042506
rhinopithecus_bieti ENSRBIG00000040263
papio_anubis ENSPANG00000005066
theropithecus_gelada ENSTGEG00000028194
macaca_mulatta ENSMMUG00000015341
macaca_fascicularis ENSMFAG00000040535
macaca_nemestrina ENSMNEG00000034869
cercocebus_atys ENSCATG00000032426
chlorocebus_sabaeus ENSCSAG00000011852
mandrillus_leucophaeus ENSMLEG00000024927
cebus_capucinus_imitator ENSCCAG00000035635
saimiri_boliviensis_boliviensis ENSSBOG00000026999
callithrix_jacchus ENSCJAG00000003391
aotus_nancymaae ENSANAG00000020386
carlito_syrichta ENSTSYG00000010609
propithecus_coquereli ENSPCOG00000017809
microcebus_murinus ENSMICG00000013232
prolemur_simus ENSPSMG00000012881
otolemur_garnettii ENSOGAG00000014725
oryctolagus_cuniculus ENSOCUG00000006917
ochotona_princeps ENSOPRG00000015307
tupaia_belangeri ENSTBEG00000006928
pteropus_vampyrus ENSPVAG00000012236
myotis_lucifugus ENSMLUG00000007321
sorex_araneus ENSSARG00000009858
bos_mutus ENSBMUG00000011349
bos_taurus ENSBTAG00000000918
bison_bison_bison ENSBBBG00000007378
capra_hircus ENSCHIG00000017737
ovis_aries ENSOARG00000005097
tursiops_truncatus ENSTTRG00000011064
sus_scrofa ENSSSCG00000004010
equus_caballus ENSECAG00000010933
equus_asinus_asinus ENSEASG00005000625
ursus_maritimus ENSUMAG00000008594
ursus_americanus ENSUAMG00000010112
ailuropoda_melanoleuca ENSAMEG00000016991
mustela_putorius_furo ENSMPUG00000007031
neovison_vison ENSNVIG00000001371
canis_lupus_dingo ENSCAFG00020019774
canis_lupus_familiaris ENSCAFG00000004084
vulpes_vulpes ENSVVUG00000006881
panthera_pardus ENSPPRG00000007387
panthera_tigris_altaica ENSPTIG00000017047
felis_catus ENSFCAG00000010371
cavia_porcellus ENSCPOG00000011581
cavia_aperea ENSCAPG00000004278
chinchilla_lanigera ENSCLAG00000010666
octodon_degus ENSODEG00000010972
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002582
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005777
fukomys_damarensis ENSFDAG00000007930
ictidomys_tridecemlineatus ENSSTOG00000011287
urocitellus_parryii ENSUPAG00010000517
spermophilus_dauricus ENSSDAG00000006274
spermophilus_dauricus ENSSDAG00000006261
marmota_marmota_marmota ENSMMMG00000007893
castor_canadensis ENSCCNG00000021574
dipodomys_ordii ENSDORG00000014082
