seriola_lalandi_dorsalis ENSSLDG00000002902
seriola_dumerili ENSSDUG00000005196
scophthalmus_maximus ENSSMAG00000002915
labrus_bergylta ENSLBEG00000009847
monopterus_albus ENSMALG00000011201
mastacembelus_armatus ENSMAMG00000000324
anabas_testudineus ENSATEG00000023601
amphiprion_percula ENSAPEG00000022197
amphiprion_ocellaris ENSAOCG00000018969
acanthochromis_polyacanthus ENSAPOG00000017813
stegastes_partitus ENSSPAG00000002193
astatotilapia_calliptera ENSACLG00000000771
pundamilia_nyererei ENSPNYG00000012255
haplochromis_burtoni ENSHBUG00000004654
oreochromis_niloticus ENSONIG00000005335
neolamprologus_brichardi ENSNBRG00000017217
gasterosteus_aculeatus ENSGACG00000006586
gadus_morhua ENSGMOG00000013284
takifugu_rubripes ENSTRUG00000007690
tetraodon_nigroviridis ENSTNIG00000010320
cynoglossus_semilaevis ENSCSEG00000002356
poecilia_formosa ENSPFOG00000002827
poecilia_mexicana ENSPMEG00000009566
poecilia_reticulata ENSPREG00000004814
xiphophorus_maculatus ENSXMAG00000001243
gambusia_affinis ENSGAFG00000000610
cyprinodon_variegatus ENSCVAG00000019992
fundulus_heteroclitus ENSFHEG00000017067
kryptolebias_marmoratus ENSKMAG00000002149
oryzias_latipes_asm223467v1 ENSORLG00000013548
oryzias_latipes_asm223471v1 ENSORLG00020010662
oryzias_latipes_asm223469v1 ENSORLG00015018896
oryzias_melastigma ENSOMEG00000005553
maylandia_zebra ENSMZEG00005013396
amphilophus_citrinellus ENSACIG00000021682
periophthalmus_magnuspinnatus ENSPMGG00000001460
mola_mola ENSMMOG00000005011
hippocampus_comes ENSHCOG00000010788
hippocampus_comes ENSHCOG00000008859
poecilia_mexicana ENSPMEG00000007111
poecilia_latipinna ENSPLAG00000007494
xiphophorus_couchianus ENSXCOG00000001250
esox_lucius ENSELUG00000017728
pygocentrus_nattereri ENSPNAG00000013020
astyanax_mexicanus ENSAMXG00000040747
ictalurus_punctatus ENSIPUG00000009118
danio_rerio ENSDARG00000054632
scleropages_formosus ENSSFOG00015008703
paramormyrops_kingsleyae ENSPKIG00000016322
scleropages_formosus ENSSFOG00015022329
paramormyrops_kingsleyae ENSPKIG00000000505
lepisosteus_oculatus ENSLOCG00000002563
eptatretus_burgeri ENSEBUG00000007246
eptatretus_burgeri ENSEBUG00000002435
petromyzon_marinus ENSPMAG00000006439
castor_canadensis ENSCCNG00000013837
dipodomys_ordii ENSDORG00000025430
cricetulus_griseus_crigri_1.0 ENSCGRG00000014400
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007326
cricetulus_griseus_crigri-picr ENSCGRG00015007313
mesocricetus_auratus ENSMAUG00000001050
microtus_ochrogaster ENSMOCG00000000967
peromyscus_maniculatus_bairdii ENSPEMG00000005402
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000016087
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031945
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033069
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014810
rattus_norvegicus ENSRNOG00000008904
meriones_unguiculatus ENSMUGG00000022588
nannospalax_galili ENSNGAG00000017047
jaculus_jaculus ENSJJAG00000014106
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004644
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001522
fukomys_damarensis ENSFDAG00000000613
chinchilla_lanigera ENSCLAG00000013613
octodon_degus ENSODEG00000003815
cavia_aperea ENSCAPG00000002394
cavia_porcellus ENSCPOG00000030795
spermophilus_dauricus ENSSDAG00000012009
ictidomys_tridecemlineatus ENSSTOG00000027452
urocitellus_parryii ENSUPAG00010019261
marmota_marmota_marmota ENSMMMG00000002046
mus_spicilegus ENSMSIG00000010061
mus_spicilegus ENSMSIG00000010066
ochotona_princeps ENSOPRG00000012182
pan_paniscus ENSPPAG00000040122
pan_troglodytes ENSPTRG00000004467
homo_sapiens ENSG00000151702
gorilla_gorilla ENSGGOG00000000452
pongo_abelii ENSPPYG00000004052
nomascus_leucogenys ENSNLEG00000007479
piliocolobus_tephrosceles ENSPTEG00000001634
colobus_angolensis_palliatus ENSCANG00000028154
rhinopithecus_bieti ENSRBIG00000041739
rhinopithecus_roxellana ENSRROG00000038261
chlorocebus_sabaeus ENSCSAG00000002240
cercocebus_atys ENSCATG00000043673
papio_anubis ENSPANG00000023272
macaca_fascicularis ENSMFAG00000040184
macaca_nemestrina ENSMNEG00000030152
macaca_mulatta ENSMMUG00000003141
mandrillus_leucophaeus ENSMLEG00000042237
theropithecus_gelada ENSTGEG00000028503
callithrix_jacchus ENSCJAG00000009034
saimiri_boliviensis_boliviensis ENSSBOG00000035447
cebus_capucinus_imitator ENSCCAG00000014342
aotus_nancymaae ENSANAG00000037672
carlito_syrichta ENSTSYG00000007958
propithecus_coquereli ENSPCOG00000025581
microcebus_murinus ENSMICG00000016730
prolemur_simus ENSPSMG00000009018
otolemur_garnettii ENSOGAG00000013083
oryctolagus_cuniculus ENSOCUG00000013415
equus_caballus ENSECAG00000021051
equus_asinus_asinus ENSEASG00005022961
bos_mutus ENSBMUG00000005250
bos_taurus ENSBTAG00000008283
bison_bison_bison ENSBBBG00000016217
capra_hircus ENSCHIG00000015640
ovis_aries ENSOARG00000013176
tursiops_truncatus ENSTTRG00000005594
sus_scrofa ENSSSCG00000015237
neovison_vison ENSNVIG00000020222
mustela_putorius_furo ENSMPUG00000008639
canis_lupus_dingo ENSCAFG00020010486
vulpes_vulpes ENSVVUG00000019992
canis_lupus_familiaris ENSCAFG00000032412
panthera_pardus ENSPPRG00000011704
panthera_tigris_altaica ENSPTIG00000017957
felis_catus ENSFCAG00000042373
erinaceus_europaeus ENSEEUG00000009484
pteropus_vampyrus ENSPVAG00000016295
ursus_americanus ENSUAMG00000014997
ursus_americanus ENSUAMG00000014995
ailuropoda_melanoleuca ENSAMEG00000002559
ursus_maritimus ENSUMAG00000002908
myotis_lucifugus ENSMLUG00000001420
loxodonta_africana ENSLAFG00000013824
echinops_telfairi ENSETEG00000007685
procavia_capensis ENSPCAG00000014418
choloepus_hoffmanni ENSCHOG00000012110
dasypus_novemcinctus ENSDNOG00000038251
ornithorhynchus_anatinus ENSOANG00000029214
phascolarctos_cinereus ENSPCIG00000029498
notamacropus_eugenii ENSMEUG00000005951
sarcophilus_harrisii ENSSHAG00000017915
monodelphis_domestica ENSMODG00000004763
ornithorhynchus_anatinus ENSOANG00000021194
apteryx_haastii ENSAHAG00000006242
apteryx_owenii ENSAOWG00000015850
apteryx_rowi ENSARWG00000017026
dromaius_novaehollandiae ENSDNVG00000012401
meleagris_gallopavo ENSMGAG00000000976
coturnix_japonica ENSCJPG00005006095
numida_meleagris ENSNMEG00000012133
gallus_gallus ENSGALG00000001161
anser_brachyrhynchus ENSABRG00000021068
anser_brachyrhynchus ENSABRG00000000891
melopsittacus_undulatus ENSMUNG00000012067
anas_platyrhynchos_platyrhynchos ENSAPLG00000003677
calidris_pygmaea ENSCPGG00000007084
calidris_pugnax ENSCPUG00000015964
manacus_vitellinus ENSMVIG00005016190
manacus_vitellinus ENSMVIG00005016193
lepidothrix_coronata ENSLCOG00000005221
lonchura_striata_domestica ENSLSDG00000000976
taeniopygia_guttata ENSTGUG00000000589
cyanistes_caeruleus ENSCCEG00000006990
zonotrichia_albicollis ENSZALG00000009099
junco_hyemalis ENSJHYG00000014137
serinus_canaria ENSSCAG00000017283
ficedula_albicollis ENSFALG00000004929
cyanistes_caeruleus ENSCCEG00000007632
parus_major ENSPMJG00000009296
nothoprocta_perdicaria ENSNPEG00000010102
crocodylus_porosus ENSCPRG00005001218
gopherus_agassizii ENSGAGG00000012496
chelonoidis_abingdonii ENSCABG00000008740
chrysemys_picta_bellii ENSCPBG00000026946
pelodiscus_sinensis ENSPSIG00000003431
pogona_vitticeps ENSPVIG00000006981
pogona_vitticeps ENSPVIG00000004963
anolis_carolinensis ENSACAG00000016270
notechis_scutatus ENSNSUG00000008778
salvator_merianae ENSSMRG00000020557
sphenodon_punctatus ENSSPUG00000000976
latimeria_chalumnae ENSLACG00000016588
xenopus_tropicalis ENSXETG00000022780
sorex_araneus ENSSARG00000012167
petromyzon_marinus ENSPMAG00000005946
