latimeria_chalumnae ENSLACG00000009112
callorhinchus_milii ENSCMIG00000018863
xenopus_tropicalis ENSXETG00000006901
chelonoidis_abingdonii ENSCABG00000018596
gopherus_agassizii ENSGAGG00000013421
chrysemys_picta ENSCPBG00000014757
pelodiscus_sinensis ENSPSIG00000017529
gallus_gallus ENSGALG00000033460
meleagris_gallopavo ENSMGAG00000003509
coturnix_japonica ENSCJPG00005021433
numida_meleagris ENSNMEG00000001048
anser_brachyrhynchus ENSABRG00000022722
anas_platyrhynchos ENSAPLG00000008558
calidris_pygmaea ENSCPGG00000008016
calidris_pugnax ENSCPUG00000019975
melopsittacus_undulatus ENSMUNG00000013000
serinus_canaria ENSSCAG00000002183
ficedula_albicollis ENSFALG00000007966
zonotrichia_albicollis ENSZALG00000006115
junco_hyemalis ENSJHYG00000010707
lonchura_striata ENSLSDG00000009615
parus_major ENSPMJG00000010593
cyanistes_caeruleus ENSCCEG00000008248
lepidothrix_coronata ENSLCOG00000001027
manacus_vitellinus ENSMVIG00005014618
apteryx_rowi ENSARWG00000004584
apteryx_haastii ENSAHAG00000004437
nothoprocta_perdicaria ENSNPEG00000014736
dromaius_novaehollandiae ENSDNVG00000015925
sphenodon_punctatus ENSSPUG00000017581
phascolarctos_cinereus ENSPCIG00000009465
vombatus_ursinus ENSVURG00010002648
notamacropus_eugenii ENSMEUG00000011045
sarcophilus_harrisii ENSSHAG00000016602
monodelphis_domestica ENSMODG00000001335
pteropus_vampyrus ENSPVAG00000007692
myotis_lucifugus ENSMLUG00000003842
erinaceus_europaeus ENSEEUG00000013583
sorex_araneus ENSSARG00000007397
urocitellus_parryii ENSUPAG00010023019
ictidomys_tridecemlineatus ENSSTOG00000008110
marmota_marmota ENSMMMG00000020681
spermophilus_dauricus ENSSDAG00000004750
tupaia_belangeri ENSTBEG00000007014
capra_hircus ENSCHIG00000026421
ovis_aries ENSOARG00000011526
bos_mutus ENSBMUG00000015947
bos_taurus ENSBTAG00000010009
bison_bison ENSBBBG00000012733
tursiops_truncatus ENSTTRG00000000495
vicugna_pacos ENSVPAG00000004587
equus_asinus ENSEASG00005010481
ursus_maritimus ENSUMAG00000022711
ursus_americanus ENSUAMG00000013608
ailuropoda_melanoleuca ENSAMEG00000006712
mustela_putorius ENSMPUG00000003860
neovison_vison ENSNVIG00000017134
canis_lupus ENSCAFG00020002036
canis_lupus ENSCAFG00000013472
panthera_pardus ENSPPRG00000009653
panthera_tigris ENSPTIG00000020270
felis_catus ENSFCAG00000029341
canis_lupus ENSCAFG00020014883
oryctolagus_cuniculus ENSOCUG00000038278
mus_spicilegus ENSMSIG00000018533
mus_spretus MGP_SPRETEiJ_G0015629
mus_musculus ENSMUSG00000052428
mus_caroli MGP_CAROLIEiJ_G0014823
mus_pahari MGP_PahariEiJ_G0028060
rattus_norvegicus ENSRNOG00000003928
meriones_unguiculatus ENSMUGG00000013001
cricetulus_griseus ENSCGRG00015007837
cricetulus_griseus ENSCGRG00001024372
cricetulus_griseus ENSCGRG00000014124
mesocricetus_auratus ENSMAUG00000014853
peromyscus_maniculatus ENSPEMG00000008521
microtus_ochrogaster ENSMOCG00000000235
nannospalax_galili ENSNGAG00000011588
jaculus_jaculus ENSJJAG00000013455
dipodomys_ordii ENSDORG00000024383
heterocephalus_glaber ENSHGLG00000004945
heterocephalus_glaber ENSHGLG00100010877
heterocephalus_glaber ENSHGLG00000004555
heterocephalus_glaber ENSHGLG00100001524
heterocephalus_glaber ENSHGLG00000010695
heterocephalus_glaber ENSHGLG00100000528
fukomys_damarensis ENSFDAG00000020048
cavia_aperea ENSCAPG00000013988
cavia_porcellus ENSCPOG00000013728
chinchilla_lanigera ENSCLAG00000004923
octodon_degus ENSODEG00000006261
microcebus_murinus ENSMICG00000004363
prolemur_simus ENSPSMG00000004579
otolemur_garnettii ENSOGAG00000011784
propithecus_coquereli ENSPCOG00000025294
cebus_capucinus ENSCCAG00000026618
callithrix_jacchus ENSCJAG00000004561
saimiri_boliviensis ENSSBOG00000033156
aotus_nancymaae ENSANAG00000021952
pan_troglodytes ENSPTRG00000001618
pan_paniscus ENSPPAG00000033973
homo_sapiens ENSG00000143183
gorilla_gorilla ENSGGOG00000041829
pongo_abelii ENSPPYG00000000565
nomascus_leucogenys ENSNLEG00000014731
macaca_mulatta ENSMMUG00000005585
macaca_nemestrina ENSMNEG00000029465
macaca_fascicularis ENSMFAG00000002927
mandrillus_leucophaeus ENSMLEG00000043477
theropithecus_gelada ENSTGEG00000009158
cercocebus_atys ENSCATG00000032184
chlorocebus_sabaeus ENSCSAG00000010765
piliocolobus_tephrosceles ENSPTEG00000022101
castor_canadensis ENSCCNG00000001415
oryctolagus_cuniculus ENSOCUG00000008441
sus_scrofa ENSSSCG00000037314
dasypus_novemcinctus ENSDNOG00000007020
rhinopithecus_roxellana ENSRROG00000033909
rhinopithecus_bieti ENSRBIG00000027564
colobus_angolensis ENSCANG00000032280
papio_anubis ENSPANG00000032900
loxodonta_africana ENSLAFG00000015073
procavia_capensis ENSPCAG00000013050
echinops_telfairi ENSETEG00000009382
choloepus_hoffmanni ENSCHOG00000012997
ochotona_princeps ENSOPRG00000000543
pogona_vitticeps ENSPVIG00000010785
anolis_carolinensis ENSACAG00000013299
notechis_scutatus ENSNSUG00000017346
notechis_scutatus ENSNSUG00000016254
salvator_merianae ENSSMRG00000023507
erpetoichthys_calabaricus ENSECRG00000007651
pygocentrus_nattereri ENSPNAG00000004197
pygocentrus_nattereri ENSPNAG00000022723
astyanax_mexicanus ENSAMXG00005018770
electrophorus_electricus ENSEEEG00000006730
ictalurus_punctatus ENSIPUG00000002081
danio_rerio ENSDARG00000069099
clupea_harengus ENSCHAG00000021442
denticeps_clupeoides ENSDCDG00000007619
oryzias_melastigma ENSOMEG00000006976
oryzias_melastigma ENSOMEG00000001589
oryzias_latipes ENSORLG00020001353
oryzias_latipes ENSORLG00000025870
oryzias_latipes ENSORLG00015020223
gouania_willdenowi ENSGWIG00000004719
larimichthys_crocea ENSLCRG00005007273
gasterosteus_aculeatus ENSGACG00000003901
labrus_bergylta ENSLBEG00000000997
scophthalmus_maximus ENSSMAG00000003525
seriola_dumerili ENSSDUG00000022551
seriola_lalandi ENSSLDG00000019642
lates_calcarifer ENSLCAG00010007601
monopterus_albus ENSMALG00000014208
mastacembelus_armatus ENSMAMG00000007636
anabas_testudineus ENSATEG00000008593
betta_splendens ENSBSLG00000011961
takifugu_rubripes ENSTRUG00000025968
tetraodon_nigroviridis ENSTNIG00000007152
mola_mola ENSMMOG00000014440
amphiprion_ocellaris ENSAOCG00000024303
amphiprion_percula ENSAPEG00000023463
acanthochromis_polyacanthus ENSAPOG00000016041
stegastes_partitus ENSSPAG00000008377
parambassis_ranga ENSPRNG00000020065
fundulus_heteroclitus ENSFHEG00000014012
cyprinodon_variegatus ENSCVAG00000012493
xiphophorus_maculatus ENSXMAG00000006311
xiphophorus_couchianus ENSXCOG00000004390
gambusia_affinis ENSGAFG00000016391
poecilia_formosa ENSPFOG00000016184
poecilia_latipinna ENSPLAG00000017595
poecilia_mexicana ENSPMEG00000001779
poecilia_reticulata ENSPREG00000013552
kryptolebias_marmoratus ENSKMAG00000004276
maylandia_zebra ENSMZEG00005010913
astatotilapia_calliptera ENSACLG00000026955
haplochromis_burtoni ENSHBUG00000011037
pundamilia_nyererei ENSPNYG00000021786
neolamprologus_brichardi ENSNBRG00000016513
amphilophus_citrinellus ENSACIG00000015268
cynoglossus_semilaevis ENSCSEG00000000709
hippocampus_comes ENSHCOG00000006209
periophthalmus_magnuspinnatus ENSPMGG00000015571
hucho_hucho ENSHHUG00000008072
esox_lucius ENSELUG00000023886
gadus_morhua ENSGMOG00000007610
paramormyrops_kingsleyae ENSPKIG00000011236
scleropages_formosus ENSSFOG00015022384
lepisosteus_oculatus ENSLOCG00000006070
ornithorhynchus_anatinus ENSOANG00000005489
ciona_savignyi ENSCSAVG00000006766
ciona_intestinalis ENSCING00000007234
drosophila_melanogaster FBgn0032746
caenorhabditis_elegans WBGene00009045
