,ENSOCUT00000054082_ENSOCUG00000031325,ENSNGAT00000017065_ENSNGAG00000013645,ENSPPYT00000002963_ENSPPYG00000002470,ENSRROT00000020180_ENSRROG00000018216,ENSPTET00000033993_ENSPTEG00000024455,ENSMMUT00000018364_ENSMMUG00000013093,ENSPPYT00000034012_ENSPPYG00000029661,ENSCJAT00000096635_ENSCJAG00000053703,ENSACAT00000021154_ENSACAG00000020942
ENSOCUT00000054082_ENSOCUG00000031325,1.0,0.65,0.46,0.46,0.46,0.46,0.46,0.23,0.22
ENSNGAT00000017065_ENSNGAG00000013645,0.65,1.0,0.46,0.46,0.46,0.46,0.46,0.24,0.21
ENSPPYT00000002963_ENSPPYG00000002470,0.46,0.46,1.0,0.51,0.51,0.51,0.51,0.29,0.22
ENSRROT00000020180_ENSRROG00000018216,0.46,0.46,0.51,1.0,0.7,0.7,0.69,0.46,0.2
ENSPTET00000033993_ENSPTEG00000024455,0.46,0.46,0.51,0.7,1.0,0.69,0.69,0.46,0.2
ENSMMUT00000018364_ENSMMUG00000013093,0.46,0.46,0.51,0.7,0.69,1.0,0.69,0.46,0.2
ENSPPYT00000034012_ENSPPYG00000029661,0.46,0.46,0.51,0.69,0.69,0.69,1.0,0.46,0.21
ENSCJAT00000096635_ENSCJAG00000053703,0.23,0.24,0.29,0.46,0.46,0.46,0.46,1.0,0.28
ENSACAT00000021154_ENSACAG00000020942,0.22,0.21,0.22,0.2,0.2,0.2,0.21,0.28,1.0
