,ENSMMOT00000021417_ENSMMOG00000016019,ENSMMOT00000027643_ENSMMOG00000020557,ENSMMOT00000008951_ENSMMOG00000006800,ENSMMOT00000020266_ENSMMOG00000015135,ENSMAMT00000031546_ENSMAMG00000020719
ENSMMOT00000021417_ENSMMOG00000016019,1.0,0.34,0.58,0.51,0.44
ENSMMOT00000027643_ENSMMOG00000020557,0.34,1.0,0.22,0.17,0.16
ENSMMOT00000008951_ENSMMOG00000006800,0.58,0.22,1.0,0.73,0.56
ENSMMOT00000020266_ENSMMOG00000015135,0.51,0.17,0.73,1.0,0.54
ENSMAMT00000031546_ENSMAMG00000020719,0.44,0.16,0.56,0.54,1.0
