cyprinodon_variegatus ENSCVAG00000005657
fundulus_heteroclitus ENSFHEG00000002108
poecilia_formosa ENSPFOG00000012590
poecilia_mexicana ENSPMEG00000020949
poecilia_latipinna ENSPLAG00000019399
poecilia_reticulata ENSPREG00000013300
xiphophorus_maculatus ENSXMAG00000019302
xiphophorus_couchianus ENSXCOG00000008166
gambusia_affinis ENSGAFG00000008289
kryptolebias_marmoratus ENSKMAG00000007090
oryzias_latipes_asm223469v1 ENSORLG00015017938
oryzias_latipes_asm223467v1 ENSORLG00000014954
oryzias_latipes_asm223471v1 ENSORLG00020017828
oryzias_melastigma ENSOMEG00000019968
astatotilapia_calliptera ENSACLG00000003140
maylandia_zebra ENSMZEG00005025640
haplochromis_burtoni ENSHBUG00000021180
pundamilia_nyererei ENSPNYG00000006379
neolamprologus_brichardi ENSNBRG00000020335
oreochromis_niloticus ENSONIG00000010239
amphilophus_citrinellus ENSACIG00000017360
amphiprion_ocellaris ENSAOCG00000021256
amphiprion_percula ENSAPEG00000012955
acanthochromis_polyacanthus ENSAPOG00000023984
stegastes_partitus ENSSPAG00000003358
mastacembelus_armatus ENSMAMG00000009285
monopterus_albus ENSMALG00000021453
anabas_testudineus ENSATEG00000016033
scophthalmus_maximus ENSSMAG00000003518
cynoglossus_semilaevis ENSCSEG00000013974
seriola_lalandi_dorsalis ENSSLDG00000019057
seriola_dumerili ENSSDUG00000015240
labrus_bergylta ENSLBEG00000001394
gasterosteus_aculeatus ENSGACG00000015326
mola_mola ENSMMOG00000010545
mola_mola ENSMMOG00000010556
mola_mola ENSMMOG00000010553
takifugu_rubripes ENSTRUG00000020977
takifugu_rubripes ENSTRUG00000024948
tetraodon_nigroviridis ENSTNIG00000015334
tetraodon_nigroviridis ENSTNIG00000015333
cynoglossus_semilaevis ENSCSEG00000005841
cynoglossus_semilaevis ENSCSEG00000012842
periophthalmus_magnuspinnatus ENSPMGG00000003234
hippocampus_comes ENSHCOG00000001415
gadus_morhua ENSGMOG00000012258
esox_lucius ENSELUG00000001612
pygocentrus_nattereri ENSPNAG00000012017
astyanax_mexicanus ENSAMXG00000038979
ictalurus_punctatus ENSIPUG00000015806
ictalurus_punctatus ENSIPUG00000001466
ictalurus_punctatus ENSIPUG00000015842
danio_rerio ENSDARG00000052997
poecilia_formosa ENSPFOG00000023371
poecilia_formosa ENSPFOG00000007234
xiphophorus_maculatus ENSXMAG00000021643
poecilia_mexicana ENSPMEG00000000344
poecilia_reticulata ENSPREG00000005104
paramormyrops_kingsleyae ENSPKIG00000008134
