ENSBIXP00005018037	ENSBIXG00005021495	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036964	ENSBIXG00000020473	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000011600	ENSBTAG00000008807	Bos_taurus
ENSBMUP00000005143	ENSBMUG00000004031	Bos_mutus
ENSBBBP00000017824	ENSBBBG00000010384	Bison_bison_bison
ENSCHIP00000027265	ENSCHIG00000023260	Capra_hircus
ENSSSCP00000039947	ENSSSCG00000038786	Sus_scrofa_strain_reference
ENSECAP00000013592	ENSECAG00000016041	Equus_caballus
ENSEASP00005009527	ENSEASG00005006795	Equus_asinus_asinus
ENSMPUP00000000618	ENSMPUG00000000624	Mustela_putorius_furo
ENSUAMP00000029036	ENSUAMG00000022384	Ursus_americanus
ENSCAFP00000025024	ENSCAFG00000016997	Canis_lupus_familiaris
ENSCAFP00020011692	ENSCAFG00020009419	Canis_lupus_dingo
ENSFCAP00000048300	ENSFCAG00000046790	Felis_catus
ENSPPRP00000010430	ENSPPRG00000004585	Panthera_pardus
ENSPSMP00000004565	ENSPSMG00000003647	Prolemur_simus
ENSPCOP00000000085	ENSPCOG00000000106	Propithecus_coquereli
ENSMICP00000050113	ENSMICG00000007146	Microcebus_murinus
ENSCATP00000019582	ENSCATG00000033595	Cercocebus_atys
ENSTGEP00000027267	ENSTGEG00000022019	Theropithecus_gelada
ENSRROP00000017590	ENSRROG00000032880	Rhinopithecus_roxellana
ENSCCAP00000035954	ENSCCAG00000035888	Cebus_capucinus_imitator
ENSSBOP00000037848	ENSSBOG00000035005	Saimiri_boliviensis_boliviensis
ENSCJAP00000008268	ENSCJAG00000004563	Callithrix_jacchus
ENSANAP00000002445	ENSANAG00000018462	Aotus_nancymaae
ENSHGLP00100005464	ENSHGLG00100004150	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000008970	ENSHGLG00000006447	Heterocephalus_glaber_HetGla_female_1.0
ENSODEP00000022842	ENSODEG00000016765	Octodon_degus
ENSCLAP00000021848	ENSCLAG00000014965	Chinchilla_lanigera
ENSSTOP00000014374	ENSSTOG00000016061	Ictidomys_tridecemlineatus
ENSUPAP00010025556	ENSUPAG00010020202	Urocitellus_parryii
