Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.0000)   P(D|M,rr[2]=0.0000)   P(D|M,rr[3]=0.0000)   P(D|M,rr[4]=4.0000)   Posterior mean        
1      0.0180443       0.022951              0.022951              0.022951              0.00332438            0.184235              
2      0.000440771     4.10065e-11           4.10065e-11           3.20023e-09           0.00176308            3.99999               
3      0.000363198     1.45755e-11           1.45755e-11           1.1375e-09            0.00145279            3.99999               
4      1.49455e-06     2.01823e-20           2.01823e-20           6.56434e-18           5.97818e-06           4                     
5      0.0505255       0.057337              0.057337              0.057337              0.0300909             0.59556               
6      0.062157        0.062157              0.062157              0.062157              0.062157              1                     
7      1.7937e-07      6.7155e-21            6.7155e-21            8.02217e-19           7.17481e-07           4                     
8      1.08384e-06     7.88857e-19           7.88857e-19           2.21479e-18           4.33535e-06           4                     
9      3.52847e-05     8.37432e-13           8.37432e-13           6.53551e-11           0.000141139           3.99999               
10     0.0394366       0.04404               0.04404               0.04404               0.0256263             0.649811              
11     2.4535e-08      6.10079e-29           6.10079e-29           8.09618e-26           9.81401e-08           4                     
12     0.0523003       0.055941              0.055941              0.055941              0.0413784             0.791169              
13     0.0932218       0.099081              0.099081              0.099081              0.0756444             0.811445              
14     4.65242e-07     1.92065e-20           1.92065e-20           3.28106e-18           1.86097e-06           4                     
15     0.0534385       0.0646                0.0646                0.0645999             0.0199542             0.373405              
16     0.0505255       0.057337              0.057337              0.057337              0.0300909             0.59556               
17     0.00177443      2.2861e-10            2.2861e-10            1.78412e-08           0.0070977             3.99999               
18     0.000156626     2.03972e-11           2.03972e-11           1.59184e-09           0.000626504           3.99999               
19     0.000150093     4.94175e-12           4.94175e-12           3.85666e-10           0.000600372           3.99999               
20     0.000440771     4.10065e-11           4.10065e-11           3.20023e-09           0.00176308            3.99999               
21     0.000104941     3.04094e-12           3.04094e-12           2.37322e-10           0.000419763           3.99999               
22     1.70064e-05     5.98878e-19           5.98878e-19           1.34992e-16           6.80257e-05           4                     
23     0.0557946       0.069147              0.069147              0.0691469             0.0157374             0.28206               
24     0.00106042      1.43543e-10           1.43543e-10           1.12024e-08           0.00424167            3.99999               
25     0.0014339       2.28729e-10           2.28729e-10           1.78505e-08           0.00573559            3.99998               
26     0.000229261     3.96689e-12           3.96689e-12           3.09585e-10           0.000917045           4                     
27     0.084109        0.099081              0.099081              0.0990809             0.0391932             0.465981              
28     0.00127798      2.28729e-10           2.28729e-10           1.78505e-08           0.0051119             3.99998               
29     0.000559094     8.06254e-11           8.06254e-11           6.29217e-09           0.00223637            3.99999               
30     5.73556e-05     7.92455e-13           7.92455e-13           6.18454e-11           0.000229422           4                     
31     0.0487196       0.061197              0.061197              0.0611969             0.0112877             0.231688              
32     0.00162349      1.16657e-10           1.16657e-10           9.10419e-09           0.00649393            3.99999               
33     0.00226181      2.55276e-10           2.55276e-10           1.99223e-08           0.00904723            3.99999               
34     0.000363925     3.4239e-11            3.4239e-11            2.67208e-09           0.0014557             3.99999               
35     0.000123895     4.93638e-12           4.93638e-12           3.85246e-10           0.000495578           3.99999               
36     9.95011e-05     2.51447e-12           2.51447e-12           1.96234e-10           0.000398004           3.99999               
37     0.000123368     5.88805e-12           5.88805e-12           4.59516e-10           0.000493471           3.99999               
38     0.00226181      2.55276e-10           2.55276e-10           1.99223e-08           0.00904723            3.99999               
39     0.0487196       0.061197              0.061197              0.0611969             0.0112877             0.231688              
40     0.000125341     7.40775e-12           7.40775e-12           5.78116e-10           0.000501365           3.99999               
41     0.0496665       0.053052              0.053052              0.053052              0.0395099             0.795505              
42     0.0552976       0.061197              0.061197              0.061197              0.0375993             0.679945              
43     0.0932218       0.099081              0.099081              0.099081              0.0756444             0.811445              
44     4.61113e-05     9.36617e-11           9.36617e-11           1.68807e-10           0.000184445           3.99999               
45     3.01555e-06     1.24762e-12           1.24762e-12           9.90389e-12           1.20622e-05           3.99999               
46     0.0550617       0.057337              0.057337              0.057337              0.0482357             0.87603               
47     2.00973e-06     5.0097e-12            5.0097e-12            7.43696e-12           8.03892e-06           3.99999               
48     0.000108165     9.36617e-11           9.36617e-11           4.15928e-10           0.000432659           3.99999               
49     6.11241e-06     1.43185e-11           1.43185e-11           2.55761e-11           2.44496e-05           3.99999               
50     0.0729248       0.079066              0.079066              0.079066              0.0545014             0.747364              
51     2.79165e-05     1.32225e-11           1.32225e-11           1.04963e-10           0.000111666           3.99999               
52     0.0729248       0.079066              0.079066              0.079066              0.0545014             0.747364              
53     0.0729248       0.079066              0.079066              0.079066              0.0545014             0.747364              
54     0.0546266       0.055941              0.055941              0.055941              0.0506836             0.927818              
55     0.0515674       0.053287              0.053287              0.053287              0.0464087             0.899962              
56     0.0565464       0.057337              0.057337              0.057337              0.0541747             0.958057              
57     0.084109        0.099081              0.099081              0.0990809             0.0391932             0.465981              
58     2.84497e-05     6.10535e-11           6.10535e-11           3.48886e-10           0.000113798           3.99998               
59     1.0321e-07      1.12373e-21           1.12373e-21           2.52225e-19           4.12841e-07           4                     
60     0.000275654     1.43185e-11           1.43185e-11           1.11744e-09           0.00110262            3.99999               
61     6.73923e-06     8.1924e-12            8.1924e-12            3.63804e-11           2.69569e-05           3.99999               
62     4.35985e-05     1.0708e-12            1.0708e-12            8.35676e-11           0.000174394           3.99999               
63     1.1866e-08      2.85934e-28           2.85934e-28           1.55731e-25           4.74639e-08           4                     
64     3.77743e-09     1.57217e-29           1.57217e-29           1.26182e-26           1.51097e-08           4                     
65     3.05245e-06     2.60767e-19           2.60767e-19           3.02111e-17           1.22098e-05           4                     
66     2.63534e-07     2.68184e-21           2.68184e-21           9.29434e-19           1.05413e-06           4                     
67     4.03499e-07     1.14021e-21           1.14021e-21           7.06379e-19           1.614e-06             4                     
68     0.0487196       0.061197              0.061197              0.0611969             0.0112877             0.231688              
69     0.000654807     8.51764e-11           8.51764e-11           6.64734e-09           0.00261922            3.99999               
70     0.000106735     2.99089e-12           2.99089e-12           2.33416e-10           0.000426939           3.99999               
71     0.000260828     3.0346e-11            3.0346e-11            2.36827e-09           0.00104331            3.99999               
72     0.000325582     2.92576e-11           2.92576e-11           2.28332e-09           0.00130232            3.99999               
73     0.022951        0.022951              0.022951              0.022951              0.022951              1                     
74     0.022355        0.022355              0.022355              0.022355              0.022355              1                     
75     0.055941        0.055941              0.055941              0.055941              0.055941              1                     
76     0.061197        0.061197              0.061197              0.061197              0.061197              1                     
77     0.0557946       0.069147              0.069147              0.0691469             0.0157374             0.28206               
78     0.0356167       0.042302              0.042302              0.042302              0.0155608             0.436896              
79     6.27646e-05     2.57823e-12           2.57823e-12           2.01211e-10           0.000251058           3.99999               
80     0.000280253     1.01404e-11           1.01404e-11           7.91378e-10           0.00112101            3.99999               
81     0.0014339       2.28729e-10           2.28729e-10           1.78505e-08           0.00573559            3.99998               
82     0.000872358     1.13044e-10           1.13044e-10           8.82216e-09           0.00348942            3.99999               
