spermophilus_dauricus ENSSDAG00000001459
marmota_marmota ENSMMMG00000000443
ictidomys_tridecemlineatus ENSSTOG00000005544
urocitellus_parryii ENSUPAG00010013723
dipodomys_ordii ENSDORG00000029557
cricetulus_griseus ENSCGRG00001018843
cricetulus_griseus ENSCGRG00015009780
cricetulus_griseus ENSCGRG00000017457
mesocricetus_auratus ENSMAUG00000007918
peromyscus_maniculatus ENSPEMG00000028783
microtus_ochrogaster ENSMOCG00000010934
mus_spicilegus ENSMSIG00000017520
mus_musculus ENSMUSG00000075370
mus_spretus MGP_SPRETEiJ_G0021391
mus_caroli MGP_CAROLIEiJ_G0020496
mus_pahari MGP_PahariEiJ_G0016201
rattus_norvegicus ENSRNOG00000025990
meriones_unguiculatus ENSMUGG00000009673
nannospalax_galili ENSNGAG00000012165
jaculus_jaculus ENSJJAG00000012207
castor_canadensis ENSCCNG00000022930
urocitellus_parryii ENSUPAG00010004770
fukomys_damarensis ENSFDAG00000011017
oryctolagus_cuniculus ENSOCUG00000021383
oryctolagus_cuniculus ENSOCUG00000001361
sarcophilus_harrisii ENSSHAG00000001099
