,ENSCATT00000046838_ENSCATG00000034942,ENSRROT00000058471_ENSRROG00000040584,ENSRBIT00000060256_ENSRBIG00000041743,ENSPTRT00000088299_ENSPTRG00000044590,ENSPPAT00000052886_ENSPPAG00000038028,ENSGGOT00000028897_ENSGGOG00000026609
ENSCATT00000046838_ENSCATG00000034942,1.0,0.78,0.78,0.53,0.74,0.74
ENSRROT00000058471_ENSRROG00000040584,0.78,1.0,0.9,0.58,0.84,0.84
ENSRBIT00000060256_ENSRBIG00000041743,0.78,0.9,1.0,0.58,0.84,0.84
ENSPTRT00000088299_ENSPTRG00000044590,0.53,0.58,0.58,1.0,0.63,0.64
ENSPPAT00000052886_ENSPPAG00000038028,0.74,0.84,0.84,0.63,1.0,0.89
ENSGGOT00000028897_ENSGGOG00000026609,0.74,0.84,0.84,0.64,0.89,1.0
