gopherus_agassizii ENSGAGG00000005272
chelonoidis_abingdonii ENSCABG00000021675
chrysemys_picta_bellii ENSCPBG00000009246
pelodiscus_sinensis ENSPSIG00000005745
pogona_vitticeps ENSPVIG00000019892
anolis_carolinensis ENSACAG00000003892
salvator_merianae ENSSMRG00000011220
xenopus_tropicalis ENSXETG00000017676
latimeria_chalumnae ENSLACG00000002039
choloepus_hoffmanni ENSCHOG00000009231
echinops_telfairi ENSETEG00000015744
ovis_aries ENSOARG00000009686
capra_hircus ENSCHIG00000026815
bos_taurus ENSBTAG00000013210
bos_mutus ENSBMUG00000000200
bison_bison_bison ENSBBBG00000013591
tursiops_truncatus ENSTTRG00000009212
sus_scrofa ENSSSCG00000006359
equus_asinus_asinus ENSEASG00005012311
equus_caballus ENSECAG00000024172
myotis_lucifugus ENSMLUG00000004565
pteropus_vampyrus ENSPVAG00000005530
ursus_americanus ENSUAMG00000025484
ursus_maritimus ENSUMAG00000023953
ailuropoda_melanoleuca ENSAMEG00000015492
mustela_putorius_furo ENSMPUG00000014274
neovison_vison ENSNVIG00000001903
panthera_pardus ENSPPRG00000008003
panthera_tigris_altaica ENSPTIG00000016446
felis_catus ENSFCAG00000000494
canis_lupus_familiaris ENSCAFG00000012836
canis_lupus_dingo ENSCAFG00020000929
vulpes_vulpes ENSVVUG00000015803
erinaceus_europaeus ENSEEUG00000004183
castor_canadensis ENSCCNG00000013660
dipodomys_ordii ENSDORG00000001696
mus_spicilegus ENSMSIG00000024408
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015665
mus_musculus ENSMUSG00000006403
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014860
mus_pahari MGP_PahariEiJ_G0028098
rattus_norvegicus ENSRNOG00000003538
meriones_unguiculatus ENSMUGG00000016560
cricetulus_griseus_crigri ENSCGRG00000001991
cricetulus_griseus_chok1gshd ENSCGRG00001018923
cricetulus_griseus_crigri-picr ENSCGRG00015017672
mesocricetus_auratus ENSMAUG00000015552
microtus_ochrogaster ENSMOCG00000012578
peromyscus_maniculatus_bairdii ENSPEMG00000005412
nannospalax_galili ENSNGAG00000001554
jaculus_jaculus ENSJJAG00000000117
urocitellus_parryii ENSUPAG00010005048
ictidomys_tridecemlineatus ENSSTOG00000006479
marmota_marmota_marmota ENSMMMG00000022019
spermophilus_dauricus ENSSDAG00000012528
chinchilla_lanigera ENSCLAG00000011931
octodon_degus ENSODEG00000011124
cavia_porcellus ENSCPOG00000014372
cavia_aperea ENSCAPG00000016571
heterocephalus_glaber_male ENSHGLG00100005860
heterocephalus_glaber_female ENSHGLG00000009213
fukomys_damarensis ENSFDAG00000011610
oryctolagus_cuniculus ENSOCUG00000013498
ochotona_princeps ENSOPRG00000003330
tupaia_belangeri ENSTBEG00000016945
pan_troglodytes ENSPTRG00000001576
pan_paniscus ENSPPAG00000043410
gorilla_gorilla ENSGGOG00000007720
homo_sapiens ENSG00000158859
pongo_abelii ENSPPYG00000000606
nomascus_leucogenys ENSNLEG00000014124
colobus_angolensis_palliatus ENSCANG00000029744
piliocolobus_tephrosceles ENSPTEG00000022820
rhinopithecus_roxellana ENSRROG00000030904
rhinopithecus_bieti ENSRBIG00000034459
macaca_fascicularis ENSMFAG00000000375
macaca_nemestrina ENSMNEG00000044548
macaca_mulatta ENSMMUG00000042155
cercocebus_atys ENSCATG00000025919
theropithecus_gelada ENSTGEG00000007137
papio_anubis ENSPANG00000000680
chlorocebus_sabaeus ENSCSAG00000002664
mandrillus_leucophaeus ENSMLEG00000016997
cebus_capucinus ENSCCAG00000034751
saimiri_boliviensis_boliviensis ENSSBOG00000027750
callithrix_jacchus ENSCJAG00000005115
aotus_nancymaae ENSANAG00000027139
carlito_syrichta ENSTSYG00000035359
microcebus_murinus ENSMICG00000034309
propithecus_coquereli ENSPCOG00000028059
prolemur_simus ENSPSMG00000020931
otolemur_garnettii ENSOGAG00000013712
dasypus_novemcinctus ENSDNOG00000040492
loxodonta_africana ENSLAFG00000006434
procavia_capensis ENSPCAG00000013652
ornithorhynchus_anatinus ENSOANG00000013601
phascolarctos_cinereus ENSPCIG00000020374
notamacropus_eugenii ENSMEUG00000001625
monodelphis_domestica ENSMODG00000005192
sarcophilus_harrisii ENSSHAG00000016573
ornithorhynchus_anatinus ENSOANG00000008861
ornithorhynchus_anatinus ENSOANG00000014127
apteryx_rowi ENSARWG00000012736
apteryx_haastii ENSAHAG00000003048
apteryx_owenii ENSAOWG00000002156
dromaius_novaehollandiae ENSDNVG00000008730
nothoprocta_perdicaria ENSNPEG00000004401
anser_brachyrhynchus ENSABRG00000006872
anas_platyrhynchos_platyrhynchos ENSAPLG00000017351
gallus_gallus ENSGALG00000030502
coturnix_japonica ENSCJPG00005006718
numida_meleagris ENSNMEG00000007128
melopsittacus_undulatus ENSMUNG00000003854
calidris_pugnax ENSCPUG00000008393
calidris_pygmaea ENSCPGG00000001536
eptatretus_burgeri ENSEBUG00000010312
