monodelphis_domestica ENSMODG00000025341
sarcophilus_harrisii ENSSHAG00000012676
phascolarctos_cinereus ENSPCIG00000022802
notamacropus_eugenii ENSMEUG00000008919
pteropus_vampyrus ENSPVAG00000001194
myotis_lucifugus ENSMLUG00000022512
equus_caballus ENSECAG00000022098
equus_asinus ENSEASG00005000979
bos_taurus ENSBTAG00000009507
bos_indicus ENSBIXG00000011929
bos_indicus ENSBIXG00005029790
bos_mutus ENSBMUG00000016190
bison_bison ENSBBBG00000020942
capra_hircus ENSCHIG00000006843
sus_scrofa ENSSSCG00000038492
tursiops_truncatus ENSTTRG00000017367
vicugna_pacos ENSVPAG00000011922
erinaceus_europaeus ENSEEUG00000005110
ursus_maritimus ENSUMAG00000020587
ursus_americanus ENSUAMG00000010135
ailuropoda_melanoleuca ENSAMEG00000019957
mustela_putorius ENSMPUG00000019592
neovison_vison ENSNVIG00000022242
canis_lupus ENSCAFG00020000836
vulpes_vulpes ENSVVUG00000002493
panthera_pardus ENSPPRG00000021140
panthera_tigris ENSPTIG00000004878
felis_catus ENSFCAG00000027697
mus_musculus ENSMUSG00000049687
mus_spretus MGP_SPRETEiJ_G0020981
mus_spicilegus ENSMSIG00000009128
mus_caroli MGP_CAROLIEiJ_G0020081
mus_pahari MGP_PahariEiJ_G0020083
rattus_norvegicus ENSRNOG00000042522
meriones_unguiculatus ENSMUGG00000018001
peromyscus_maniculatus ENSPEMG00000020356
microtus_ochrogaster ENSMOCG00000006143
cricetulus_griseus ENSCGRG00000019156
cricetulus_griseus ENSCGRG00001009774
cricetulus_griseus ENSCGRG00015006566
mesocricetus_auratus ENSMAUG00000012084
nannospalax_galili ENSNGAG00000020894
jaculus_jaculus ENSJJAG00000005475
chinchilla_lanigera ENSCLAG00000017176
octodon_degus ENSODEG00000020107
cavia_porcellus ENSCPOG00000037974
cavia_aperea ENSCAPG00000012838
heterocephalus_glaber ENSHGLG00000007647
heterocephalus_glaber ENSHGLG00100007720
fukomys_damarensis ENSFDAG00000003575
castor_canadensis ENSCCNG00000029051
dipodomys_ordii ENSDORG00000024472
urocitellus_parryii ENSUPAG00010019463
oryctolagus_cuniculus ENSOCUG00000001305
prolemur_simus ENSPSMG00000000031
otolemur_garnettii ENSOGAG00000025089
pan_troglodytes ENSPTRG00000049204
pan_paniscus ENSPPAG00000000902
homo_sapiens ENSG00000177096
gorilla_gorilla ENSGGOG00000037366
pongo_abelii ENSPPYG00000011889
nomascus_leucogenys ENSNLEG00000015809
theropithecus_gelada ENSTGEG00000006654
chlorocebus_sabaeus ENSCSAG00000019284
macaca_mulatta ENSMMUG00000013062
piliocolobus_tephrosceles ENSPTEG00000025213
callithrix_jacchus ENSCJAG00000002334
loxodonta_africana ENSLAFG00000006869
procavia_capensis ENSPCAG00000004541
echinops_telfairi ENSETEG00000013700
dasypus_novemcinctus ENSDNOG00000040465
ornithorhynchus_anatinus ENSOANG00000004241
apteryx_owenii ENSAOWG00000012278
apteryx_haastii ENSAHAG00000010348
apteryx_rowi ENSARWG00000016007
dromaius_novaehollandiae ENSDNVG00000003729
nothoprocta_perdicaria ENSNPEG00000010197
serinus_canaria ENSSCAG00000005903
lonchura_striata ENSLSDG00000002376
junco_hyemalis ENSJHYG00000000172
parus_major ENSPMJG00000003144
cyanistes_caeruleus ENSCCEG00000000345
ficedula_albicollis ENSFALG00000015178
lepidothrix_coronata ENSLCOG00000006570
calidris_pugnax ENSCPUG00000000784
calidris_pygmaea ENSCPGG00000005228
melopsittacus_undulatus ENSMUNG00000014556
meleagris_gallopavo ENSMGAG00000015714
gallus_gallus ENSGALG00000011898
coturnix_japonica ENSCJPG00005009086
numida_meleagris ENSNMEG00000011272
anas_platyrhynchos ENSAPLG00000028764
chelonoidis_abingdonii ENSCABG00000022845
gopherus_agassizii ENSGAGG00000005330
chrysemys_picta ENSCPBG00000020508
pelodiscus_sinensis ENSPSIG00000000642
pogona_vitticeps ENSPVIG00000024837
anolis_carolinensis ENSACAG00000003936
notechis_scutatus ENSNSUG00000003562
salvator_merianae ENSSMRG00000014763
