,ENSMMOT00000002841,ENSMMOT00000002840,ENSELUT00000002354,ENSCHAT00000061396,ENSSDUT00000007473,ENSHHUT00000028037,ENSLCAT00010038096,ENSLCAT00010038098,ENSTRUT00000042298,ENSCHAT00000061410,ENSCGOT00000054807,ENSCGOT00000054804,ENSMALT00000022013,ENSLCAT00010038100,ENSSDUT00000007360,ENSELUT00000002367,ENSCSET00000013899,ENSSMAT00000000714,ENSSDUT00000007396,ENSHHUT00000016020,ENSMAMT00000015545
ENSMMOT00000002841,1.0,1.0,0.6594035301278149,0.6188857205527528,0.8583024779265167,0.7886178861788617,0.8560551644878609,0.8560551644878609,0.8373422243391284,0.6188857205527528,0.8457253296953161,0.845285600273629,0.8468664061369229,0.8597824815811016,0.0,0.6594035301278149,0.7925704313138868,0.8343188664509651,0.0,0.7711442786069652,0.8444444444444444
ENSMMOT00000002840,1.0,1.0,0.604283587217959,0.5568418856904463,0.8378953208803402,0.7886178861788617,0.8143359718557608,0.8216860787576262,0.8294353275617005,0.5568418856904463,0.8045097011012061,0.8084846012645319,0.7982000371126369,0.8436762460086076,0.0,0.604283587217959,0.7794741306191688,0.8021638330757341,0.0,0.7711442786069652,0.845718901453958
ENSELUT00000002354,0.6594035301278149,0.604283587217959,1.0,0.648297511571422,0.6276179516685846,0.8912776412776413,0.6173434273916035,0.6173434273916035,0.6205109621308208,0.648297511571422,0.6138114997036159,0.6138114997036159,0.6032809842952885,0.6676125848241826,0.6234704112337011,1.0,0.6328205128205128,0.5944656488549618,0.6234704112337011,0.8535523451415001,0.6400916380297823
ENSCHAT00000061396,0.6188857205527528,0.5568418856904463,0.648297511571422,1.0,0.5731681713205963,0.8081073199183435,0.5565199205270313,0.5565199205270313,0.5855302938686661,1.0,0.5577098957380647,0.5577098957380647,0.5245432736667281,0.6245024325519681,0.5980343492504716,0.6693462469733656,0.5980813655030801,0.5646575129935614,0.5959590792838875,0.7172930885321542,0.5935965848452508
ENSSDUT00000007473,0.8583024779265167,0.8378953208803402,0.6276179516685846,0.5731681713205963,1.0,0.7495934959349594,0.9119611970348678,0.9117916743077206,0.8060472929319034,0.5731681713205963,0.8641423072922084,0.8675637393767706,0.8549527219315156,0.9193964931357891,0.0,0.6276179516685846,0.8162399014103793,0.8679501084598699,0.0,0.7557213930348259,0.889169100079639
ENSHHUT00000028037,0.7886178861788617,0.7886178861788617,0.8912776412776413,0.8081073199183435,0.7495934959349594,1.0,0.7544715447154472,0.7544715447154472,0.7719028588994774,0.8081073199183435,0.7821138211382114,0.7821138211382114,0.7582655826558266,0.7544715447154472,0.0,0.8634146341463415,0.7331693821088227,0.7788617886178861,0.0,0.994159237626806,0.7609756097560976
ENSLCAT00010038096,0.8560551644878609,0.8143359718557608,0.6173434273916035,0.5565199205270313,0.9119611970348678,0.7544715447154472,1.0,1.0,0.8063681076883251,0.5565199205270313,0.863932898415657,0.8666398066075746,0.8596331112530802,1.0,0.0,0.6173434273916035,0.8193814432989691,0.8711711711711712,0.0,0.7601990049751244,0.906864064602961
ENSLCAT00010038098,0.8560551644878609,0.8216860787576262,0.6173434273916035,0.5565199205270313,0.9117916743077206,0.7544715447154472,1.0,1.0,0.8063681076883251,0.5565199205270313,0.863932898415657,0.8666398066075746,0.8597293343087052,1.0,0.0,0.6173434273916035,0.8193814432989691,0.870926978969221,0.0,0.7601990049751244,0.906864064602961
ENSTRUT00000042298,0.8373422243391284,0.8294353275617005,0.6205109621308208,0.5855302938686661,0.8060472929319034,0.7719028588994774,0.8063681076883251,0.8063681076883251,1.0,0.5855302938686661,0.8059080729444386,0.8059080729444386,0.7927730316324174,0.8340234236365788,0.7846049508307901,0.6436833239752948,0.756901203819012,0.8155776071896649,0.7829363570366785,0.7082085080886759,0.8078360321594383
ENSCHAT00000061410,0.6188857205527528,0.5568418856904463,0.648297511571422,1.0,0.5731681713205963,0.8081073199183435,0.5565199205270313,0.5565199205270313,0.5855302938686661,1.0,0.5577098957380647,0.5577098957380647,0.5245432736667281,0.6245024325519681,0.5980343492504716,0.6693462469733656,0.5886008992330072,0.5646575129935614,0.5959590792838875,0.7172930885321542,0.5935965848452508
ENSCGOT00000054807,0.8457253296953161,0.8045097011012061,0.6138114997036159,0.5577098957380647,0.8641423072922084,0.7821138211382114,0.863932898415657,0.863932898415657,0.8059080729444386,0.5577098957380647,1.0,1.0,0.8451244813278008,0.8830390233267931,0.0,0.6138114997036159,0.792340126493324,0.8266366470384482,0.0,0.7855721393034826,0.8754570875457087
ENSCGOT00000054804,0.845285600273629,0.8084846012645319,0.6138114997036159,0.5577098957380647,0.8675637393767706,0.7821138211382114,0.8666398066075746,0.8666398066075746,0.8059080729444386,0.5577098957380647,1.0,1.0,0.8490566037735849,0.8830390233267931,0.0,0.6138114997036159,0.792340126493324,0.8288539553752535,0.0,0.7855721393034826,0.8751213199611776
ENSMALT00000022013,0.8468664061369229,0.7982000371126369,0.6032809842952885,0.5245432736667281,0.8549527219315156,0.7582655826558266,0.8596331112530802,0.8597293343087052,0.7927730316324174,0.5245432736667281,0.8451244813278008,0.8490566037735849,1.0,0.8818479149632052,0.0,0.6144757972011929,0.7919767881922544,0.8092978364031207,0.0,0.6753407682775713,0.9115237575095576
ENSLCAT00010038100,0.8597824815811016,0.8436762460086076,0.6676125848241826,0.6245024325519681,0.9193964931357891,0.7544715447154472,1.0,1.0,0.8340234236365788,0.6245024325519681,0.8830390233267931,0.8830390233267931,0.8818479149632052,1.0,0.0,0.662411864818867,0.8217191368942341,0.9007846931097495,0.0,0.7601990049751244,0.9092083626967348
ENSSDUT00000007360,0.0,0.0,0.6234704112337011,0.5980343492504716,0.0,0.0,0.0,0.0,0.7846049508307901,0.5980343492504716,0.0,0.0,0.0,0.0,1.0,0.0,0.7968831530246634,0.0,1.0,0.639933628318584,0.0
ENSELUT00000002367,0.6594035301278149,0.604283587217959,1.0,0.6693462469733656,0.6276179516685846,0.8634146341463415,0.6173434273916035,0.6173434273916035,0.6436833239752948,0.6693462469733656,0.6138114997036159,0.6138114997036159,0.6144757972011929,0.662411864818867,0.0,1.0,0.6704909943251912,0.626160837779095,0.0,0.8631840796019901,0.6400916380297823
ENSCSET00000013899,0.7925704313138868,0.7794741306191688,0.6328205128205128,0.5980813655030801,0.8162399014103793,0.7331693821088227,0.8193814432989691,0.8193814432989691,0.756901203819012,0.5886008992330072,0.792340126493324,0.792340126493324,0.7919767881922544,0.8217191368942341,0.7968831530246634,0.6704909943251912,1.0,0.8024751510426817,0.7968831530246634,0.6737612999198993,0.8118436036947995
