petromyzon_marinus ENSPMAG00000007527
eptatretus_burgeri ENSEBUG00000015475
monopterus_albus ENSMALG00000015522
anabas_testudineus ENSATEG00000012715
seriola_dumerili ENSSDUG00000005427
mastacembelus_armatus ENSMAMG00000001467
tetraodon_nigroviridis ENSTNIG00000015561
takifugu_rubripes ENSTRUG00000017429
mola_mola ENSMMOG00000008913
gasterosteus_aculeatus ENSGACG00000009086
amphiprion_ocellaris ENSAOCG00000021660
amphiprion_percula ENSAPEG00000002205
acanthochromis_polyacanthus ENSAPOG00000007272
stegastes_partitus ENSSPAG00000011990
pundamilia_nyererei ENSPNYG00000021304
haplochromis_burtoni ENSHBUG00000006366
maylandia_zebra ENSMZEG00005017603
astatotilapia_calliptera ENSACLG00000026496
neolamprologus_brichardi ENSNBRG00000023324
oreochromis_niloticus ENSONIG00000002568
neolamprologus_brichardi ENSNBRG00000023309
cyprinodon_variegatus ENSCVAG00000014273
fundulus_heteroclitus ENSFHEG00000003205
poecilia_formosa ENSPFOG00000023109
poecilia_latipinna ENSPLAG00000020162
poecilia_mexicana ENSPMEG00000018199
poecilia_reticulata ENSPREG00000006946
xiphophorus_maculatus ENSXMAG00000005783
xiphophorus_couchianus ENSXCOG00000003439
gambusia_affinis ENSGAFG00000015587
kryptolebias_marmoratus ENSKMAG00000008839
oryzias_latipes_asm223467v1 ENSORLG00000007296
oryzias_latipes_asm223471v1 ENSORLG00020017354
oryzias_latipes_asm223469v1 ENSORLG00015013183
oryzias_melastigma ENSOMEG00000021498
hippocampus_comes ENSHCOG00000010716
hippocampus_comes ENSHCOG00000010732
labrus_bergylta ENSLBEG00000025068
scophthalmus_maximus ENSSMAG00000001264
cynoglossus_semilaevis ENSCSEG00000015515
periophthalmus_magnuspinnatus ENSPMGG00000004500
gadus_morhua ENSGMOG00000005778
esox_lucius ENSELUG00000005171
astyanax_mexicanus ENSAMXG00000001091
pygocentrus_nattereri ENSPNAG00000016009
ictalurus_punctatus ENSIPUG00000023452
danio_rerio ENSDARG00000078752
scleropages_formosus ENSSFOG00015016593
paramormyrops_kingsleyae ENSPKIG00000023990
paramormyrops_kingsleyae ENSPKIG00000022521
scleropages_formosus ENSSFOG00015014662
lepisosteus_oculatus ENSLOCG00000008501
xenopus_tropicalis ENSXETG00000030994
drosophila_melanogaster FBgn0030055
