,ENSPSMT00000004990_ENSPSMG00000003306,ENSPCOT00000035729_ENSPCOG00000024740,ENSMICT00000030212_ENSMICG00000017103,ENSMICT00000027274_ENSMICG00000017103,ENSOGAT00000016908_ENSOGAG00000016903,ENSPTRT00000021898_ENSPTRG00000011757,ENSPPAT00000034727_ENSPPAG00000029219,ENSGGOT00000057563_ENSGGOG00000011657,ENSGGOT00000011700_ENSGGOG00000011657
ENSPSMT00000004990_ENSPSMG00000003306,1.0,0.97,0.97,0.95,0.95,0.94,0.94,0.8,0.94
ENSPCOT00000035729_ENSPCOG00000024740,0.97,1.0,0.97,0.95,0.94,0.94,0.94,0.8,0.94
ENSMICT00000030212_ENSMICG00000017103,0.97,0.97,1.0,0.98,0.95,0.94,0.94,0.81,0.94
ENSMICT00000027274_ENSMICG00000017103,0.95,0.95,0.98,1.0,0.93,0.92,0.92,0.79,0.92
ENSOGAT00000016908_ENSOGAG00000016903,0.95,0.94,0.95,0.93,1.0,0.93,0.93,0.79,0.93
ENSPTRT00000021898_ENSPTRG00000011757,0.94,0.94,0.94,0.92,0.93,1.0,1.0,0.86,1.0
ENSPPAT00000034727_ENSPPAG00000029219,0.94,0.94,0.94,0.92,0.93,1.0,1.0,0.86,1.0
ENSGGOT00000057563_ENSGGOG00000011657,0.8,0.8,0.81,0.79,0.79,0.86,0.86,1.0,0.86
ENSGGOT00000011700_ENSGGOG00000011657,0.94,0.94,0.94,0.92,0.93,1.0,1.0,0.86,1.0
