myotis_lucifugus ENSMLUG00000017246
pteropus_vampyrus ENSPVAG00000001271
ovis_aries ENSOARG00000004634
capra_hircus ENSCHIG00000008919
bos_mutus ENSBMUG00000017617
bos_mutus ENSBMUG00000002588
bos_taurus ENSBTAG00000004197
bison_bison ENSBBBG00000017539
sus_scrofa ENSSSCG00000009798
equus_asinus ENSEASG00005012416
equus_caballus ENSECAG00000001418
ailuropoda_melanoleuca ENSAMEG00000019600
ursus_americanus ENSUAMG00000008694
mustela_putorius ENSMPUG00000019397
neovison_vison ENSNVIG00000018311
canis_lupus ENSCAFG00020016536
canis_lupus ENSCAFG00000007938
vulpes_vulpes ENSVVUG00000016873
felis_catus ENSFCAG00000012111
panthera_tigris ENSPTIG00000014827
pan_troglodytes ENSPTRG00000005575
pan_paniscus ENSPPAG00000039397
gorilla_gorilla ENSGGOG00000017104
homo_sapiens ENSG00000176383
pongo_abelii ENSPPYG00000005064
nomascus_leucogenys ENSNLEG00000001452
cercocebus_atys ENSCATG00000034342
papio_anubis ENSPANG00000011474
theropithecus_gelada ENSTGEG00000025366
macaca_fascicularis ENSMFAG00000032438
macaca_mulatta ENSMMUG00000012654
macaca_nemestrina ENSMNEG00000007858
chlorocebus_sabaeus ENSCSAG00000002141
rhinopithecus_bieti ENSRBIG00000027816
rhinopithecus_roxellana ENSRROG00000043829
colobus_angolensis ENSCANG00000032873
piliocolobus_tephrosceles ENSPTEG00000011126
saimiri_boliviensis ENSSBOG00000030128
cebus_capucinus ENSCCAG00000025854
callithrix_jacchus ENSCJAG00000020365
aotus_nancymaae ENSANAG00000029213
carlito_syrichta ENSTSYG00000002357
propithecus_coquereli ENSPCOG00000022351
prolemur_simus ENSPSMG00000017719
microcebus_murinus ENSMICG00000001169
otolemur_garnettii ENSOGAG00000032299
mus_spretus MGP_SPRETEiJ_G0028727
mus_spicilegus ENSMSIG00000030946
mus_musculus ENSMUSG00000029431
mus_caroli MGP_CAROLIEiJ_G0027729
mus_pahari MGP_PahariEiJ_G0024308
rattus_norvegicus ENSRNOG00000008544
meriones_unguiculatus ENSMUGG00000015525
cricetulus_griseus ENSCGRG00000019853
cricetulus_griseus ENSCGRG00015025398
cricetulus_griseus ENSCGRG00001010882
mesocricetus_auratus ENSMAUG00000009564
peromyscus_maniculatus ENSPEMG00000007077
nannospalax_galili ENSNGAG00000023814
jaculus_jaculus ENSJJAG00000019585
castor_canadensis ENSCCNG00000030684
ictidomys_tridecemlineatus ENSSTOG00000014926
marmota_marmota ENSMMMG00000000780
heterocephalus_glaber ENSHGLG00100021269
heterocephalus_glaber ENSHGLG00000021305
dasypus_novemcinctus ENSDNOG00000002641
loxodonta_africana ENSLAFG00000016451
echinops_telfairi ENSETEG00000017704
phascolarctos_cinereus ENSPCIG00000028623
sarcophilus_harrisii ENSSHAG00000009018
monodelphis_domestica ENSMODG00000012186
ornithorhynchus_anatinus ENSOANG00000006207
lepisosteus_oculatus ENSLOCG00000001537
scleropages_formosus ENSSFOG00015020019
anolis_carolinensis ENSACAG00000024053
pogona_vitticeps ENSPVIG00000012803
salvator_merianae ENSSMRG00000000292
sphenodon_punctatus ENSSPUG00000011419
gopherus_agassizii ENSGAGG00000021530
chelonoidis_abingdonii ENSCABG00000013356
chrysemys_picta ENSCPBG00000026094
pelodiscus_sinensis ENSPSIG00000000057
calidris_pygmaea ENSCPGG00000001224
calidris_pugnax ENSCPUG00000007317
junco_hyemalis ENSJHYG00000011045
zonotrichia_albicollis ENSZALG00000015438
serinus_canaria ENSSCAG00000009263
lonchura_striata ENSLSDG00000004829
taeniopygia_guttata ENSTGUG00000006179
parus_major ENSPMJG00000003826
cyanistes_caeruleus ENSCCEG00000001401
ficedula_albicollis ENSFALG00000014616
manacus_vitellinus ENSMVIG00005004544
manacus_vitellinus ENSMVIG00005000126
lepidothrix_coronata ENSLCOG00000010593
anas_platyrhynchos ENSAPLG00000006815
anser_brachyrhynchus ENSABRG00000014731
meleagris_gallopavo ENSMGAG00000015463
coturnix_japonica ENSCJPG00005020730
gallus_gallus ENSGALG00000028803
numida_meleagris ENSNMEG00000018899
melopsittacus_undulatus ENSMUNG00000015841
apteryx_haastii ENSAHAG00000005904
apteryx_rowi ENSARWG00000015237
apteryx_owenii ENSAOWG00000016629
nothoprocta_perdicaria ENSNPEG00000005636
xenopus_tropicalis ENSXETG00000003777
latimeria_chalumnae ENSLACG00000018197
scleropages_formosus ENSSFOG00015018216
paramormyrops_kingsleyae ENSPKIG00000002885
lepisosteus_oculatus ENSLOCG00000018150
