,ENSDART00000147418_ENSDARG00000076186,ENSDCDT00000065619_ENSDCDG00000032157,ENSCHAT00000024892_ENSCHAG00000011372,ENSAMXT00000026348_ENSAMXG00000025622
ENSDART00000147418_ENSDARG00000076186,1.0,0.53,0.46,0.53
ENSDCDT00000065619_ENSDCDG00000032157,0.53,1.0,0.7,0.71
ENSCHAT00000024892_ENSCHAG00000011372,0.46,0.7,1.0,0.64
ENSAMXT00000026348_ENSAMXG00000025622,0.53,0.71,0.64,1.0
