drosophila_melanogaster FBgn0004643
caenorhabditis_elegans WBGene00017643
manacus_vitellinus ENSMVIG00005017357
lepidothrix_coronata ENSLCOG00000004112
junco_hyemalis ENSJHYG00000000434
zonotrichia_albicollis ENSZALG00000012580
serinus_canaria ENSSCAG00000005735
lonchura_striata ENSLSDG00000006535
taeniopygia_guttata ENSTGUG00000000244
parus_major ENSPMJG00000008537
cyanistes_caeruleus ENSCCEG00000004281
ficedula_albicollis ENSFALG00000005989
melopsittacus_undulatus ENSMUNG00000009528
calidris_pygmaea ENSCPGG00000010573
calidris_pugnax ENSCPUG00000000128
meleagris_gallopavo ENSMGAG00000004028
coturnix_japonica ENSCJPG00005011595
gallus_gallus ENSGALG00000040155
numida_meleagris ENSNMEG00000003217
anas_platyrhynchos ENSAPLG00000010173
anser_brachyrhynchus ENSABRG00000013430
apteryx_owenii ENSAOWG00000009751
apteryx_haastii ENSAHAG00000001880
apteryx_rowi ENSARWG00000001646
dromaius_novaehollandiae ENSDNVG00000005731
nothoprocta_perdicaria ENSNPEG00000002224
crocodylus_porosus ENSCPRG00005011124
gopherus_agassizii ENSGAGG00000008927
chelonoidis_abingdonii ENSCABG00000020017
chrysemys_picta ENSCPBG00000009179
pelodiscus_sinensis ENSPSIG00000010216
pogona_vitticeps ENSPVIG00000006149
anolis_carolinensis ENSACAG00000008966
notechis_scutatus ENSNSUG00000004159
salvator_merianae ENSSMRG00000021379
sphenodon_punctatus ENSSPUG00000009497
vombatus_ursinus ENSVURG00010018938
phascolarctos_cinereus ENSPCIG00000011182
notamacropus_eugenii ENSMEUG00000006376
sarcophilus_harrisii ENSSHAG00000013072
monodelphis_domestica ENSMODG00000038051
loxodonta_africana ENSLAFG00000001253
procavia_capensis ENSPCAG00000004013
echinops_telfairi ENSETEG00000006857
choloepus_hoffmanni ENSCHOG00000004181
dasypus_novemcinctus ENSDNOG00000043541
heterocephalus_glaber ENSHGLG00100001812
heterocephalus_glaber ENSHGLG00000013323
heterocephalus_glaber ENSHGLG00100001401
heterocephalus_glaber ENSHGLG00100001368
fukomys_damarensis ENSFDAG00000016923
cavia_porcellus ENSCPOG00000005097
cavia_aperea ENSCAPG00000012493
chinchilla_lanigera ENSCLAG00000011976
spermophilus_dauricus ENSSDAG00000023036
urocitellus_parryii ENSUPAG00010020979
ictidomys_tridecemlineatus ENSSTOG00000008796
marmota_marmota ENSMMMG00000023333
castor_canadensis ENSCCNG00000015384
dipodomys_ordii ENSDORG00000011414
mus_musculus ENSMUSG00000032264
mus_spicilegus ENSMSIG00000013094
mus_spretus MGP_SPRETEiJ_G0033313
mus_caroli MGP_CAROLIEiJ_G0032174
mus_pahari MGP_PahariEiJ_G0015042
rattus_norvegicus ENSRNOG00000054479
meriones_unguiculatus ENSMUGG00000022676
cricetulus_griseus ENSCGRG00000001134
cricetulus_griseus ENSCGRG00015021101
cricetulus_griseus ENSCGRG00001023701
mesocricetus_auratus ENSMAUG00000010543
peromyscus_maniculatus ENSPEMG00000020641
microtus_ochrogaster ENSMOCG00000009519
nannospalax_galili ENSNGAG00000011177
jaculus_jaculus ENSJJAG00000014864
oryctolagus_cuniculus ENSOCUG00000007436
ochotona_princeps ENSOPRG00000002767
pan_troglodytes ENSPTRG00000004297
pan_paniscus ENSPPAG00000031453
homo_sapiens ENSG00000086827
gorilla_gorilla ENSGGOG00000015283
pongo_abelii ENSPPYG00000003887
nomascus_leucogenys ENSNLEG00000032579
papio_anubis ENSPANG00000019266
theropithecus_gelada ENSTGEG00000020105
mandrillus_leucophaeus ENSMLEG00000031557
cercocebus_atys ENSCATG00000029954
macaca_fascicularis ENSMFAG00000005588
macaca_nemestrina ENSMNEG00000027148
macaca_mulatta ENSMMUG00000023772
chlorocebus_sabaeus ENSCSAG00000002794
rhinopithecus_bieti ENSRBIG00000030358
rhinopithecus_roxellana ENSRROG00000031796
colobus_angolensis ENSCANG00000042075
piliocolobus_tephrosceles ENSPTEG00000025057
cebus_capucinus ENSCCAG00000020627
saimiri_boliviensis ENSSBOG00000006598
callithrix_jacchus ENSCJAG00000012168
aotus_nancymaae ENSANAG00000033796
carlito_syrichta ENSTSYG00000013465
microcebus_murinus ENSMICG00000009595
prolemur_simus ENSPSMG00000022631
propithecus_coquereli ENSPCOG00000020599
otolemur_garnettii ENSOGAG00000011584
tupaia_belangeri ENSTBEG00000001379
capra_hircus ENSCHIG00000025959
ovis_aries ENSOARG00000018272
bos_indicus ENSBIXG00000010743
bos_indicus ENSBIXG00005022510
bos_mutus ENSBMUG00000014179
bos_taurus ENSBTAG00000020066
bison_bison ENSBBBG00000011100
tursiops_truncatus ENSTTRG00000002184
sus_scrofa ENSSSCG00000015050
vicugna_pacos ENSVPAG00000003479
pteropus_vampyrus ENSPVAG00000005286
myotis_lucifugus ENSMLUG00000014203
ursus_maritimus ENSUMAG00000003834
ursus_americanus ENSUAMG00000018034
ailuropoda_melanoleuca ENSAMEG00000006049
mustela_putorius ENSMPUG00000003894
neovison_vison ENSNVIG00000006860
canis_lupus ENSCAFG00000013720
canis_lupus ENSCAFG00020004218
vulpes_vulpes ENSVVUG00000016132
panthera_tigris ENSPTIG00000011511
panthera_pardus ENSPPRG00000010534
felis_catus ENSFCAG00000004975
erinaceus_europaeus ENSEEUG00000013067
sorex_araneus ENSSARG00000002663
equus_asinus ENSEASG00005006707
equus_caballus ENSECAG00000011623
ornithorhynchus_anatinus ENSOANG00000014313
xenopus_tropicalis ENSXETG00000004283
latimeria_chalumnae ENSLACG00000018547
astyanax_mexicanus ENSAMXG00000005695
astyanax_mexicanus ENSAMXG00005018030
pygocentrus_nattereri ENSPNAG00000014615
ictalurus_punctatus ENSIPUG00000000809
electrophorus_electricus ENSEEEG00000004568
danio_rerio ENSDARG00000018738
denticeps_clupeoides ENSDCDG00000031148
hucho_hucho ENSHHUG00000019881
hucho_hucho ENSHHUG00000043617
esox_lucius ENSELUG00000014561
cottoperca_gobio ENSCGOG00000019455
gasterosteus_aculeatus ENSGACG00000020757
labrus_bergylta ENSLBEG00000008247
larimichthys_crocea ENSLCRG00005016257
takifugu_rubripes ENSTRUG00000007890
tetraodon_nigroviridis ENSTNIG00000007647
mola_mola ENSMMOG00000014786
scophthalmus_maximus ENSSMAG00000008269
cynoglossus_semilaevis ENSCSEG00000008835
seriola_dumerili ENSSDUG00000002280
lates_calcarifer ENSLCAG00010010794
monopterus_albus ENSMALG00000009404
mastacembelus_armatus ENSMAMG00000019827
anabas_testudineus ENSATEG00000022336
betta_splendens ENSBSLG00000014993
amphiprion_ocellaris ENSAOCG00000008766
amphiprion_percula ENSAPEG00000021393
acanthochromis_polyacanthus ENSAPOG00000000775
stegastes_partitus ENSSPAG00000022475
parambassis_ranga ENSPRNG00000014463
fundulus_heteroclitus ENSFHEG00000020984
cyprinodon_variegatus ENSCVAG00000015079
poecilia_formosa ENSPFOG00000001223
poecilia_latipinna ENSPLAG00000017205
poecilia_mexicana ENSPMEG00000002857
