rhinopithecus_bieti ENSRBIG00000041798
rhinopithecus_roxellana ENSRROG00000038187
colobus_angolensis_palliatus ENSCANG00000033600
piliocolobus_tephrosceles ENSPTEG00000014988
macaca_nemestrina ENSMNEG00000031376
macaca_fascicularis ENSMFAG00000044463
cercocebus_atys ENSCATG00000033397
papio_anubis ENSPANG00000035431
mandrillus_leucophaeus ENSMLEG00000005357
theropithecus_gelada ENSTGEG00000023796
gorilla_gorilla ENSGGOG00000038569
pan_paniscus ENSPPAG00000036071
propithecus_coquereli ENSPCOG00000020102
microcebus_murinus ENSMICG00000030756
prolemur_simus ENSPSMG00000012226
peromyscus_maniculatus_bairdii ENSPEMG00000030247
equus_caballus ENSECAG00000038131
sus_scrofa ENSSSCG00000037048
neovison_vison ENSNVIG00000014972
nomascus_leucogenys ENSNLEG00000033520
macaca_mulatta ENSMMUG00000039598
cebus_capucinus ENSCCAG00000028207
saimiri_boliviensis_boliviensis ENSSBOG00000024192
aotus_nancymaae ENSANAG00000022591
urocitellus_parryii ENSUPAG00010016767
spermophilus_dauricus ENSSDAG00000010757
marmota_marmota_marmota ENSMMMG00000005619
ictidomys_tridecemlineatus ENSSTOG00000032378
ursus_maritimus ENSUMAG00000014856
ursus_americanus ENSUAMG00000006610
vulpes_vulpes ENSVVUG00000019646
canis_lupus_dingo ENSCAFG00020017942
equus_asinus_asinus ENSEASG00005020552
