fundulus_heteroclitus ENSFHEG00000007600
cyprinodon_variegatus ENSCVAG00000003259
poecilia_formosa ENSPFOG00000007554
poecilia_mexicana ENSPMEG00000019904
poecilia_latipinna ENSPLAG00000003392
poecilia_reticulata ENSPREG00000023251
xiphophorus_couchianus ENSXCOG00000011173
xiphophorus_maculatus ENSXMAG00000009721
gambusia_affinis ENSGAFG00000017718
kryptolebias_marmoratus ENSKMAG00000003751
oryzias_latipes_asm223469v1 ENSORLG00015017252
oryzias_latipes ENSORLG00000025584
oryzias_latipes ENSORLG00020001065
oryzias_melastigma ENSOMEG00000003844
amphiprion_percula ENSAPEG00000011231
amphiprion_ocellaris ENSAOCG00000015640
acanthochromis_polyacanthus ENSAPOG00000000439
stegastes_partitus ENSSPAG00000002838
astatotilapia_calliptera ENSACLG00000025258
pundamilia_nyererei ENSPNYG00000012254
maylandia_zebra ENSMZEG00005009405
haplochromis_burtoni ENSHBUG00000009431
neolamprologus_brichardi ENSNBRG00000004450
oreochromis_niloticus ENSONIG00000009989
amphilophus_citrinellus ENSACIG00000017032
takifugu_rubripes ENSTRUG00000014044
tetraodon_nigroviridis ENSTNIG00000017716
mola_mola ENSMMOG00000005554
labrus_bergylta ENSLBEG00000018055
labrus_bergylta ENSLBEG00000013450
gasterosteus_aculeatus ENSGACG00000017248
monopterus_albus ENSMALG00000002037
mastacembelus_armatus ENSMAMG00000014345
anabas_testudineus ENSATEG00000012992
scophthalmus_maximus ENSSMAG00000004860
cynoglossus_semilaevis ENSCSEG00000021205
seriola_lalandi_dorsalis ENSSLDG00000025183
seriola_dumerili ENSSDUG00000020726
periophthalmus_magnuspinnatus ENSPMGG00000012310
hippocampus_comes ENSHCOG00000000169
gadus_morhua ENSGMOG00000007529
esox_lucius ENSELUG00000014698
pygocentrus_nattereri ENSPNAG00000027641
astyanax_mexicanus ENSAMXG00000005773
ictalurus_punctatus ENSIPUG00000005133
danio_rerio ENSDARG00000075798
paramormyrops_kingsleyae ENSPKIG00000015433
scleropages_formosus ENSSFOG00015017022
lepisosteus_oculatus ENSLOCG00000009016
phascolarctos_cinereus ENSPCIG00000003885
notamacropus_eugenii ENSMEUG00000009155
sarcophilus_harrisii ENSSHAG00000011121
monodelphis_domestica ENSMODG00000000319
castor_canadensis ENSCCNG00000028472
dipodomys_ordii ENSDORG00000004940
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032378
mus_musculus ENSMUSG00000038250
mus_spicilegus ENSMSIG00000028091
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031258
mus_pahari MGP_PahariEiJ_G0022864
rattus_norvegicus ENSRNOG00000026880
meriones_unguiculatus ENSMUGG00000005449
peromyscus_maniculatus_bairdii ENSPEMG00000017993
microtus_ochrogaster ENSMOCG00000000267
cricetulus_griseus_crigri-picr ENSCGRG00015009833
cricetulus_griseus_crigri ENSCGRG00000002154
cricetulus_griseus_chok1gshd ENSCGRG00001008922
mesocricetus_auratus ENSMAUG00000015498
nannospalax_galili ENSNGAG00000020013
ictidomys_tridecemlineatus ENSSTOG00000025902
spermophilus_dauricus ENSSDAG00000000120
marmota_marmota_marmota ENSMMMG00000001127
urocitellus_parryii ENSUPAG00010000887
heterocephalus_glaber_female ENSHGLG00000001875
heterocephalus_glaber_male ENSHGLG00100000794
fukomys_damarensis ENSFDAG00000012497
chinchilla_lanigera ENSCLAG00000014109
octodon_degus ENSODEG00000000359
cavia_porcellus ENSCPOG00000008971
cavia_aperea ENSCAPG00000016125
oryctolagus_cuniculus ENSOCUG00000011524
pan_paniscus ENSPPAG00000041444
pan_troglodytes ENSPTRG00000016470
gorilla_gorilla ENSGGOG00000002044
homo_sapiens ENSG00000170185
pongo_abelii ENSPPYG00000015088
nomascus_leucogenys ENSNLEG00000005343
theropithecus_gelada ENSTGEG00000011632
papio_anubis ENSPANG00000008197
cercocebus_atys ENSCATG00000040394
mandrillus_leucophaeus ENSMLEG00000035914
