gasterosteus_aculeatus ENSGACG00000012212
takifugu_rubripes ENSTRUG00000001520
mastacembelus_armatus ENSMAMG00000000856
scophthalmus_maximus ENSSMAG00000007049
cynoglossus_semilaevis ENSCSEG00000014745
seriola_dumerili ENSSDUG00000006566
seriola_lalandi_dorsalis ENSSLDG00000017468
labrus_bergylta ENSLBEG00000017689
monopterus_albus ENSMALG00000018075
anabas_testudineus ENSATEG00000002537
pundamilia_nyererei ENSPNYG00000021664
maylandia_zebra ENSMZEG00005010609
astatotilapia_calliptera ENSACLG00000003037
haplochromis_burtoni ENSHBUG00000009785
oreochromis_niloticus ENSONIG00000002371
amphilophus_citrinellus ENSACIG00000013213
amphiprion_ocellaris ENSAOCG00000023920
amphiprion_percula ENSAPEG00000005467
acanthochromis_polyacanthus ENSAPOG00000019300
stegastes_partitus ENSSPAG00000000895
oryzias_latipes_asm223467v1 ENSORLG00000025255
oryzias_latipes_asm223471v1 ENSORLG00020004849
oryzias_latipes_asm223469v1 ENSORLG00015001478
oryzias_melastigma ENSOMEG00000005670
gadus_morhua ENSGMOG00000001368
esox_lucius ENSELUG00000015352
pygocentrus_nattereri ENSPNAG00000018686
astyanax_mexicanus ENSAMXG00000005250
ictalurus_punctatus ENSIPUG00000016415
danio_rerio ENSDARG00000029859
paramormyrops_kingsleyae ENSPKIG00000018948
scleropages_formosus ENSSFOG00015016278
lepisosteus_oculatus ENSLOCG00000002823
vicugna_pacos ENSVPAG00000010166
