loxodonta_africana ENSLAFG00000027228
procavia_capensis ENSPCAG00000003572
dasypus_novemcinctus ENSDNOG00000006987
cebus_capucinus_imitator ENSCCAG00000024971
callithrix_jacchus ENSCJAG00000019811
aotus_nancymaae ENSANAG00000030678
papio_anubis ENSPANG00000024487
cercocebus_atys ENSCATG00000041589
mandrillus_leucophaeus ENSMLEG00000033186
cercocebus_atys ENSCATG00000012013
macaca_nemestrina ENSMNEG00000030501
macaca_fascicularis ENSMFAG00000039624
macaca_mulatta ENSMMUG00000044514
rhinopithecus_bieti ENSRBIG00000044290
rhinopithecus_roxellana ENSRROG00000032470
gorilla_gorilla ENSGGOG00000011181
homo_sapiens ENSG00000204538
pan_troglodytes ENSPTRG00000052111
pan_paniscus ENSPPAG00000035173
pongo_abelii ENSPPYG00000017207
nomascus_leucogenys ENSNLEG00000005700
theropithecus_gelada ENSTGEG00000012469
theropithecus_gelada ENSTGEG00000008597
chlorocebus_sabaeus ENSCSAG00000008388
piliocolobus_tephrosceles ENSPTEG00000031050
colobus_angolensis_palliatus ENSCANG00000019672
carlito_syrichta ENSTSYG00000026866
prolemur_simus ENSPSMG00000005360
propithecus_coquereli ENSPCOG00000024020
microcebus_murinus ENSMICG00000042321
otolemur_garnettii ENSOGAG00000000616
castor_canadensis ENSCCNG00000003558
dipodomys_ordii ENSDORG00000028350
cricetulus_griseus_crigri_1.0 ENSCGRG00000009915
cricetulus_griseus_crigri-picr ENSCGRG00015028212
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008016
mesocricetus_auratus ENSMAUG00000012127
microtus_ochrogaster ENSMOCG00000001853
peromyscus_maniculatus_bairdii ENSPEMG00000003162
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024409
mus_spicilegus ENSMSIG00000014702
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022430
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021523
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020517
rattus_norvegicus ENSRNOG00000048579
meriones_unguiculatus ENSMUGG00000015389
nannospalax_galili ENSNGAG00000012840
jaculus_jaculus ENSJJAG00000010597
spermophilus_dauricus ENSSDAG00000004161
ictidomys_tridecemlineatus ENSSTOG00000031015
marmota_marmota_marmota ENSMMMG00000020420
urocitellus_parryii ENSUPAG00010003652
chinchilla_lanigera ENSCLAG00000002460
octodon_degus ENSODEG00000017925
cavia_porcellus ENSCPOG00000040488
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015352
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012187
fukomys_damarensis ENSFDAG00000011904
ochotona_princeps ENSOPRG00000003865
oryctolagus_cuniculus ENSOCUG00000027593
canis_lupus_familiaris ENSCAFG00000000475
vulpes_vulpes ENSVVUG00000010870
neovison_vison ENSNVIG00000019140
ursus_americanus ENSUAMG00000026614
ailuropoda_melanoleuca ENSAMEG00000010426
panthera_pardus ENSPPRG00000001551
panthera_tigris_altaica ENSPTIG00000014504
felis_catus ENSFCAG00000001076
erinaceus_europaeus ENSEEUG00000004698
pteropus_vampyrus ENSPVAG00000007327
equus_asinus_asinus ENSEASG00005020662
capra_hircus ENSCHIG00000019188
ovis_aries ENSOARG00000010491
bos_taurus ENSBTAG00000025531
bos_mutus ENSBMUG00000002139
bison_bison_bison ENSBBBG00000008194
tursiops_truncatus ENSTTRG00000006511
sus_scrofa ENSSSCG00000034471
notamacropus_eugenii ENSMEUG00000013172
phascolarctos_cinereus ENSPCIG00000007462
monodelphis_domestica ENSMODG00000015834
sarcophilus_harrisii ENSSHAG00000001071
