ursus_americanus ENSUAMG00000005935
ursus_maritimus ENSUMAG00000005633
ailuropoda_melanoleuca ENSAMEG00000017732
neovison_vison ENSNVIG00000006109
mustela_putorius_furo ENSMPUG00000002632
canis_lupus_familiaris ENSCAFG00000005025
canis_lupus_dingo ENSCAFG00020000640
vulpes_vulpes ENSVVUG00000006047
panthera_tigris_altaica ENSPTIG00000007241
panthera_pardus ENSPPRG00000024603
felis_catus ENSFCAG00000012402
equus_caballus ENSECAG00000012363
equus_asinus_asinus ENSEASG00005007534
pteropus_vampyrus ENSPVAG00000012768
myotis_lucifugus ENSMLUG00000013018
erinaceus_europaeus ENSEEUG00000011220
sorex_araneus ENSSARG00000008691
bos_mutus ENSBMUG00000018035
bos_taurus ENSBTAG00000008463
bison_bison_bison ENSBBBG00000008176
ovis_aries ENSOARG00000001207
tursiops_truncatus ENSTTRG00000005380
sus_scrofa ENSSSCG00000011255
vicugna_pacos ENSVPAG00000008144
vicugna_pacos ENSVPAG00000007042
pan_paniscus ENSPPAG00000039391
pan_troglodytes ENSPTRG00000014757
homo_sapiens ENSG00000144671
gorilla_gorilla ENSGGOG00000013189
pongo_abelii ENSPPYG00000014008
nomascus_leucogenys ENSNLEG00000005389
piliocolobus_tephrosceles ENSPTEG00000020848
colobus_angolensis_palliatus ENSCANG00000024035
rhinopithecus_bieti ENSRBIG00000030061
rhinopithecus_roxellana ENSRROG00000036809
cercocebus_atys ENSCATG00000035044
mandrillus_leucophaeus ENSMLEG00000042207
theropithecus_gelada ENSTGEG00000018885
papio_anubis ENSPANG00000008743
macaca_fascicularis ENSMFAG00000034664
macaca_mulatta ENSMMUG00000004842
macaca_nemestrina ENSMNEG00000042853
chlorocebus_sabaeus ENSCSAG00000014454
saimiri_boliviensis_boliviensis ENSSBOG00000029548
cebus_capucinus_imitator ENSCCAG00000032720
carlito_syrichta ENSTSYG00000012883
otolemur_garnettii ENSOGAG00000025994
otolemur_garnettii ENSOGAG00000030931
otolemur_garnettii ENSOGAG00000003887
prolemur_simus ENSPSMG00000014444
tupaia_belangeri ENSTBEG00000002133
chinchilla_lanigera ENSCLAG00000003320
octodon_degus ENSODEG00000004224
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000713
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009436
fukomys_damarensis ENSFDAG00000018774
ictidomys_tridecemlineatus ENSSTOG00000005489
urocitellus_parryii ENSUPAG00010006376
spermophilus_dauricus ENSSDAG00000006649
marmota_marmota_marmota ENSMMMG00000010920
castor_canadensis ENSCCNG00000003498
dipodomys_ordii ENSDORG00000004811
mus_spicilegus ENSMSIG00000004351
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033943
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070280
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032795
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015662
rattus_norvegicus ENSRNOG00000042259
meriones_unguiculatus ENSMUGG00000012412
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020808
cricetulus_griseus_crigri_1.0 ENSCGRG00000008916
cricetulus_griseus_crigri-picr ENSCGRG00015009342
mesocricetus_auratus ENSMAUG00000016899
peromyscus_maniculatus_bairdii ENSPEMG00000017193
microtus_ochrogaster ENSMOCG00000003432
jaculus_jaculus ENSJJAG00000006816
dasypus_novemcinctus ENSDNOG00000041610
loxodonta_africana ENSLAFG00000012847
echinops_telfairi ENSETEG00000008250
procavia_capensis ENSPCAG00000005007
monodelphis_domestica ENSMODG00000012232
sarcophilus_harrisii ENSSHAG00000010964
