anser_brachyrhynchus ENSABRG00000009389
anas_platyrhynchos_platyrhynchos ENSAPLG00000015629
gallus_gallus ENSGALG00000016766
meleagris_gallopavo ENSMGAG00000014792
coturnix_japonica ENSCJPG00005001170
numida_meleagris ENSNMEG00000017213
calidris_pygmaea ENSCPGG00000016120
calidris_pugnax ENSCPUG00000005412
melopsittacus_undulatus ENSMUNG00000013063
taeniopygia_guttata ENSTGUG00000010082
lonchura_striata_domestica ENSLSDG00000015357
serinus_canaria ENSSCAG00000016796
junco_hyemalis ENSJHYG00000018279
zonotrichia_albicollis ENSZALG00000009523
ficedula_albicollis ENSFALG00000003890
cyanistes_caeruleus ENSCCEG00000020880
parus_major ENSPMJG00000015231
lepidothrix_coronata ENSLCOG00000015076
manacus_vitellinus ENSMVIG00005017916
apteryx_haastii ENSAHAG00000014250
apteryx_owenii ENSAOWG00000015792
apteryx_rowi ENSARWG00000008247
dromaius_novaehollandiae ENSDNVG00000018333
nothoprocta_perdicaria ENSNPEG00000001088
crocodylus_porosus ENSCPRG00005012123
chelonoidis_abingdonii ENSCABG00000003770
gopherus_agassizii ENSGAGG00000022296
chrysemys_picta_bellii ENSCPBG00000005381
pelodiscus_sinensis ENSPSIG00000015567
pogona_vitticeps ENSPVIG00000010375
anolis_carolinensis ENSACAG00000008218
notechis_scutatus ENSNSUG00000002316
salvator_merianae ENSSMRG00000021519
sphenodon_punctatus ENSSPUG00000009535
phascolarctos_cinereus ENSPCIG00000013804
notamacropus_eugenii ENSMEUG00000007126
sarcophilus_harrisii ENSSHAG00000010618
monodelphis_domestica ENSMODG00000001409
procavia_capensis ENSPCAG00000007942
loxodonta_africana ENSLAFG00000006217
echinops_telfairi ENSETEG00000001473
dasypus_novemcinctus ENSDNOG00000045977
choloepus_hoffmanni ENSCHOG00000003287
ailuropoda_melanoleuca ENSAMEG00000013212
ursus_maritimus ENSUMAG00000007980
neovison_vison ENSNVIG00000018762
mustela_putorius_furo ENSMPUG00000012079
canis_lupus_dingo ENSCAFG00020024602
canis_lupus_familiaris ENSCAFG00000002260
vulpes_vulpes ENSVVUG00000028698
panthera_pardus ENSPPRG00000012661
panthera_tigris_altaica ENSPTIG00000020411
felis_catus ENSFCAG00000009785
sorex_araneus ENSSARG00000002163
bison_bison_bison ENSBBBG00000000447
bos_mutus ENSBMUG00000002894
bos_taurus ENSBTAG00000043999
capra_hircus ENSCHIG00000012748
ovis_aries ENSOARG00000013369
tursiops_truncatus ENSTTRG00000010396
sus_scrofa ENSSSCG00000008179
vicugna_pacos ENSVPAG00000007728
equus_asinus_asinus ENSEASG00005018273
equus_caballus ENSECAG00000007804
myotis_lucifugus ENSMLUG00000008175
pteropus_vampyrus ENSPVAG00000006593
erinaceus_europaeus ENSEEUG00000013510
pan_troglodytes ENSPTRG00000012280
pan_paniscus ENSPPAG00000031053
homo_sapiens ENSG00000135945
